CIDコード,CID番号,出現回数,正しい文字,例（日本語）,備考,推定文字,信頼度
(cid:540),540,2,,"筋かい止めピン, 連結ピン",,,低
(cid:544),544,5,,"三連クランプ, 自在クランプ, キャッチクランプ",,Ƞ,高
(cid:545),545,1,,三連クランプ,,ȡ,高
(cid:559),559,1,,ランマ,,ȯ,高
(cid:564),564,1,,キャッチクランプ,,,低
(cid:572),572,3,,"三連クランプ, 筋かい止めピン, 連結ピン",,,低
(cid:598),598,4,,"直交クランプ, 筋かい止めピン, モンキースパナ",,,低
(cid:622),622,1,,電動のこ（丸のこ）,,ɮ,高
(cid:625),625,2,,"ベルトコンベア （ベルコン）, 梯子",,,低
(cid:630),630,1,,親綱支柱,,ɶិ,高
(cid:635),635,2,,"ベルトコンベア （ベルコン）, 筋かい止めピン",,,低
(cid:636),636,3,,"吊り上げ用クランプ, クレーン, 移動式クレーン",,ɼ,高
(cid:640),640,1,,親綱支柱,,ʀែ,高
(cid:645),645,2,,"三連クランプ, 連結ピン",,,低
(cid:647),647,1,,筋かい止めピン,,ʇ,高
(cid:671),671,4,,"三連クランプ, 筋かい止めピン, 連結ピン",,,低
(cid:676),676,7,,"ランマ, 吊り上げ用クランプ, ストレートシャックル",,,低
(cid:688),688,5,,"吊り上げ用クランプ, 直交クランプ, ストレートシャックル",,,低
(cid:690),690,1,,ストレートシャックル,,,低
(cid:693),693,1,,筋かい止めピン,,,低
(cid:694),694,1,,レバーブロック,,ʶ,高
(cid:698),698,1,,ストレートシャックル,,,低
(cid:717),717,3,,"ベルトコンベア （ベルコン）, 介しゃくロープ, 親綱支柱",,,低
(cid:719),719,1,,ストレートシャックル,,ˏ,高
(cid:726),726,1,,ランマ,,,低
(cid:801),801,1,,自在クランプ,,̡,高
(cid:813),813,1,,モンキースパナ,,̭,高
(cid:814),814,6,,"三連クランプ, 自在クランプ, キャッチクランプ",,,低
(cid:817),817,3,,"吊り上げ用クランプ, クレーン, 移動式クレーン",,,低
(cid:819),819,1,,かけや,,̳,高
(cid:822),822,3,,"かけや, 脚柱ジョイント, 梯子",,̶,高
(cid:843),843,1,,滑車,,͋,高
