CID,Unicode文字,Unicode16進
532,ក,1780
535,កា,178017B6
545,រ,179A
556,ង,1784
559,ងា,178417B6
561,ច,1785
571,ជ,1787
574,ជា,178717B6
585,ញ,1789
595,ែ,17C2
598,ោ,17C4
619,ណ,178E
622,ណា,178E17B6
627,តា,178F17B6
630,ថ,1790
632,ថ្ន,179017D21793
634,ទ,1791
652,ា,17B6
658,ផ,1795
663,ព,1796
666,ពា,179617B6
668,ភ,1797
671,ភា,179717B6
676,ម,1798
678,យ,1799
690,ោ,17C4
725,ហ្,17A017D2
738,ោ,17C4
752,ឧ,17A7
794,ិ,17B7
809,ឺ,17BA
822,ើ,17BE
836,ំ,17C6
840,ោះ,17C417C7
842,៉ា,17C917B6
848,់,17CB
854,៍,17CD
866,៏,17CF
872,័,17D0
880,្,17D2
882,។,17D4
6035,ន,1793
6036,ប,1794
6037,ផ,1795
6038,ព,1796
6039,ភ,1797
6040,ម,1798
6041,យ,1799
6042,រ,179A
6043,ល,179B
6044,វ,179C
6045,ឝ,179D
6046,ឞ,179E
6047,ស,179F
6048,ហ,17A0
6049,ឡ,17A1
6050,អ,17A2
6051,ឣ,17A3
6052,ឤ,17A4
6053,ឥ,17A5
6054,ឦ,17A6
6055,ឧ,17A7
6056,ឨ,17A8
6057,ឩ,17A9
6058,ឪ,17AA
6059,ឫ,17AB
6060,ឬ,17AC
6061,ឭ,17AD
6062,ឮ,17AE
6063,ឯ,17AF
6064,ឰ,17B0
6065,ឱ,17B1
6066,ឲ,17B2
6067,ឳ,17B3
6068,឴,17B4
6069,឵,17B5
6070,ា,17B6
6043,ល,179B
814,ុ,17BB
815,ូ,17BC
