Annotasyon,Anotasi,Cara membaca (Hiragana),Column_4,Column_6,Contoh,Foto,Kosakata,No.,PDFページ番号,PDF表番号,Tanda,Terjemahan
,,ぎのうじっしゅう,,,,,技能実習,1,1,1,,Pelatihan Kerja Teknis
,,ぎのうじっしゅうせい,,,,,技能実習生,2,1,1,,Pemagang Kerja Teknis
,,こうじょう,,,,,工場,3,1,1,,Pabrik
,,せいぞう,,,,,製造,4,1,1,,Manufaktur
,,きかい,,,,,機械,5,1,1,,Mesin
,,あんぜん,,,,,安全,6,1,1,,Keselamatan
,"Umumnya ditulis dengan kanji,
namun terkadang ditulis dengan
katakana 「キケン」""berbahaya"".",きけん（な）,,,,,危険（な）,7,1,1,,Berbahaya (Bahaya)
,,あぶない,,,,,危ない,8,1,1,,Bahaya
,"Membersihkan dan Membereskan
tempat kerja sehingga kita tahu
seperti apa kondisi tempat kerja
seharusnya.",せいそう,,,,,清掃,9,1,1,,Pembersihan
,,ひじょうぐち,,,,,非常口,10,1,1,,Pintu keluar darurat
,,ちゅうい,,,,,注意,11,1,1,,Peringatan
,,かじ,,,,,火事,12,1,1,,Kebakaran
,,じこ,,,,,事故,13,1,1,,Kecelakaan
,,ふくそう,,,,,服装,14,1,1,,Pakaian
,,あんぜんそうち,,,,,安全装置,15,1,1,,Peralatan keselamatan
,,あんぜんかばー,,,,,安全カバー,1,2,1,,Tutup pengaman
,,けが,,,,,けが,2,2,1,,Luka
,,けがをする,,,,,けがをする,3,2,1,,Terluka
,,でんげん,,,,,電源,4,2,1,,Sumber listrik
,,でんげんをきる,,,,,電源を切る,5,2,1,,Mematikan listrik
,,ひじょうていしぼたん,,,,,非常停止ボタン,6,2,1,,Tombol stop darurat
,,"ひじょうていしぼたんを
おす",,,,,非常停止ボタンを押す,7,2,1,,"Menekan tombol stop
darurat"
,,るーる,,,,,ルール,8,2,1,,Peraturan
,,るーるをまもる,,,,,ルールを守る,9,2,1,,Mematuhi peraturan
,,とめる,,,,,止める,10,2,1,,Menghentikan
,,きかいをとめる,,,,,機械を止める,11,2,1,,Menghentikan mesin
,,やって,,,,,やって,12,2,1,,Lakukan
,,とめて,,,,,止めて,13,2,1,,Hentikan
,,とって,,,,,取って,14,2,1,,Ambil
,,だめ（な）,,,,,だめ（な）,15,2,1,,Tidak boleh (Jangan)
,"Lembaga non-profit yang
mengawasi atau mengarahkan
pemagang kerja teknis terkait
akuisisi keterampilan dan
kegiatannya.",かんりだんたい,,,,,監理団体,1,3,1,,Lembaga pengawas
,,ぎじゅついてん,,,,,技術移転,2,3,1,,Transfer teknologi
,,ぎのうじっしゅうきかん,,,,,技能実習期間,3,3,1,,Periode pelatihan kerja
,,しょくしゅ,,,,,職種,4,3,1,,Pekerjaan
,,ざいりゅうしかく,,,,,在留資格,5,3,1,,Status tinggal
,,ぱすぽーと,,,,,パスポート,6,3,1,,Paspor
,,ざいりゅうかーど,,,,,在留カード,7,3,1,,Kartu izin tinggal
