Annotasyon,Column_4,Column_6,Halimbawa,Larawan,No.,PDFページ番号,PDF表番号,Paano Magbasa,Pagsasalin,Palatandaan,Talasalitaan
,,,,,1,1,1,ぎのうじっしゅう,Technical Intern Training,,技能実習
,,,,,2,1,1,ぎのうじっしゅうせい,Technical Intern Trainee,,技能実習生
,,,,,3,1,1,こうじょう,Pabrika,,工場
,,,,,4,1,1,せいぞう,Produksiyon,,製造
,,,,,5,1,1,きかい,Makina,,機械
,,,,,6,1,1,あんぜん,Kaligtasan,,安全
"Karaniwan ito ay nakasulat sa Kanji,
ngunit kung minsan ito ay nakasulat
sa Katakana bilang 「キケン」
""delikado"" sa loob ng mga pabrika.",,,,,7,1,1,きけん（な）,Delikado (Mapanganib),,危険（な）
,,,,,8,1,1,あぶない,Delikado,,危ない
"Tungkol ito sa paglilinis at gawing
malinis upang madaling maunawaan
ang lugar ng trabaho.",,,,,9,1,1,せいそう,Simutin / Paglilinis,,清掃
,,,,,10,1,1,ひじょうぐち,"Emerhensyang
labasan/Emergency exit",,非常口
,,,,,11,1,1,ちゅうい,Babala/Paunawa,,注意
,,,,,12,1,1,かじ,Sunog,,火事
,,,,,13,1,1,じこ,Akisidente,,事故
,,,,,14,1,1,ふくそう,Kasuotan,,服装
,,,,,15,1,1,あんぜんそうち,"Safety
equipment/Kagamitan
pangkaligtasan",,安全装置
,,,,,1,2,1,あんぜんかばー,"Safety cover/Takip pang-
kaligtasan",,安全カバー
,,,,,2,2,1,けが,Pinsala,,けが
,,,,,3,2,1,けがをする,Mapinsala,,けがをする
,,,,,4,2,1,でんげん,Supply ng kuryente,,電源
,,,,,5,2,1,でんげんをきる,"Putulin ang supply ng
kuryente",,電源を切る
,,,,,6,2,1,ひじょうていしぼたん,Emergency stop button,,非常停止ボタン
,,,,,7,2,1,"ひじょうていしぼたんを
おす","Pindutin ang emergency
stop button",,非常停止ボタンを押す
,,,,,8,2,1,るーる,Patakaran,,ルール
,,,,,9,2,1,るーるをまもる,"Sumunod sa mga
patakaran",,ルールを守る
,,,,,10,2,1,とめる,I-off,,止める
,,,,,11,2,1,きかいをとめる,I-off ang makina,,機械を止める
,,,,,12,2,1,やって,Gawin mo,,やって
,,,,,13,2,1,とめて,I-off mo,,止めて
,,,,,14,2,1,とって,Kunin mo,,取って
,,,,,15,2,1,だめ（な）,Bawal (Ipinagbabawal ),,だめ（な）
"Non-profit na organisasyon kung
saan namamahala at nagtuturo
sa mga Technical Intern Trainee
upang magkamit ng kakayahan.",,,,,1,3,1,かんりだんたい,"Namamahalang
organisasyon",,監理団体
,,,,,2,3,1,ぎじゅついてん,Paglilipat ng kakayahan,,技術移転
,,,,,3,3,1,ぎのうじっしゅうきかん,Panahon ng pagsasanay,,技能実習期間
,,,,,4,3,1,しょくしゅ,Uri ng trabaho,,職種
,,,,,5,3,1,ざいりゅうしかく,Status ng paninirahan,,在留資格
,,,,,6,3,1,ぱすぽーと,Pasaporte,,パスポート
,,,,,7,3,1,ざいりゅうかーど,Residence card,,在留カード
"Daglat ng 「入国管理庁」、「入国管理
局」""Immigration Bureau
of Japan""",,,,,8,3,1,にゅうかん,Immigration Bureau,,入管
,,,,,9,3,1,ざいりゅうきかん,Panahon ng paninirahan,,在留期間
,,,,,10,3,1,こようけいやく,Kontrata sa trabaho,,雇用契約
,,,,,11,3,1,きゅうよめいさい,"Detalyadong paglalahad ng
suweldo/Payment slip",,給与明細
,,,,,12,3,1,きゅうりょう,Suweldo,,給料
,,,,,13,3,1,ざんぎょうてあて,"Overtime work
pay",,残業手当
,,,,,14,3,1,ろうどうじかん,Oras ng trabaho,,労働時間
"Ang pagbabawas ng fixed na halaga mula
sa orihinal na halaga.
Pangunahing ginagamit ito kapag
naglalabas ng halaga ng buwis.",,"Ang mga taong nagbibigay ng
suporta sa kanilang pamilya ay
maaaring maging karapat-dapat
para sa 「扶養控除」""tax exemption
for dependents"".","かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",,1,4,1,こうじょ（する）,"Bawas / Exemption
(Babawasan)",,控除（する）
,,,,,2,4,1,ぼーなす,Bonus,,ボーナス
