ファイル名,ページ,番号,日本語,翻訳
ミャンマー語_pdfplumber_抽出_最終版.csv,1,1.0,技能実習,အလပု ်သငတ် န်း်
ミャンマー語_pdfplumber_抽出_最終版.csv,1,2.0,技能実習生,အလပု ်သင်
ミャンマー語_pdfplumber_抽出_最終版.csv,1,3.0,工場,စကရ် ု
ミャンマー語_pdfplumber_抽出_最終版.csv,1,4.0,製造,ထတု လ် ပု ်မှု
ミャンマー語_pdfplumber_抽出_最終版.csv,1,5.0,機械,စက်
ミャンマー語_pdfplumber_抽出_最終版.csv,1,6.0,安全,လခ ု ြုံ မှု
ミャンマー語_pdfplumber_抽出_最終版.csv,1,7.0,危険（な）,အန္ရတ ာယ်(ရှိ သသာ)
ミャンマー語_pdfplumber_抽出_最終版.csv,1,8.0,危ない,အန္ရတ ာယရ် ှိ သည်
ミャンマー語_pdfplumber_抽出_最終版.csv,1,9.0,清掃,သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း် (Sei-sou)
ミャンマー語_pdfplumber_抽出_最終版.csv,10,4.0,清掃,သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း် (Sei-sou)
ミャンマー語_pdfplumber_抽出_最終版.csv,1,10.0,非常口,အသရ်းသပေါ်ထကွ သ် ပါက်
ミャンマー語_pdfplumber_抽出_最終版.csv,1,11.0,注意,သတှိ
ミャンマー語_pdfplumber_抽出_最終版.csv,1,12.0,火事,မ ်းသလာငမ် ှု
ミャンマー語_pdfplumber_抽出_最終版.csv,1,13.0,事故,မသတာ်တဆမှု
ミャンマー語_pdfplumber_抽出_最終版.csv,1,14.0,服装,အဝတအ် စာ်း
ミャンマー語_pdfplumber_抽出_最終版.csv,1,15.0,安全装置,အန္ရတ ာယက် င်း် ရ င်း် သရ်းကရှိ ှိ ယာ
ミャンマー語_pdfplumber_抽出_最終版.csv,2,1.0,安全カバー,လခ ု ြုံ သရ်းကာဗာအဖ ု်း
ミャンマー語_pdfplumber_抽出_最終版.csv,30,1.0,安全カバー,လခ ု ြုံ သရ်းကာဗာအဖ ု်း
ミャンマー語_pdfplumber_抽出_最終版.csv,2,2.0,けが,ဒဏရ် ာ
ミャンマー語_pdfplumber_抽出_最終版.csv,2,3.0,けがをする,ဒဏရ် ာရသည်
ミャンマー語_pdfplumber_抽出_最終版.csv,2,4.0,電源,လျှပ်စစ်ပါဝါ
ミャンマー語_pdfplumber_抽出_最終版.csv,2,5.0,電源を切る,လျှပ်စစ်ပါဝါပှိတသ် ည်
