CSV行,日本語,Page,番号,マッチ
2,技能実習,1,1.0,✓
3,技能実習生,1,2.0,✓
4,工場,1,3.0,✓
5,製造,1,4.0,✓
6,機械,1,5.0,✓
7,安全,1,6.0,✓
8,危険（な）,1,7.0,✓
9,危ない,1,8.0,✓
10,清掃,7,4.0,✓
11,非常口,1,10.0,✓
12,注意,1,11.0,✓
13,火事,1,12.0,✓
14,事故,1,13.0,✓
15,服装,1,14.0,✓
16,安全装置,1,15.0,✓
17,安全カバー,27,1.0,✓
18,けが,2,2.0,✓
19,けがをする,2,3.0,✓
20,電源,2,4.0,✓
21,電源を切る,2,5.0,✓
22,非常停止ボタン,2,6.0,✓
23,非常停止ボタンを押す,2,7.0,✓
24,ルール,2,8.0,✓
25,ルールを守る,2,9.0,✓
26,止める,2,10.0,✓
27,機械を止める,2,11.0,✓
28,やって,2,12.0,✓
29,止めて,2,13.0,✓
30,取って,2,14.0,✓
31,だめ（な）,2,15.0,✓
32,監理団体,3,1.0,✓
33,技術移転,3,2.0,✓
34,技能実習期間,3,3.0,✓
35,職種,3,4.0,✓
36,在留資格,3,5.0,✓
37,パスポート,3,6.0,✓
38,在留カード,3,7.0,✓
39,入管,3,8.0,✓
40,在留期間,3,9.0,✓
41,雇用契約,3,10.0,✓
42,給与明細,3,11.0,✓
43,給料,3,12.0,✓
44,残業手当,3,13.0,✓
45,労働時間,3,14.0,✓
46,控除（する）,4,1.0,✓
47,ボーナス,4,2.0,✓
48,有休,4,3.0,✓
49,代休,4,4.0,✓
50,労働基準法,4,5.0,✓
51,労働条件,4,6.0,✓
52,税金,4,7.0,✓
53,所得税,4,8.0,✓
54,住民税,4,9.0,✓
55,厚生年金,4,10.0,✓
56,雇用保険,4,11.0,✓
57,健康保険,5,12.0,✓
58,社会保険,5,13.0,✓
59,労災,5,14.0,✓
60,労災保険,5,15.0,✓
61,遅刻（する）,6,1.0,✓
62,早退（する）,6,2.0,✓
63,休憩（する）,6,3.0,✓
64,残業（する）,6,4.0,✓
65,定時,6,5.0,✓
66,規則,6,6.0,✓
67,休日,6,7.0,✓
68,始業時間,6,8.0,✓
69,終業時間,6,9.0,✓
70,指導員,6,10.0,✓
71,生活指導員,6,11.0,✓
72,担当者,6,12.0,✓
73,スイッチ入れるな,6,13.0,✓
74,スイッチ切るな,6,14.0,✓
75,使用禁止,6,15.0,✓
76,5S,7,1.0,✓
77,整理,7,2.0,✓
78,整頓,7,3.0,✓
79,清潔,7,5.0,✓
80,しつけ,7,6.0,✓
81,掃除（する）,8,7.0,✓
82,片づける,49,1.0,✓
83,捨てる,49,2.0,✓
84,汚い,8,10.0,✓
85,汚れる,8,11.0,✓
86,分別（する）,8,12.0,✓
87,燃えないごみ,8,13.0,✓
88,燃えるごみ,8,14.0,✓
89,挟まれる,8,15.0,✓
90,巻き込まれる,8,16.0,✓
91,やけど（する）,8,17.0,✓
92,落ちる,8,18.0,✓
93,すべる,8,19.0,✓
94,転ぶ,9,20.0,✓
95,濡れる,9,21.0,✓
96,衛生,9,22.0,✓
97,避難（する）,9,23.0,✓
98,救急車,9,24.0,✓
99,災害,9,25.0,✓
100,地震,9,26.0,✓
101,もぐる,9,27.0,✓
102,火気厳禁,19,3.0,✓
103,開放厳禁,10,2.0,✓
104,標識,10,3.0,✓
105,気をつける,10,4.0,✓
106,持ち込む,10,5.0,✓
107,防ぐ,10,6.0,✓
108,火,10,7.0,✓
109,煙,10,8.0,✓
110,消火,10,9.0,✓
111,消火器,20,11.0,✓
112,非常ベル,10,11.0,✓
113,火災報知機,10,12.0,✓
114,逃げる,10,13.0,✓
115,現場,10,14.0,✓
116,作業,10,15.0,✓
117,ミーティング,10,16.0,✓
118,研修（する）,10,17.0,✓
119,実習（する）,11,18.0,✓
120,あいさつ,11,19.0,✓
121,確認（する）,11,20.0,✓
122,報告（する）,11,21.0,✓
123,連絡（する）,11,22.0,✓
124,相談（する）,11,23.0,✓
125,渡す,11,24.0,✓
126,申請書,11,25.0,✓
127,寝坊（する）,11,26.0,✓
128,技能,12,1.0,✓
129,技能検定試験,12,2.0,✓
130,受検（する）,12,3.0,✓
131,資格,12,4.0,✓
132,手当,12,5.0,✓
133,社員,12,6.0,✓
134,部長,12,7.0,✓
135,課長,12,8.0,✓
136,更衣室,12,9.0,✓
137,台車,12,10.0,✓
138,床,12,11.0,✓
139,出口,12,12.0,✓
140,電気,12,13.0,✓
141,警報音,12,14.0,✓
142,コンセント,12,15.0,✓
143,作業場,12,16.0,✓
144,作業台,12,17.0,✓
145,工事現場,12,18.0,✓
146,職長,26,25.0,✓
147,作業責任者,12,20.0,✓
148,禁止,13,1.0,✓
149,表示板,13,2.0,✓
150,禁止事項,13,3.0,✓
151,避難訓練,13,4.0,✓
152,感電,13,5.0,✓
153,感電する,13,,✓
154,防止,13,6.0,✓
155,防止する,13,,✓
156,予防,13,7.0,✓
157,予防する,13,,✓
158,転倒,13,8.0,✓
159,転倒する,13,,✓
160,挟まる,13,9.0,✓
161,足元,13,10.0,✓
162,不安定,13,11.0,✓
163,不安定な,13,,✓
164,後片付け,13,12.0,✓
165,救急箱,14,13.0,✓
166,絆創膏,14,14.0,✓
167,体調,14,15.0,✓
168,血,14,16.0,✓
169,熱中症,14,17.0,✓
170,吐き気,14,18.0,✓
171,嘔吐,14,19.0,✓
172,嘔吐する,14,,✓
173,足がつる,14,20.0,✓
174,気分が悪い,14,21.0,✓
