No.,Kosakata,Cara membaca (Hiragana),,,Terjemahan,,,,,Anotasi,,,,,,,Contoh,,,,,,,,,,,,
1,技能実習,ぎのうじっしゅう,,,Pelatihan Kerja Teknis,,,,,,,,,,,,,,,,,,,,,,,,
2,技能実習生,ぎのうじっしゅうせい,,,Pemagang Kerja Teknis,,,,,,,,,,,,,,,,,,,,,,,,
3,工場,こうじょう,,,Pabrik,,,,,,,,,,,,,,,,,,,,,,,,
4,製造,せいぞう,,,Manufaktur,,,,,,,,,,,,,,,,,,,,,,,,
5,機械,きかい,,,Mesin,,,,,,,,,,,,,,,,,,,,,,,,
6,安全,あんぜん,,,Keselamatan,,,,,,,,,,,,,,,,,,,,,,,,
7,危険（な）,きけん（な）,,,Berbahaya (Bahaya),,,,,"Umumnya ditulis dengan kanji, namun terkadang ditulis dengan katakana 「キケン」""berbahaya"".",,,,,,,,,,,,,,,,,,,
8,危ない,あぶない,,,Bahaya,,,,,,,,,,,,,,,,,,,,,,,,
9,清掃,せいそう,,,Pembersihan,,,,,Membersihkan dan Membereskan tempat kerja sehingga kita tahu seperti apa kondisi tempat kerja seharusnya.,,,,,,,,,,,,,,,,,,,
10,非常口,ひじょうぐち,,,Pintu keluar darurat,,,,,,,,,,,,,,,,,,,,,,,,
11,注意,ちゅうい,,,Peringatan,,,,,,,,,,,,,,,,,,,,,,,,
12,火事,かじ,,,Kebakaran,,,,,,,,,,,,,,,,,,,,,,,,
13,事故,じこ,,,Kecelakaan,,,,,,,,,,,,,,,,,,,,,,,,
14,服装,ふくそう,,,Pakaian,,,,,,,,,,,,,,,,,,,,,,,,
15,安全装置,あんぜんそうち,,,Peralatan keselamatan,,,,,,,,,,,,,,,,,,,,,,,,
1,安全カバー,あんぜんかばー,,,Tutup pengaman,,,,,,,,,,,,,,,,,,,,,,,,
2,けが,けが,,,Luka,,,,,,,,,,,,,,,,,,,,,,,,
3,けがをする,けがをする,,,Terluka,,,,,,,,,,,,,,,,,,,,,,,,
4,電源,でんげん,,,Sumber listrik,,,,,,,,,,,,,,,,,,,,,,,,
5,電源を切る,でんげんをきる,,,Mematikan listrik,,,,,,,,,,,,,,,,,,,,,,,,
6,非常停止ボタン,ひじょうていしぼたん,,,Tombol stop darurat,,,,,,,,,,,,,,,,,,,,,,,,
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,,,Menekan tombol stop darurat,,,,,,,,,,,,,,,,,,,,,,,,
8,ルール,るーる,,,Peraturan,,,,,,,,,,,,,,,,,,,,,,,,
9,ルールを守る,るーるをまもる,,,Mematuhi peraturan,,,,,,,,,,,,,,,,,,,,,,,,
10,止める,とめる,,,Menghentikan,,,,,,,,,,,,,,,,,,,,,,,,
11,機械を止める,きかいをとめる,,,Menghentikan mesin,,,,,,,,,,,,,,,,,,,,,,,,
12,やって,やって,,,Lakukan,,,,,,,,,,,,,,,,,,,,,,,,
13,止めて,とめて,,,Hentikan,,,,,,,,,,,,,,,,,,,,,,,,
14,取って,とって,,,Ambil,,,,,,,,,,,,,,,,,,,,,,,,
15,だめ（な）,だめ（な）,,,Tidak boleh (Jangan),,,,,,,,,,,,,,,,,,,,,,,,
1,監理団体,かんりだんたい,,,Lembaga pengawas,,,,,Lembaga non-profit yang mengawasi atau mengarahkan pemagang kerja teknis terkait akuisisi keterampilan dan kegiatannya.,,,,,,,,,,,,,,,,,,,
2,技術移転,ぎじゅついてん,,,Transfer teknologi,,,,,,,,,,,,,,,,,,,,,,,,
