番号,単語,翻訳
1,技能実習,ការហ្ឹវ កហ្ឺវ នជំនាញ
2,技能実習生,កម្មសិកាការីហ្ឹវ កហ្ឺវ ន ជំនាញ
3,工場,រោងចក្ក
4,製造,ការផលិត
5,機械,ម៉ា ស៊ី ន
6,安全,ស វតិថភាព
7,危険（な）,(ដែល)រក្រោះថ្នា ក់
8,危ない,រក្រោះថ្នា ក់
9,清掃,សមា  ត
10,非常口,ផូល  វោសនា
11,注意,ការក្រងុក្រយ័តា
12,火事,អគ្ិា ភ័យ
13,事故,ឧរតិរហ្ត 
14,服装,សរម្លៀករំពាក់
15,安全装置,ឧរករណ៍ស វតិថភាព
1,安全カバー,គម្របសុវត្ិថភាព
2,けが,របួស
3,けがをする,មានរបួស
4,電源,ចរនត អគិគ សនី
5,電源を切る,បិទចរនត អគិគ សនី
6,非常停止ボタン,ប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន
7,非常停止ボタンを押す,ចុចប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន
8,ルール,ចាប់
9,ルールを守る,ពោរពចាប់
10,止める,បញ្ឈប់
11,機械を止める,បញ្ឈប់មា៉ា សុីន
12,やって,ស៊ូរព្វើ
13,止めて,ស៊ូរបញ្ឈប់
14,取って,ស៊ូរយក
15,だめ（な）,(ដែល)រិនបាន
1,監理団体,អង្គភាពគ្រប់គ្រង្
2,技術移転,ការណទេរបណចេកវិទ្យា
3,技能実習期間,រយៈណពលហ្ឹវ កហ្ឺវ នជំនញ
4,職種,គ្បណេទ្យមុខរបរ
5,在留資格,អាជ្ញា ប័េណ ស្នា ក់ណៅ
6,パスポート,លិខិតឆ្លង្ដែន
7,在留カード,ប័េណ ស្នា ក់ណៅ
8,入管,អណនា  គ្បណវសន៍
9,在留期間,រយៈណពលស្នា ក់ណៅ
10,雇用契約,កិចេសនាការងារ
11,給与明細,បងាា ន់នែណបើកគ្ាក់ ណបៀវតស
12,給料,គ្ាក់ណបៀវតស
13,残業手当,គ្ាក់ឈ្ន លួ   ដែមណ ៉ោ ង្
14,労働時間,ណ ៉ោ ង្ណ្វើការ
1,控除（する）,(ធ្វើការ)ការកាត់ថ្លៃ
2,ボーナス,ប្រាក់រំណាច់
3,有休,ការសប្រមាកមានប្រាក់ ធរៀវតស
4,代休,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ
5,労働基準法,ចារ់រទដាា នការងារ
6,労働条件,ល័កខ ែ័ណឌ ការងារ
7,税金,ពនធ
8,所得税,ពនធ ធលើប្រាក់ចំណូល
9,住民税,ពនធ និវាសនជន
10,厚生年金,ប្រាក់ធសា្ននិវតាន៍ ររស់និធោជិក
11,雇用保険,ធានារា៉ា រ់រងការងារ
12,健康保険,ធានារា៉ា រ់រងស ែភាព
13,社会保険,ធានារា៉ា រ់រងសងគម
14,労災,ធប្រគ្មុះថ្នន ក់ការងារ
15,労災保険,ធានារា៉ា រ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ
1,遅刻（する）,(ធ្វើការ) មកយឺត
2,早退（する）,(ធ្វើការ) ធេញមុនធេល
3,休憩（する）,(ធ្វើការ) សម្រាក
4,残業（する）,(ធ្វើការ) ការងារថែមធា៉ោ ង
5,定時,ធេលធ ៀងទាត់
6,規則,ប បញ្ជា
7,休日,ថ្ែៃឈប់សម្រាក
8,始業時間,ធា៉ោ ងចាប់ធ្តើមការងារ
9,終業時間,ធា៉ោ ងបញ្ច ប់ការងារ
10,指導員,អ្ន កបងាា ត់បធម្រងៀន
11,生活指導員,អ្ន កបងាា ត់បធម្រងៀនេីការ រស់ធៅ
12,担当者,អ្ន ក  ួលខុសម្រតូេ
13,スイッチ入れるな,កុំធបើកេរនត អ្គ្ិគ សនី
14,スイッチ切るな,កុំបិ េរនត អ្គ្ិគ នសី
15,使用禁止,ហាមធម្របើម្រាស់
1,5S,ស ៥
2,整理,មាៃរបបៀប
3,整頓,បរៀបរយ
4,清掃,សមាា  ត
5,清潔,ស្ថា ត
6,しつけ,វិៃ័យ
7,掃除（する）,(ប្ីវការ)សមាា  ត
8,片づける,បរៀបចាំ
9,捨てる,បចល
10,汚い,ក្ខ្វ ក្់
11,汚れる,ប្លាក្់
12,分別（する）,(ប្ីវការ)ដបងដចក្
13,燃えないごみ,ស មា្មមិៃប ះ
14,燃えるごみ,ស មា្មប ះ
15,挟まれる,គ្នប
16,巻き込まれる,ត្ូវាៃពាក្់ព័ៃធ
17,やけど（する）,(មាៃ)រលាក្
18,落ちる,្្ះរ
19,すべる,រអិល
20,転ぶ,ែួល
21,濡れる,បសើម
22,衛生,អនាម័យ
23,避難（する）,(ប្ីវការ)្បមែៀស
24,救急車,ឡាៃសប ងា្គ ះបនាា  ៃ់
25,災害,ប គ្ន្ះមហៃត ោយ
26,地震,ការរញ្ជ យួ   ែី
27,もぐる,មុ្
1,火気厳禁,ហាមដាច់ខាតប រ្ើប្លើង
2,開放厳禁,ហាមដាច់ខាតបរើកចំហ
3,標識,សញ្ញា
4,気をつける,ខ្ំញនឹង រ្ងុ រ្យ័តន
5,持ち込む,យកចូល
6,防ぐ,រង្កា រ
7,火,ប្លើង
8,煙,ផ្សែង
9,消火,ព្នល ត់អគ្ិគ ្័យ
10,消火器,ឧរករណ៍ព្នល ត់អគ្ិគ ្័យ
11,非常ベル,កណឹត ងអាសនន
12,火災報知機,កណឹត ង រ្កាសអគ្ិគ ្័យ
13,逃げる,រត់បគ្ច
14,現場,កផ្នល ងការង្ករ
15,作業,ការង្ករ
16,ミーティング,ការ រ្ជុំ
17,研修（する）,(ប្វើការ)កមមសិកា
18,実習（する）,(ប្វើការ)សិកា
19,あいさつ,ររវកិចច
20,確認（する）,(ប្វើការ)រញ្ញា  ក់
21,報告（する）,(ប្វើការ)ការោយការណ៍
22,連絡（する）,(ប្វើការ)ទាក់ទង
23,相談（する）,(ប្វើការ)ព្ិភាកា
24,渡す,ឆ្លងកាត់
25,申請書,ពាកែបសន ើសុំ
26,寝坊（する）,(ប្វើការ)បគ្ង ជ្ុល
1,技能,
2,技能検定試験,
3,受検（する）,
4,資格,
5,手当,
6,社員,
7,部長,
8,課長,
9,更衣室,
10,台車,
11,床,
12,出口,
13,電気,
14,警報音,
15,コンセント,
16,作業場,
17,作業台,
18,工事現場,
19,職長,
20,作業責任者,
1,禁止,
2,表示板,
3,禁止事項,
4,避難訓練,
5,感電（する）,
6,防止（する）,
7,予防（する）,
8,転倒（する）,
9,挟まる,
10,足元,
11,不安定（な）,
12,後片付け,
13,救急箱,
14,絆創膏,
15,体調,
16,血,
17,熱中症,
18,吐き気,
19,嘔吐（する）,
20,足がつる,
21,気分が悪い,
22,寝不足,
23,安全ネット,
24,安全点検,
1,KY活動（危険予知活動）,
2,危険,
3,ぶつかる,
4,当たる,
5,下敷きになる,
6,打つ,
7,バランスを崩す,
8,倒れる,
9,転落（する）,
10,指差呼称,
11,ヒヤリハット,
12,原因,
13,対策,
14,落下（する）,
15,墜落（する）,
16,確認（する）,
1,作業着,សម្លៀកបំពាក់ម្វើការ
2,作業服,សម្លៀកបំពាក់ការងារ
3,作業靴,ស្សែកម ើងការងារ
4,手袋,មរោ្ដៃ
5,帽子,្ួក
6,保護帽（ヘルメット）,្ួកការពារ(្ួកបងាា រ មររោះថ្នា ក់)
7,保護具,ឧបករណ៏បងាា រមររោះថ្នា ក់
8,あごひも,ស្សែរកវ៉ា ត់ចងាា រ
9,ボタン,មេវ
10,ポケット,មោម ៉ៅ
11,保護メガネ,ស្វនតាការពារ
12,マスク,ម៉ៅ ស់
13,耳栓,ឆ្ន ុករតមចៀក
14,安全靴,ស្សែកម ើងសុវតិថភាព
15,墜落制止用器具（安全帯）,ឧបករណ៏សំរាប់បញ្ឈប់ ការធ្លល ក់ចុោះ(ស្សែរកវ៉ា ត់ សុវតិថភាព)
16,業務,កិចចការ
17,時間厳守,របកាន់មពលមវលាខាា  ប់សជ នួ
18,予定,គមរមង
19,日付,កាលបរិមចេទ
20,準備（する）,(ការ)មរតៀ្
21,会議,ការរប ុំ
22,朝礼,ការរប ុំមពលរពឹក
23,報告書,មសចកីត រាយការណ៏
24,マニュアル,មសៀវមៅស្ណនំ
25,作業手順書,ឯកោរនីតិវិ្ីការងារ
26,調子,ចលនកន ុងសល នួ
1,立入禁止,ហាមចូល
2,禁煙,ហាមជក់បារី
3,火気厳禁,ហាមបង្កា ត់ភ្លើង
4,駐車禁止,ហាមចត
5,足もと注意,ប្បយ័តនប ៉ះភជើង
6,開口部注意,ប្បយ័តនផ្ននកភបើកចំហ
7,感電注意,ប្បយ័តនឆក់
8,堕落注意,ប្បយ័តនធ្លល ក់
9,頭上注意,ប្បយ័តនភលើកាល
10,警報設備,កផ្លល ងចុចប្បកាសអាសលន
11,消火器,បំពង់ពលល ត់អគ្ិគ ្័យ
12,AED設置場所,ទីតំងបំពាក់AED
13,保護帽着用,ពាក់មួកការពារ(មួក បង្កា រភប្រ៉ះថ្នន ក់)
14,安全帯使用,ភប្បើផ្សែប្កវ៉ា ត់សុវតិថ ភាព
15,昇降階段,ជភ្ត ើរភ ើងចុ៉ះ
16,休憩所,កផ្លល ងសប្ាក
17,最大積載荷重,សមតថភាពនុទ កអតិបរា
18,喫煙所,កផ្លល ងជក់បារី
19,整理整頓,ភរៀបចំ សណ្តត  ប់ធ្លន ប់
20,安全通路,នូល  វសុវតិថ ភាព
1,,
2,,
3,,
4,,
5,,
6,,
7,,
8,,
9,,
10,,
11,,
12,,
13,,
14,,
15,,
16,,
17,,
18,,
19,,
20,,
21,,
22,,
23,,
24,,
25,,
1,親綱,ខ្សែពួរមេ
2,建枠（ビティ）,គំរបឈ្នន ន់(ប៊ី ្ី)
3,メッシュシート,ក្កណាត់សំណាញ់
4,防音パネル,ផ្ា ំង ប់សមេលង
5,朝顔材,ផ្ា ំងមក្ៅសក្ម្ខប់ការពារ
6,架空線,ខ្សែមលើ
7,幅木（仮設足場）,កាត របំងមជើង(កខ្នល ង ដ្ឋក់មជើងបមណាត  ះោសនន )
8,単管,បំពង់ឯក
9,脚立,ជមណត ើរមកាង
10,作業半径,កាំក្បតិបតិត ការងារ
11,仮ボルト,បូ  ុងបមណាត  ះោសនន
12,手直し,ខ្កម ើងវិញ
13,面一,មោយនផាទំងពីរមសម ើរន
14,点検事項,ក្បការក្តួតពិនិតយ
15,積載荷重, េងន់ចំណុះដ្ឋក់
16,すき間,ចមន្ទល  ះ
17,通りを見る,ពិនិតយផូល  វថ្នល់
18,組立,តមេលើង
19,地組,ការផ្ំគេូលដ្ឋា ន
20,天端,ខ្ផនកខ្ទងមលើននសំណង់
21,玉掛け,ចំណងTamagake
22,合図,សញ្ញា
23,定格荷重, េងន់តេខ្ទន ត
24,たち,បញ្ឈរ
25,職長,មេការ
1,安全カバー,គម្របសុវត្ិថ ភាព
2,安全帯,ផ្ខ្ែម្កវា៉ា ត្់សុវត្ិថ ភាព
3,インサート,បញ្ូច ល
4,スペーサ,ឧបករណ៏រកាចស្ែ  ោះ
5,鉄筋,សរសសផ្ ក
6,電工ドラム（ドラム）,ផ្ខ្ែស្ែើងរំផ្វង( ូ រ៉ា រ រុ  )
7,電動丸のこ（電のこ）,រណាម៉ា សុ៊ីន(ស ង ណូ កូ )
8,パッキン,ថ្នា ំបិទ ិត្
9,小バール,ផ្ ករស់ត្ូច
