番号,単語,翻訳
1,技能実習,
2,技能実習生,
3,工場,
4,製造,
5,機械,
6,安全,
7,危険（な）,
8,危ない,
9,清掃,
10,非常口,
11,注意,
12,火事,
13,事故,
14,服装,
15,安全装置,
1,安全カバー,
2,けが,
3,けがをする,
4,電源,
5,電源を切る,
6,非常停止ボタン,
7,非常停止ボタンを押す,
8,ルール,
9,ルールを守る,
10,止める,
11,機械を止める,
12,やって,
13,止めて,
14,取って,
15,だめ（な）,
1,監理団体,
2,技術移転,
3,技能実習期間,
4,職種,
5,在留資格,
6,パスポート,
7,在留カード,
8,入管,
9,在留期間,
10,雇用契約,
11,給与明細,
12,給料,
13,残業手当,
14,労働時間,
1,控除（する）,
2,ボーナス,
3,有休,
4,代休,
5,労働基準法,
6,労働条件,
7,税金,
8,所得税,
9,住民税,
10,厚生年金,
11,雇用保険,
12,健康保険,
13,社会保険,
14,労災,
15,労災保険,
1,遅刻（する）,
2,早退（する）,
3,休憩（する）,
4,残業（する）,
5,定時,
6,規則,
7,休日,
8,始業時間,
9,終業時間,
10,指導員,
11,生活指導員,
12,担当者,
13,スイッチ入れるな,
14,スイッチ切るな,
15,使用禁止,
1,5S,
2,整理,
3,整頓,
4,清掃,
5,清潔,
6,しつけ,
7,掃除（する）,
8,片づける,
9,捨てる,
10,汚い,
11,汚れる,
12,分別（する）,
13,燃えないごみ,
14,燃えるごみ,
15,挟まれる,
16,巻き込まれる,
17,やけど（する）,
18,落ちる,
19,すべる,
20,転ぶ,
21,濡れる,
22,衛生,
23,避難（する）,
24,救急車,
25,災害,
26,地震,
27,もぐる,
1,火気厳禁,
2,開放厳禁,
3,標識,
4,気をつける,
5,持ち込む,
6,防ぐ,
7,火,
8,煙,
9,消火,
10,消火器,
11,非常ベル,
12,火災報知機,
13,逃げる,
14,現場,
15,作業,
16,ミーティング,
17,研修（する）,
18,実習（する）,
19,あいさつ,
20,確認（する）,
21,報告（する）,
22,連絡（する）,
23,相談（する）,
24,渡す,
25,申請書,
26,寝坊（する）,
1,技能,
2,技能検定試験,
3,受検（する）,
4,資格,
5,手当,
6,社員,
7,部長,
8,課長,
9,更衣室,
10,台車,
11,床,
12,出口,
13,電気,
14,警報音,
15,コンセント,
16,作業場,
17,作業台,
18,工事現場,
19,職長,
20,作業責任者,
1,禁止,
2,表示板,
3,禁止事項,
4,避難訓練,
5,感電（する）,
6,防止（する）,
7,予防（する）,
8,転倒（する）,
9,挟まる,
10,足元,
11,不安定（な）,
12,後片付け,
13,救急箱,
14,絆創膏,
15,体調,
16,血,
17,熱中症,
18,吐き気,
19,嘔吐（する）,
20,足がつる,
21,気分が悪い,
22,寝不足,
23,安全ネット,
24,安全点検,
1,KY活動（危険予知活動）,
2,危険,
3,ぶつかる,
4,当たる,
5,下敷きになる,
6,打つ,
7,バランスを崩す,
8,倒れる,
9,転落（する）,
10,指差呼称,
11,ヒヤリハット,
12,原因,
13,対策,
14,落下（する）,
15,墜落（する）,
16,確認（する）,
1,作業着,
2,作業服,
3,作業靴,
4,手袋,
5,帽子,
6,保護帽（ヘルメット）,
7,保護具,
8,あごひも,
9,ボタン,
10,ポケット,
11,保護メガネ,
12,マスク,
13,耳栓,
14,安全靴,
15,墜落制止用器具（安全帯）,
16,業務,
17,時間厳守,
18,予定,
19,日付,
20,準備（する）,
21,会議,
22,朝礼,
23,報告書,
24,マニュアル,
25,作業手順書,
26,調子,
1,立入禁止,
2,禁煙,
3,火気厳禁,
4,駐車禁止,
5,足もと注意,
6,開口部注意,
7,感電注意,
8,堕落注意,
9,頭上注意,
10,警報設備,
11,消火器,
12,AED設置場所,
13,保護帽着用,
14,安全帯使用,
15,昇降階段,
16,休憩所,
17,最大積載荷重,
18,喫煙所,
19,整理整頓,
20,安全通路,
1,,จับยึ ดท่อเหล็กให้ เชืI   อมต่อเข้ า ด้ วยกันด้ วยชุดข้ อสื3อห่วงติ ดกัน
2,,แบ่งขนถ่ายดิ นด้ วยสายพานลําเลี ย
3,,ตอกหมุดด้ วยค้ อนไม้
4,,ตบอัดพืy   นดิ นให้ แน่นโดยเครืI   อง กระทุ้ งดิ น
5,,ใช้ ข้ อเสื อเป็นจับยึ ดท่อเหล็กให้ เชืI   อมต่อเข้ าด้ วยกันอย่างคงทีI
6,,ใช้ ชุดบี มแคลมป์กับข้ อเสื อจับยึ ด ท่อเหล็กไว้ กับโครงเหล็ก
7,,ใช้ แคลมป์ยกเหล็กจับยกท่อเหล็ก ทีI   ต่อเข้ าด้ วยกันแล้ ว
8,,ใช้ ข้ อเสื อตัy   งฉากจับยึ ดท่อเหล็ก เชืI   อมต่อเข้ าด้ วยกันอย่างคงทีI
9,,คล้ องลวดสลิ งเข้ ากับตะขอยก
10,,คล้ องลวดเหล็กเข้ ากับสเก็นตัวยู
11,,ยกวัสดุขึy   นด้ วยรอก
12,,ยกวัสดุขึy   นด้ วยปัy   นจัI   น
13,,ยกวัสดุด้ วยปัy   นจัI   นเคลืI   อนทีI
14,,ลดการส่ายของวัสดุด้ วยเชื อกพยุง กันส่ าย
15,,ใช้ บันไดขึy   นลงภายในนัI   งร้ านเ ขึy   นไปนัI   งร้ านชัy   นบน
16,,สอดเดื อยล็อคกากบาทนัI   งร้ าน แล้ วพับงอไว้
17,,ข้ อต่อเสานัI   งร้ านต้ องสอดให้ สุด
18,,ข้ อต่อต้ องสอดให้ สุด
19,,อุปกรณ์ข้ อต่อต้ องใส่ให้ สุดและให้ เข้ าทีI   อย่างถูกต้ อง
20,,ยึ ดวัสดุด้ วยรอกโยก
21,,ใช้ เลืI   อยวงเดื อนตัดแบบหล่อ คอนกรีต
22,,ใช้ ประแจเลืI   อนขันหรือคลายน็อต
23,,ติ ดตัy   งเสายึ ดเชื อกป้องกันการตก ในจุดขึ งเชื อกป้องกันการตก
24,,ติ ดตัy   งท้ าวแขนเข้ ากับนัI   งร้ าน
25,,
1,親綱,
2,建枠（ビティ）,
3,メッシュシート,
4,防音パネル,
5,朝顔材,
6,架空線,
7,幅木（仮設足場）,
8,単管,
9,脚立,
10,作業半径,
11,仮ボルト,
12,手直し,
13,面一,
14,点検事項,
15,積載荷重,
16,すき間,
17,通りを見る,
18,組立,
19,地組,
20,天端,
21,玉掛け,
22,合図,
23,定格荷重,
24,たち,
25,職長,
1,安全カバー,
2,安全帯,
3,インサート,
4,スペーサ,
5,鉄筋,
6,電工ドラム（ドラム）,
7,電動丸のこ（電のこ）,
8,パッキン,
9,小バール,
10,大バール,
11,化粧合板,
12,普通合板,
13,スタイロフォーム,
14,面木,
15,バイブレーター,
16,剥離剤,
17,けこみ板,
18,目地棒,
19,コンクリート,
20,コンベックス,
21,作業用手袋,
22,差金,
23,水平器,
24,墨さし,
25,墨つぼ,
1,"丸セパレーター
（丸セパ）",
2,天端釘,
3,ケレン,
4,型枠支保工,
5,"基礎型枠
（メタルフォーム）",
6,釘仕舞い,
7,スラブ天端,
8,高さ（タッパ）,
9,建込み,
10,通り,
11,蹴上げ,
12,蹴込み,
13,工具の手入れ,
14,下げ振り,
15,地墨,
16,捨てコンクリート,
17,はね出し,
18,はらみ,
19,前面,
20,養生,
21,レベル,
22,割付,
23,埋め込み金物,
24,解体する（バラス）,
25,かぶり寸法,
1,異形棒鋼,
2,結束線,
3,結束工具,
4,鉄筋切断機,
5,鉄筋曲げ加工機,
6,フック,
7,保護帽（ヘルメット）,
8,アンカー,
9,加工場,
10,スペーサ―,
11,ドーナツ,
12,加工配筋図,
13,配筋詳細図,
14,開口補強筋,
15,幅止め筋,
16,差筋,
17,柱主筋,
18,柱配筋,
19,スラブ筋,
20,ベース筋,
21,帯筋（フープ）,
22,下端筋,
23,上端筋,
24,主筋,
25,あばら筋,
1,はかま筋,
2,縦筋,
3,下筋,
4,横筋,
5,腹筋,
6,配力筋,
7,上筋,
8,スパイラル筋,
9,鉄筋径,
10,かぶり厚さ,
11,角度,
12,シングル,
13,ダブル,
14,千鳥結束,
15,切断寸法,
16,加工寸法,
17,重ね継手,
18,圧接継手,
19,開口部,
20,溶接金網,
21,搬出,
22,搬入,
23,基礎,
24,機械式継手,
25,配筋検査,
1,トラクタ,
2,ブルドーザ,
3,トラクタショベル,
4,ホイルローダ,
5,ダンプトラック,
6,油圧ショベル,
7,バックホウ,
8,ローディングショベル,
9,ローラ,
10,バケット,
11,ブーム,
12,アーム,
13,ブレード（排土板）,
14,タイヤ,
15,クローラ,
16,キー（鍵）,
17,"作業装置
（アタッチメント）",
18,エンジン,
19,ディーゼルエンジン,
20,エンジンオイル,
21,"オルタネータ
（充電発電機）",
22,バッテリ,
23,燃料,
24,軽油,
25,ブレーキ,
1,油圧シリンダ,
2,油圧モータ,
3,油圧ポンプ,
4,水漏れ,
5,油漏れ,
6,冷却水,
7,ブレーキ液,
8,燃料タンク,
9,ファンベルト,
10,空気圧,
11,クラッチ,
12,急発進,
13,急ブレーキ,
14,アイドリング,
15,走行,
16,旋回,
17,安全ロック,
18,安全支柱,
19,補給（する）,
20,駐車（する）,
21,歩行者,
22,車両,
23,死角,
24,斜面,
25,転圧（する）,
1,接触（する）,
2,作動（する）,
3,整備（する）,
4,点検（する）,
5,動かす,
6,運転（する）,
7,測る,
8,操作（する）,
9,停止（する）,
10,切る,
11,回す,
12,押す,
13,集める,
14,触る,
15,縛る,
16,揃える,
17,結ぶ,
18,しゃがむ,
19,調整（する）,
20,閉じる,
1,取り出す,
2,戻す,
3,仕上げる,
4,折れる,
5,欠ける,
6,近づく,
7,電源を入れる,
8,電源を落とす,
9,スイッチを切る,
10,固定（する）,
11,ゆるめる,
12,伸ばす,
13,外す,
14,曲げる,
15,出す,
16,乾かす,
17,数える,
18,運ぶ,
19,積む,
20,下ろす,
21,離れる,
1,位置,
2,寸法,
3,測定（する）,
4,計測（する）,
5,計測器,
6,温度,
7,高さ,
8,長さ,
9,重さ,
10,厚さ,
11,硬さ,
12,深さ,
13,表面,
14,すきま,
15,中心,
16,値,
17,安定（する）,
18,大きさ,
19,数,
20,誤差,
21,中,
22,反対,
23,周り,
24,尺,
25,青,
26,赤,
27,白,
28,黄色,
1,片づける,
2,捨てる,
3,掃く,
4,持ち上げる,
5,束ねる,
6,足をくじく,
1,一輪車,
2,支柱,
3,ショベル,
4,かけや,
