Biển báo,Chú thích,Column_4,Column_6,Cách đọc (Hiragana),Dịch,PDFページ番号,PDF表番号,Số,Từ vựng,Ví dụ câu,Ảnh
,,,,ぎのうじっしゅう,Thực tập kỹ năng,1,1,1,技能実習,,
,,,,ぎのうじっしゅうせい,Thực tập sinh kỹ năng,1,1,2,技能実習生,,
,,,,こうじょう,Nhà máy,1,1,3,工場,,
,,,,せいぞう,Chế tạo,1,1,4,製造,,
,,,,きかい,Máy móc,1,1,5,機械,,
,,,,あんぜん,An toàn,1,1,6,安全,,
,"Thường sẽ hay viết bằng chữ Kanji,
nhưng trong nhà máy, đôi khi được
viết bằng chữ Katakana là ""キケン
(Nguy hiểm)"".",,,きけん（な）,Nguy hiểm (tính từ),1,1,7,危険（な）,,
,,,,あぶない,Nguy hiểm,1,1,8,危ない,,
,"Làm vệ sinh để làm cho nơi làm việc
trở nên sạch sẽ, đẹp, và dễ hiểu được đ
ó là tình trạng đúng.",,,せいそう,Làm vệ sinh,1,1,9,清掃,,
,,,,ひじょうぐち,Cửa thoát hiểm,1,1,10,非常口,,
,,,,ちゅうい,Chú ý,1,1,11,注意,,
,,,,かじ,Hỏa hoạn,1,1,12,火事,,
,,,,じこ,Sự cố,1,1,13,事故,,
,,,,ふくそう,Trang phục,1,1,14,服装,,
,,,,あんぜんそうち,Thiết bị an toàn,1,1,15,安全装置,,
,,,,あんぜんかばー,Nắp đậy an toàn,2,1,1,安全カバー,,
,,,,けが,Vết thương,2,1,2,けが,,
,,,,けがをする,Bị thương,2,1,3,けがをする,,
,,,,でんげん,Nguồn điện,2,1,4,電源,,
,,,,でんげんをきる,Tắt nguồn điện,2,1,5,電源を切る,,
,,,,ひじょうていしぼたん,Nút dừng khẩn cấp,2,1,6,非常停止ボタン,,
,,,,"ひじょうていしぼたんを
おす",Nhấn nút dừng khẩn cấp,2,1,7,非常停止ボタンを押す,,
,,,,るーる,Quy tắc,2,1,8,ルール,,
,,,,るーるをまもる,Tuân thủ quy tắc,2,1,9,ルールを守る,,
,,,,とめる,Cho dừng,2,1,10,止める,,
,,,,きかいをとめる,Cho dừng máy,2,1,11,機械を止める,,
,,,,やって,Hãy làm,2,1,12,やって,,
,,,,とめて,Hãy dừng lại,2,1,13,止めて,,
,,,,とって,Hãy lấy,2,1,14,取って,,
,,,,だめ（な）,"(tính từ) Không được, kh
ông tốt",2,1,15,だめ（な）,,
,"Là tổ chức phi lợi nhuận thực hiện
quản lý và hướng dẫn về việc học tập
kỹ năng và các hoạt động của thực
tập sinh kỹ năng.",,,かんりだんたい,"Đoàn thể giám sát
(nghiệp đoàn)",3,1,1,監理団体,,
,,,,ぎじゅついてん,Chuyển giao kỹ thuật,3,1,2,技術移転,,
,,,,ぎのうじっしゅうきかん,"Thời gian thực tập kỹ
năng",3,1,3,技能実習期間,,
,,,,しょくしゅ,Ngành nghề,3,1,4,職種,,
,,,,ざいりゅうしかく,Tư cách lưu trú,3,1,5,在留資格,,
,,,,ぱすぽーと,Hộ chiếu,3,1,6,パスポート,,
,,,,ざいりゅうかーど,Thẻ lưu trú,3,1,7,在留カード,,
,"にゅうこくかんりちょう
Chữ viết tắt của ""入国管理庁 (Cục
にゅうこくかんりきょく
quản lý nhập cảnh)"", ""入国管理局
(Cục quản lý nhập cảnh)"".",,,にゅうかん,Cục quản lý nhập cảnh,3,1,8,入管,,
,,,,ざいりゅうきかん,Thời hạn lưu trú,3,1,9,在留期間,,
,,,,こようけいやく,Hợp đồng tuyển dụng,3,1,10,雇用契約,,
,,,,きゅうよめいさい,Bảng chi tiết lương,3,1,11,給与明細,,
,,,,きゅうりょう,Lương,3,1,12,給料,,
,,,,ざんぎょうてあて,Trợ cấp làm tăng ca,3,1,13,残業手当,,
,,,,ろうどうじかん,Thời gian làm việc,3,1,14,労働時間,,
,"Trừ đi một số tiền nhất định từ số tiền ban đ
ầu. Chủ yếu được sử dụng khi trừ tiền thuế.",,"Người phải cấp dưỡng cho gia đình
thì có trường hợp được hưởng ""Khấu
trừ cấp dưỡng"".",こうじょ（する）,(động từ) Khấu trừ,4,1,1,控除（する）,"かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",
,,,,ぼーなす,Tiền thưởng,4,1,2,ボーナス,,
,"ゆうきゅうきゅうか
""有給休暇 (Nghỉ phép có lương)"". Là việc
nghỉ làm mà vẫn được trả tiền lương. Cá
ゆうきゅうきゅうか
ch nói ngắn gọn của ""有給休暇 (Nghỉ phép
ゆうきゅう
có lương)"" là ""有休 (Gọi tắt)"".",,"Tuần sau tôi sẽ nghỉ phép, vì vậy tôi
đã nộp đơn xin.",ゆうきゅう,Nghỉ phép có lương,4,1,3,有休,"らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",
,"Là ngày được nghỉ bù trong trường hợp đi là
m vào ngày nghỉ.",,,だいきゅう,Nghỉ bù,4,1,4,代休,,
,"Là bộ luật của Nhật Bản quy định các tiêu
chuẩn về lao động.",,,ろうどうきじゅんほう,Luật lao động cơ bản,4,1,5,労働基準法,,
,,,,ろうどうじょうけん,Điều kiện lao động,4,1,6,労働条件,,
,,,,ぜいきん,Tiền thuế,4,1,7,税金,,
,"Là tiền thuế đánh vào thu nhập như tiền
lương trong một năm.",,,しょとくぜい,Thuế thu nhập,4,1,8,所得税,,
,"Thuế nộp cho chính quyền địa phương nơi
sinh sống.",,,じゅうみんぜい,Thuế cư dân,4,1,9,住民税,,
,"Là chế độ lương hưu mà nhân viên công ty v
à cán bộ công chức tham gia và được chi trả
khi tuổi cao, bị bệnh tật hoặc tử vong.",,,こうせいねんきん,Lương hưu,4,1,10,厚生年金,,
,"Là bảo hiểm được chi trả trong trường hợp
thất nghiệp hoặc đi tìm việc làm khác",,,こようほけん,Bảo hiểm thất nghiệp,4,1,11,雇用保険,,
,"Là bảo hiểm được chi trả khi bản thân người
tham gia hoặc gia đình phải điều trị y tế.",,,けんこうほけん,Bảo hiểm y tế,5,1,12,健康保険,,
,"Là tên gọi chung cho bảo hiểm y tế, bảo
hiểm hưu trí, bảo hiểm chăm sóc, bảo hiểm
thất nghiệp và bảo hiểm tai nạn lao động. Cũ
ng có trường hợp chỉ bảo hiểm y tế và bảo
hiểm hưu trí chủ yếu do nhân viên công ty
tham gia.",,,しゃかいほけん,Bảo hiểm xã hội,5,1,13,社会保険,,
,"ろうどうさいがい
Viết tắt của ""労働災害 (Tai nạn lao động)"".
Là việc bị thương trong khi làm việc hoặc bị
bệnh do làm việc.",,,ろうさい,Tai nạn lao động,5,1,14,労災,,
,"Là bảo hiểm chi trả một khoản tiền thanh toá
n một lần trong trường hợp phát sinh chi phí
điều trị, cho khoảng thời gian không thể làm
việc hoặc cho thương tật do tai nạn lao động.",,,ろうさいほけん,"Bảo hiểm tai nạn lao đ
ộng",5,1,15,労災保険,,
,,,,ちこく（する）,(động từ) Đi muộn,6,1,1,遅刻（する）,,
,,,,そうたい（する）,(động từ) Về sớm,6,1,2,早退（する）,,
,,,,きゅうけい（する）,(động từ) Nghỉ giải lao,6,1,3,休憩（する）,,
,,,,ざんぎょう（する）,(động từ) Làm thêm giờ,6,1,4,残業（する）,,
,"Giờ đã được quy định. Tại nơi làm
việc, chủ yếu chỉ thời gian đã được quy
định ví dụ giờ đến công ty, giờ về.",,Hôm nay tôi sẽ về đúng giờ.,ていじ,Giờ quy định,6,1,5,定時,"き ょ う ていじ かえ
今日は定時に帰る",
,,,,きそく,Quy tắc,6,1,6,規則,,
,,,,きゅうじつ,Ngày nghỉ,6,1,7,休日,,
,,,,しぎょうじかん,Giờ bắt đầu làm việc,6,1,8,始業時間,,
,,,,しゅうぎょうじかん,Giờ kết thúc làm việc,6,1,9,終業時間,,
,,,,しどういん,Người hướng dẫn,6,1,10,指導員,,
,,,,せいかつしどういん,Người hướng dẫn đời sống,6,1,11,生活指導員,,
,,,,たんとうしゃ,Người phụ trách,6,1,12,担当者,,
,,,,すいっちいれるな,Không được bật công tắc,6,1,13,スイッチ入れるな,,
,,,,すいっちきるな,Không được tắt công tắc,6,1,14,スイッチ切るな,,
,,,,しようきんし,Cấm sử dụng,6,1,15,使用禁止,,
,"Là 5 từ Seiri, Seiton, Seisou, Seiketsu,
Shitsuke. S là chữ viết tắt của các chữ
cái đầu. Là từ được sử dụng để duy trì
và cải thiện nơi làm việc.",,,ごえす,5S,7,1,1,5S,,
,"Là việc xác định rõ những gì cần thiết
và những gì không cần thiết rồi chia sẻ
thông tin đó với nhau để nâng cao chất
lượng và năng suất.",,,せいり,Seiri (sàng lọc),7,1,2,整理,,
,"Là việc quy định vị trí để và cách để cá
c vật dụng cần thiết, hiển thị chúng
một cách rõ ràng nhằm giảm sự không
hợp lý và sự lãng phí.",,,せいとん,Seiton (sắp xếp),7,1,3,整頓,,
,"Làm vệ sinh để làm cho nơi làm việc
trở nên sạch sẽ, đẹp, và dễ hiểu được đ
ó là tình trạng đúng.",,,せいそう,Seisou (sạch sẽ),7,1,4,清掃,,
,"Là việc thực hiện triệt để Seiri, Seiton,
Seisou để duy trì tình trạng bình
thường, không bị bẩn.",,,せいけつ,Seiketsu (săn sóc),7,1,5,清潔,,
,"Là việc tạo thành thói quen để thực
hiện được những việc đã được quy đ
ịnh đúng như nó đã được quy định, và
tạo thành văn hóa hợp tác lẫn nhau.",,,しつけ,Shitsuke (sẵn sàng),7,1,6,しつけ,,
,,,,そうじ（する）,(động từ) Làm vệ sinh,8,1,7,掃除（する）,,
,,,,かたづける,Dọn dẹp,8,1,8,片づける,,
,,,,すてる,Vứt bỏ,8,1,9,捨てる,,
,,,,きたない,Bẩn,8,1,10,汚い,,
,,,,よごれる,Bị bẩn,8,1,11,汚れる,,
,,,,ぶんべつ（する）,(động từ) Phân loại,8,1,12,分別（する）,,
,,,,もえないごみ,Rác không cháy được,8,1,13,燃えないごみ,,
,,,,もえるごみ,Rác cháy được,8,1,14,燃えるごみ,,
,,,Bị kẹp tay vào máy.,はさまれる,Bị kẹp vào,8,1,15,挟まれる,"きかい て はさ
機械に手が挟まれた",
,,,"1) Bị cuốn tay vào máy.
2) Găng tay bị cuốn vào trong máy
phay.",まきこまれる,Bị cuốn vào,8,1,16,巻き込まれる,"きかい て ま こ
1)機械に手が巻き込まれる
てぶくろ ばん ま こ
2)手袋がフライス盤に巻き込まれる",
,,,,やけど（する）,(động từ) Bị bỏng,8,1,17,やけど（する）,,
,,,Bị rơi xuống cầu thang.,おちる,Bị rơi,8,1,18,落ちる,"かいだん お
階段から落ちる",
,,,Sàn nhà trơn.,すべる,Trơn,8,1,19,すべる,"ゆか
床がすべる",
