Column_4,Column_6,Example,How to read (Hiragana),No.,Note,PDFページ番号,PDF表番号,Picture,Sign,Translation,Word/Phrase
,,,ぎのうじっしゅう,1,,1,1,,,Technical intern training,技能実習
,,,ぎのうじっしゅうせい,2,,1,1,,,Technical intern trainee,技能実習生
,,,こうじょう,3,,1,1,,,Factory; plant,工場
,,,せいぞう,4,,1,1,,,Manufacturing,製造
,,,きかい,5,,1,1,,,Machine; machinery,機械
,,,あんぜん,6,,1,1,,,Safety,安全
,,,きけん（な）,7,"Normally written in Kanji Chinese
characters but may be written in
Katakana ""キケン"" in some factories.",1,1,,,Danger (dangerous),危険（な）
,,,あぶない,8,,1,1,,,Dangerous,危ない
,,,せいそう,9,"To clean the workplace to make the
right workplace condition easily
identifiable.",1,1,,,Seisou (Shine),清掃
,,,ひじょうぐち,10,,1,1,,,Emergency exit,非常口
,,,ちゅうい,11,,1,1,,,Attention,注意
,,,かじ,12,,1,1,,,Fire,火事
,,,じこ,13,,1,1,,,Accident,事故
,,,ふくそう,14,,1,1,,,Clothes,服装
,,,あんぜんそうち,15,,1,1,,,Safety equipment,安全装置
,,,あんぜんかばー,1,,2,1,,,"Safety cover; protection
cover",安全カバー
,,,けが,2,,2,1,,,Injury,けが
,,,けがをする,3,,2,1,,,To get injured,けがをする
,,,でんげん,4,,2,1,,,Power supply,電源
,,,でんげんをきる,5,,2,1,,,To turn off power,電源を切る
,,,ひじょうていしぼたん,6,,2,1,,,Emergency stop button,非常停止ボタン
,,,"ひじょうていしぼたんを
おす",7,,2,1,,,"To push an emergency
stop button",非常停止ボタンを押す
,,,るーる,8,,2,1,,,Rule,ルール
,,,るーるをまもる,9,,2,1,,,To comply with rules,ルールを守る
,,,とめる,10,,2,1,,,To stop,止める
,,,きかいをとめる,11,,2,1,,,To stop a machine,機械を止める
,,,やって,12,,2,1,,,Do (something).,やって
,,,とめて,13,,2,1,,,Stop (something).,止めて
,,,とって,14,,2,1,,,"Take; pick up; pass
(something).",取って
,,,だめ（な）,15,,2,1,,,"No. ; No good (bad;
wrong)",だめ（な）
,,,かんりだんたい,1,"Non-profit organizations that
manage and supervise skill
acquisitions and other activities of
technical intern trainees.",3,1,,,Supervising organization,監理団体
,,,ぎじゅついてん,2,,3,1,,,Technology transfer,技術移転
,,,ぎのうじっしゅうきかん,3,,3,1,,,"Technical intern training
period",技能実習期間
,,,しょくしゅ,4,,3,1,,,Job type,職種
,,,ざいりゅうしかく,5,,3,1,,,Status of residence,在留資格
,,,ぱすぽーと,6,,3,1,,,Passport,パスポート
,,,ざいりゅうかーど,7,,3,1,,,Residence card,在留カード
,,,にゅうかん,8,"にゅうこくかんりちょう
Abbreviation for ""入国管理庁
(Immigration Service Agency)"" and ""
にゅうこくかんりきょく
入国管理局(Immigration Bureau).""",3,1,,,Immigration,入管
,,,ざいりゅうきかん,9,,3,1,,,Period of stay,在留期間
,,,こようけいやく,10,,3,1,,,Employment contract,雇用契約
,,,きゅうよめいさい,11,,3,1,,,Pay slip,給与明細
,,,きゅうりょう,12,,3,1,,,Salary,給料
,,,ざんぎょうてあて,13,,3,1,,,Overtime allowance,残業手当
,,,ろうどうじかん,14,,3,1,,,Working hours,労働時間
,"Persons who have dependent family
members may be eligible for the tax
deduction for dependents.","かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",こうじょ（する）,1,"To deduct certain amount from the original
amount mainly as tax payments.",4,1,,,Deduction (to deduct),控除（する）
,,,ぼーなす,2,,4,1,,,Bonus,ボーナス
,"I submitted the application for a paid
holiday because I will take a day off next
week.","らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",ゆうきゅう,3,"ゆうきゅうきゅうか
""有給休暇."" Paid days off.
ゆうきゅう ゆうきゅう きゅうか
""有休"" is the abbreviation for ""有給休暇.""",4,1,,,Paid holiday,有休
,,,だいきゅう,4,"Days off provided to compensate for
working on non-working days.",4,1,,,Compensatory day off,代休
,,,ろうどうきじゅんほう,5,Act of Japan stipulating labor standards.,4,1,,,Labor Standards Act,労働基準法
,,,ろうどうじょうけん,6,,4,1,,,Working conditions,労働条件
,,,ぜいきん,7,,4,1,,,Tax,税金
,,,しょとくぜい,8,"Tax on income, such as annual salary.",4,1,,,Income tax,所得税
,,,じゅうみんぜい,9,"Tax paid to the city, ward, town or village
of residence.",4,1,,,Resident tax,住民税
,,,こうせいねんきん,10,"Pension for company or government
employees. When these people are aged,
get disabled, or died, the benefit is
provided.",4,1,,,Welfare pension,厚生年金
,,,こようほけん,11,"Insurance to support people who have got
unemployed and are seeking new
employment.",4,1,,,Employment insurance,雇用保険
