言語,Page,番号,単語,翻訳
インドネシア語,1,1,技能実習,Pelatihan Kerja Teknis
インドネシア語,1,2,技能実習生,Pemagang Kerja Teknis
インドネシア語,1,3,工場,Pabrik
インドネシア語,1,4,製造,Manufaktur
インドネシア語,1,5,機械,Mesin
インドネシア語,1,6,安全,Keselamatan
インドネシア語,1,7,危険（な）,Berbahaya (Bahaya)
インドネシア語,1,8,危ない,Bahaya
インドネシア語,1,9,清掃,Pembersihan
インドネシア語,1,10,非常口,Pintu keluar darurat
インドネシア語,1,11,注意,Peringatan
インドネシア語,1,12,火事,Kebakaran
インドネシア語,1,13,事故,Kecelakaan
インドネシア語,1,14,服装,Pakaian
インドネシア語,1,15,安全装置,Peralatan keselamatan
インドネシア語,2,1,安全カバー,Tutup pengaman
インドネシア語,2,2,けが,Luka
インドネシア語,2,3,けがをする,Terluka
インドネシア語,2,4,電源,Sumber listrik
インドネシア語,2,5,電源を切る,Mematikan listrik
インドネシア語,2,6,非常停止ボタン,Tombol stop darurat
インドネシア語,2,7,非常停止ボタンを押す,Menekan tombol stop darurat
インドネシア語,2,8,ルール,Peraturan
インドネシア語,2,9,ルールを守る,Mematuhi peraturan
インドネシア語,2,10,止める,Menghentikan
インドネシア語,2,11,機械を止める,Menghentikan mesin
インドネシア語,2,12,やって,Lakukan
インドネシア語,2,13,止めて,Hentikan
インドネシア語,2,14,取って,Ambil
インドネシア語,2,15,だめ（な）,Tidak boleh (Jangan)
インドネシア語,3,1,監理団体,Lembaga pengawas
インドネシア語,3,2,技術移転,Transfer teknologi
インドネシア語,3,3,技能実習期間,Periode pelatihan kerja
インドネシア語,3,4,職種,Pekerjaan
インドネシア語,3,5,在留資格,Status tinggal
インドネシア語,3,6,パスポート,Paspor
インドネシア語,3,7,在留カード,Kartu izin tinggal
インドネシア語,3,8,入管,Imigrasi
インドネシア語,3,9,在留期間,Periode tinggal
インドネシア語,3,10,雇用契約,Kontrak kerja
インドネシア語,3,11,給与明細,Slip gaji
インドネシア語,3,12,給料,Gaji
インドネシア語,3,13,残業手当,Tunjangan lembur
インドネシア語,3,14,労働時間,Jam kerja
インドネシア語,4,1,控除（する）,Pengurangan (Mengurangi)
インドネシア語,4,2,ボーナス,Bonus
インドネシア語,4,3,有休,Cuti tahunan
インドネシア語,4,4,代休,Libur pengganti
インドネシア語,4,5,労働基準法,Peraturan standar ketenagakerjaan
インドネシア語,4,6,労働条件,Kondisi kerja
インドネシア語,4,7,税金,Pajak
インドネシア語,4,8,所得税,Pajak penghasilan
インドネシア語,4,9,住民税,Pajak penduduk
インドネシア語,4,10,厚生年金,Uang pensiun
インドネシア語,4,11,雇用保険,Asuransi ketenagakerjaan
インドネシア語,4,12,健康保険,Asuransi kesehatan
インドネシア語,5,13,社会保険,Asuransi sosial
インドネシア語,5,14,労災,Kecelakaan kerja
インドネシア語,5,15,労災保険,Asuransi kecelakaan kerja
インドネシア語,6,1,遅刻（する）,Keterlambatan (Terlambat)
インドネシア語,6,2,早退（する）,Kepulangan cepat (Pulang cepat)
インドネシア語,6,3,休憩（する）,Istirahat (Beristirahat)
インドネシア語,6,4,残業（する）,Pekerjaan lembur (Lembur)
インドネシア語,6,5,定時,Tepat waktu
インドネシア語,6,6,規則,Aturan
インドネシア語,6,7,休日,Hari libur
インドネシア語,6,8,始業時間,Jam mulai kerja
インドネシア語,6,9,終業時間,Jam usai kerja
