Page,Table,Column_0,Column_1,Column_2,Column_3,Column_4,Column_5,Column_6,Column_7,Column_8,Column_9,Column_10,Column_11,Column_12
1,1,1,技能実習,ぎのうじっしゅう,การฝึกงานดา้ นเทคนคิ,,,,,,,,,
1,1,2,技能実習生,ぎのうじっしゅうせい,ผฝู้ ึกงานดา้ นเทคนคิ,,,,,,,,,
1,1,3,工場,こうじょう,โรงงาน,,,,,,,,,
1,1,4,製造,せいぞう,ผลติ,,,,,,,,,
1,1,5,機械,きかい,เครอื่ งจักร,,,,,,,,,
1,1,6,安全,あんぜん,ปลอดภัย,,,,,,,,,
1,1,7,危険（な）,きけん（な）,อนั ตราย (ทอี่ นั ตราย),"โดยปกตแิ ลว้ จะก ากบั ดว้ ยตัวอกั ษรคัน
จ ิ แตใ่ นโรงงานอาจมกี รณีทกี่ ากบั ดว้ ย
ตัวคาตะคานะวา่ ""キケン""",,,,,,,,
1,1,8,危ない,あぶない,อนั ตราย,,,,,,,,,
1,1,9,清掃,せいそう,สะอาด,"ท าความสะอาดเพอื่ ใหพ้ นื้ ทกี่ าร
ท างานสะอาดและเขา้ ใจถงึ สภาพที่
ถกู ตอ้ งไดง้ า่ ยขนึ้",,,,,,,,
1,1,10,非常口,ひじょうぐち,ทางออกฉุกเฉนิ,,,,,,,,,
1,1,11,注意,ちゅうい,ระวัง,,,,,,,,,
1,1,12,火事,かじ,ไฟไหม้,,,,,,,,,
1,1,13,事故,じこ,อบุ ัตเิ หตุ,,,,,,,,,
1,1,14,服装,ふくそう,เครอื่ งแตง่ กาย,,,,,,,,,
1,1,15,安全装置,あんぜんそうち,อปุ กรณ์ความปลอดภัย,,,,,,,,,
2,1,1,安全カバー,あんぜんかばー,ฝาครอบป้องกนั,,,,,,,,,
2,1,2,けが,けが,บาดเจ็บ,,,,,,,,,
2,1,3,けがをする,けがをする,ไดร้ ับบาดเจ็บ,,,,,,,,,
2,1,4,電源,でんげん,แหลง่ จา่ ยไฟฟ้า,,,,,,,,,
2,1,5,電源を切る,でんげんをきる,ตัดไฟ,,,,,,,,,
2,1,6,非常停止ボタン,ひじょうていしぼたん,ป่มุ หยดุ ฉุกเฉนิ,,,,,,,,,
2,1,7,非常停止ボタンを押す,"ひじょうていしぼたんを
おす",กดป่มุ หยดุ ฉุกเฉนิ,,,,,,,,,
2,1,8,ルール,るーる,กฎระเบยี บ,,,,,,,,,
2,1,9,ルールを守る,るーるをまもる,เคารพกฎระเบยี บ,,,,,,,,,
2,1,10,止める,とめる,หยดุ,,,,,,,,,
2,1,11,機械を止める,きかいをとめる,หยดุ เครอื่ งจักร,,,,,,,,,
2,1,12,やって,やって,ท าสิ,,,,,,,,,
2,1,13,止めて,とめて,หยดุ สิ,,,,,,,,,
2,1,14,取って,とって,หยบิ สิ,,,,,,,,,
2,1,15,だめ（な）,だめ（な）,ไมไ่ ด ้(ทไี่ มไ่ ด)้,,,,,,,,,
3,1,1,監理団体,かんりだんたい,องคก์ รทกี่ ำกบั ดแู ล,"องคก์ รทไี่ มแ่ สวงผลก ำไรซงึ่ ท ำกำร
ควบคมุ หรอื ใหค้ ำชแี้ นะกำรศกึ ษำ
ดำ้ นเทคนคิ หรอื กจิ กรรมของผู้
ฝึกงำนดำ้ นเทคนคิ",,,,,,,,
3,1,2,技術移転,ぎじゅついてん,กำรถำ่ ยทอดเทคนคิ,,,,,,,,,
3,1,3,技能実習期間,ぎのうじっしゅうきかん,"ระยะเวลำกำรฝึกงำนดำ้ น
เทคนคิ",,,,,,,,,
3,1,4,職種,しょくしゅ,ประเภทอำชพี,,,,,,,,,
3,1,5,在留資格,ざいりゅうしかく,สถำนภำพกำรพ ำนัก,,,,,,,,,
3,1,6,パスポート,ぱすぽーと,หนังสอื เดนิ ทำง,,,,,,,,,
3,1,7,在留カード,ざいりゅうかーど,บัตรสถำนภำพกำรพ ำนัก,,,,,,,,,
3,1,8,入管,にゅうかん,ตม.,"ค ำยอ่ ของ ""สำ นักงำนตรวจคนเขำ้
เมอื ง"" หรอื ""กองตรวจคนเขำ้ เมอื ง""",,,,,,,,
3,1,9,在留期間,ざいりゅうきかん,ระยะเวลำกำรพ ำนัก,,,,,,,,,
3,1,10,雇用契約,こようけいやく,สญั ญำจำ้ งงำน,,,,,,,,,
3,1,11,給与明細,きゅうよめいさい,สลปิ เงนิ เดอื น,,,,,,,,,
3,1,12,給料,きゅうりょう,เงนิ เดอื น,,,,,,,,,
3,1,13,残業手当,ざんぎょうてあて,คำ่ ลว่ งเวลำ,,,,,,,,,
3,1,14,労働時間,ろうどうじかん,เวลำท ำงำน,,,,,,,,,
4,1,1,控除（する）,こうじょ（する）,การลดหยอ่ น (ลดหยอ่ น),"การหักเงนิ จ านวนคงทอี่ อกจากมลู คา่ เดมิ
สว่ นมากใชก้ บั การหักภาษี","かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある","ในกรณีทมี่ คี รอบครัวจะไดร้ ับ ""การ
ลดหยอ่ นค ้าจนุ ครอบครัว""",,,,,,
4,1,2,ボーナス,ぼーなす,โบนัส,,,,,,,,,
4,1,3,有休,ゆうきゅう,ไดร้ ับคา่ จา้ ง,"การลางานทไี่ ดร้ ับคา่ จา้ งแมว้ า่ จะไมไ่ ป
ท างาน การลาพักรอ้ น การลาพักรอ้ นจะ
เรยี กสนั้ ๆวา่ ""ยคู วิ ""","らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した","ไดย้ นื่ เรอื่ งขอหยดุ ลาพักรอ้ นสปั ดาห์
หนา้",,,,,,
4,1,4,代休,だいきゅう,หยดุ ชดเชย,"วันทจี่ ะไดร้ ับหยดุ ชดเชยในกรณีทมี่ าท างาน
ในวันหยดุ",,,,,,,,
4,1,5,労働基準法,ろうどうきじゅんほう,"กฎหมายมาตรฐาน
แรงงาน","กฎหมายของญปี่ ่นุ ทกี่ าหนดมาตรฐาน
เกยี่ วกบั แรงงาน",,,,,,,,
4,1,6,労働条件,ろうどうじょうけん,เงอื่ นไขแรงงาน,,,,,,,,,
4,1,7,税金,ぜいきん,ภาษี,,,,,,,,,
4,1,8,所得税,しょとくぜい,ภาษีเงนิ ได้,ภาษีตอ่ รายไดท้ ไี่ ดร้ ับในระยะเวลาหนงึ่ ปี,,,,,,,,
4,1,9,住民税,じゅうみんぜい,ภาษีบ ารงุ ทอ้ งที่,ภาษีทจี่ า่ ยใหก้ บั เทศบาลเมอื งทอี่ ยอู่ าศัย,,,,,,,,
4,1,10,厚生年金,こうせいねんきん,กองทนุ สา รองเลยี้ งชพี,"เงนิ บ านาญสา หรับพนักงานบรษิ ัทหรอื
ขา้ ราชการซงึ่ จะไดร้ ับเมอื่ เกษียณงาน
ทพุ พลภาพ เสยี ชวี ติ",,,,,,,,
4,1,11,雇用保険,こようほけん,ประกนั การจา้ งงาน,"ประกนั ทจี่ ะไดร้ ับเงนิ ประกนั เมอื่ ตกงานหรอื
เรมิ่ หางานใหม่",,,,,,,,
5,1,13,社会保険,しゃかいほけん,ประกนั สงั คม,"ชอื่ ยอ่ การเรยี กรวม ประกนั สขุ ภาพ ประกนั
กองทนุ สา รองเลยี้ งชพี ประกนั การจา้ งงาน
ประกนั อบุ ัตเิ หตแุ ละความเสยี หายทเี่ กดิ ขนึ้
ระหวา่ งงาน เขา้ ดว้ ยกนั โดยเฉพาะในกรณีที่
เรยี กรวมระหวา่ งประกนั สขุ ภาพและประกนั
กองทนุ สา รองเลยี้ งชพี ของพนักงานบรษิ ัท",,,,,,,,
5,1,14,労災,ろうさい,"อบุ ัตเิ หตแุ ละความ
เสยี หายทเี่ กดิ ขนึ้
ระหวา่ งการท างาน","ชอื่ ยอ่ ของ ""อบุ ัตเิ หตแุ ละความเสยี หายที่
เกดิ ขนึ้ ระหวา่ งการท างาน"" การบาดเจ็บ
ระหวา่ งการท างานหรอื เจ็บป่วยอนั
เนื่องมาจากการท างาน",,,,,,,,
5,1,15,労災保険,ろうさいほけん,"ประกนั อบุ ัตเิ หตแุ ละ
ความเสยี หายทเี่ กดิ ขนึ้
ระหวา่ งการท างาน","เงนิ ประกนั ทจี่ ะไดร้ ับเป็นเงนิ กอ้ นในกรณีที่
เกดิ คา่ รักษาหรอื มชี ว่ งเวลาทไี่ มส่ ามารถไป
ท างานได ้หรอื กอ่ ใหเ้กดิ ทพุ พลภาพอนั
เนื่องมาจากอบุ ัตเิ หตแุ ละความเสยี หายที่
เกดิ ขนึ้ ระหวา่ งการท างาน",,,,,,,,
6,1,1,遅刻（する）,ちこく（する）,การมาสาย (มาสาย),,,,,,,,,
6,1,2,早退（する）,そうたい（する）,"การกลับกอ่ นเวลา (กลับ
กอ่ นเวลา)",,,,,,,,,
6,1,3,休憩（する）,きゅうけい（する）,การพัก (พัก),,,,,,,,,
6,1,4,残業（する）,ざんぎょう（する）,"การท างานลว่ งเวลา
(ท างานลว่ งเวลา)",,,,,,,,,
6,1,5,定時,ていじ,ตามเวลาทกี่ าหนด,"ตามระยะเวลาทถี่ กู ก าหนด สว่ นมาก
จะหมายถงึ เวลาทเี่ ขา้ ออกบรษิ ัท","き ょ う ていじ かえ
今日は定時に帰る",วันนี้จะกลับบา้ นตามเวลาทกี่ าหนด,,,,,,
6,1,6,規則,きそく,กฎขอ้ บังคับ,,,,,,,,,
6,1,7,休日,きゅうじつ,วันหยดุ,,,,,,,,,
6,1,8,始業時間,しぎょうじかん,เวลาเรมิ่ งาน,,,,,,,,,
6,1,9,終業時間,しゅうぎょうじかん,เวลาเลกิ งาน,,,,,,,,,
6,1,10,指導員,しどういん,ผชู้ แี้ นะ,,,,,,,,,
6,1,11,生活指導員,せいかつしどういん,ผชู้ แี้ นะในการด ารงชพี,,,,,,,,,
6,1,12,担当者,たんとうしゃ,ผรู้ ับผดิ ชอบ,,,,,,,,,
6,1,13,スイッチ入れるな,すいっちいれるな,อยา่ เปิดสวติ ช์,,,,,,,,,
6,1,14,スイッチ切るな,すいっちきるな,อยา่ ปิดสวติ ช์,,,,,,,,,
6,1,15,使用禁止,しようきんし,หา้ มใช้,,,,,,,,,
