言語,Page,番号,単語,翻訳
ベトナム語,1,1,技能実習,Thực tập kỹ năng
ベトナム語,1,2,技能実習生,Thực tập sinh kỹ năng
ベトナム語,1,3,工場,Nhà máy
ベトナム語,1,4,製造,Chế tạo
ベトナム語,1,5,機械,Máy móc
ベトナム語,1,6,安全,An toàn
ベトナム語,1,7,危険（な）,Nguy hiểm (tính từ)
ベトナム語,1,8,危ない,Nguy hiểm
ベトナム語,1,9,清掃,Làm vệ sinh
ベトナム語,1,10,非常口,Cửa thoát hiểm
ベトナム語,1,11,注意,Chú ý
ベトナム語,1,12,火事,Hỏa hoạn
ベトナム語,1,13,事故,Sự cố
ベトナム語,1,14,服装,Trang phục
ベトナム語,1,15,安全装置,Thiết bị an toàn
ベトナム語,2,1,安全カバー,Nắp đậy an toàn
ベトナム語,2,2,けが,Vết thương
ベトナム語,2,3,けがをする,Bị thương
ベトナム語,2,4,電源,Nguồn điện
ベトナム語,2,5,電源を切る,Tắt nguồn điện
ベトナム語,2,6,非常停止ボタン,Nút dừng khẩn cấp
ベトナム語,2,7,非常停止ボタンを押す,Nhấn nút dừng khẩn cấp
ベトナム語,2,8,ルール,Quy tắc
ベトナム語,2,9,ルールを守る,Tuân thủ quy tắc
ベトナム語,2,10,止める,Cho dừng
ベトナム語,2,11,機械を止める,Cho dừng máy
ベトナム語,2,12,やって,Hãy làm
ベトナム語,2,13,止めて,Hãy dừng lại
ベトナム語,2,14,取って,Hãy lấy
ベトナム語,2,15,だめ（な）,"(tính từ) Không được, kh ông tốt"
ベトナム語,3,1,監理団体,Đoàn thể giám sát (nghiệp đoàn)
ベトナム語,3,2,技術移転,Chuyển giao kỹ thuật
ベトナム語,3,3,技能実習期間,Thời gian thực tập kỹ năng
ベトナム語,3,4,職種,Ngành nghề
ベトナム語,3,5,在留資格,Tư cách lưu trú
ベトナム語,3,6,パスポート,Hộ chiếu
ベトナム語,3,7,在留カード,Thẻ lưu trú
ベトナム語,3,8,入管,Cục quản lý nhập cảnh
ベトナム語,3,9,在留期間,Thời hạn lưu trú
ベトナム語,3,10,雇用契約,Hợp đồng tuyển dụng
ベトナム語,3,11,給与明細,Bảng chi tiết lương
ベトナム語,3,12,給料,Lương
ベトナム語,3,13,残業手当,Trợ cấp làm tăng ca
ベトナム語,3,14,労働時間,Thời gian làm việc
ベトナム語,4,1,控除（する）,(động từ) Khấu trừ
ベトナム語,4,2,ボーナス,Tiền thưởng
ベトナム語,4,3,有休,Nghỉ phép có lương
ベトナム語,4,4,代休,Nghỉ bù
ベトナム語,4,5,労働基準法,Luật lao động cơ bản
ベトナム語,4,6,労働条件,Điều kiện lao động
ベトナム語,4,7,税金,Tiền thuế
ベトナム語,4,8,所得税,Thuế thu nhập
ベトナム語,4,9,住民税,Thuế cư dân
ベトナム語,4,10,厚生年金,Lương hưu
ベトナム語,4,11,雇用保険,Bảo hiểm thất nghiệp
ベトナム語,5,12,健康保険,Bảo hiểm y tế
ベトナム語,5,13,社会保険,Bảo hiểm xã hội
ベトナム語,5,14,労災,Tai nạn lao động
ベトナム語,5,15,労災保険,Bảo hiểm tai nạn lao đ ộng
ベトナム語,6,1,遅刻（する）,(động từ) Đi muộn
ベトナム語,6,2,早退（する）,(động từ) Về sớm
ベトナム語,6,3,休憩（する）,(động từ) Nghỉ giải lao
ベトナム語,6,4,残業（する）,(động từ) Làm thêm giờ
ベトナム語,6,5,定時,Giờ quy định
ベトナム語,6,6,規則,Quy tắc
ベトナム語,6,7,休日,Ngày nghỉ
ベトナム語,6,8,始業時間,Giờ bắt đầu làm việc
ベトナム語,6,9,終業時間,Giờ kết thúc làm việc
ベトナム語,6,10,指導員,Người hướng dẫn
ベトナム語,6,11,生活指導員,Người hướng dẫn đời sống
ベトナム語,6,12,担当者,Người phụ trách
ベトナム語,6,13,スイッチ入れるな,Không được bật công tắc
ベトナム語,6,14,スイッチ切るな,Không được tắt công tắc
ベトナム語,6,15,使用禁止,Cấm sử dụng
ベトナム語,7,1,5S,5S
ベトナム語,7,2,整理,Seiri (sàng lọc)
ベトナム語,7,3,整頓,Seiton (sắp xếp)
ベトナム語,7,4,清掃,Seisou (sạch sẽ)
ベトナム語,7,5,清潔,Seiketsu (săn sóc)
ベトナム語,7,6,しつけ,Shitsuke (sẵn sàng)
ベトナム語,8,7,掃除（する）,(động từ) Làm vệ sinh
ベトナム語,8,8,片づける,Dọn dẹp
ベトナム語,8,9,捨てる,Vứt bỏ
ベトナム語,8,10,汚い,Bẩn
ベトナム語,8,11,汚れる,Bị bẩn
ベトナム語,8,12,分別（する）,(động từ) Phân loại
ベトナム語,8,13,燃えないごみ,Rác không cháy được
ベトナム語,8,14,燃えるごみ,Rác cháy được
ベトナム語,8,15,挟まれる,Bị kẹp vào
ベトナム語,8,16,巻き込まれる,Bị cuốn vào
ベトナム語,8,17,やけど（する）,(động từ) Bị bỏng
ベトナム語,8,18,落ちる,Bị rơi
ベトナム語,8,19,すべる,Trơn
ベトナム語,9,20,転ぶ,Bị ngã
ベトナム語,9,21,濡れる,Bị ướt
ベトナム語,9,22,衛生,Vệ sinh
ベトナム語,9,23,避難（する）,"(động từ) Sơ tán, lánh nạn"
ベトナム語,9,24,救急車,Xe cứu thương
ベトナム語,9,25,災害,Thảm họa
ベトナム語,9,26,地震,Động đất
ベトナム語,9,27,もぐる,Chui xuống
ベトナム語,10,1,火気厳禁,Cấm lửa
ベトナム語,10,2,開放厳禁,Cấm mở
ベトナム語,10,3,標識,Bảng hiệu
ベトナム語,10,4,気をつける,"Chú ý, cẩn thận"
ベトナム語,10,5,持ち込む,Mang vào
ベトナム語,10,6,防ぐ,Phòng ngừa
ベトナム語,10,7,火,Lửa
ベトナム語,10,8,煙,Khói
ベトナム語,10,9,消火,Chữa cháy
ベトナム語,10,10,消火器,Bình chữa cháy
ベトナム語,10,11,非常ベル,Chuông khẩn cấp
ベトナム語,10,12,火災報知機,Thiết bị báo cháy
ベトナム語,10,13,逃げる,Trốn chạy
ベトナム語,10,14,現場,Hiện trường
ベトナム語,10,15,作業,Thao tác
ベトナム語,10,16,ミーティング,Cuộc họp
ベトナム語,10,17,研修（する）,(động từ) Đào tạo
ベトナム語,11,18,実習（する）,(động từ) Thực tập
ベトナム語,11,19,あいさつ,Chào hỏi
ベトナム語,11,20,確認（する）,"(động từ) Kiểm tra, xác nhận"
ベトナム語,11,21,報告（する）,(động từ) Báo cáo
ベトナム語,11,22,連絡（する）,(động từ) Liên lạc
ベトナム語,11,23,相談（する）,(động từ) Thảo luận
ベトナム語,11,24,渡す,Đưa
ベトナム語,11,25,申請書,Đơn xin
ベトナム語,11,26,寝坊（する）,(động từ) Ngủ quên
