ファイル名,ページ,番号,日本語,翻訳
ベトナム語_pdfplumber_抽出_最終版.csv,1,1.0,技能実習,Thực tập kỹ năng
ベトナム語_pdfplumber_抽出_最終版.csv,1,2.0,技能実習生,Thực tập sinh kỹ năng
ベトナム語_pdfplumber_抽出_最終版.csv,1,3.0,工場,Nhà máy
ベトナム語_pdfplumber_抽出_最終版.csv,1,4.0,製造,Chế tạo
ベトナム語_pdfplumber_抽出_最終版.csv,1,5.0,機械,Máy móc
ベトナム語_pdfplumber_抽出_最終版.csv,1,6.0,安全,An toàn
ベトナム語_pdfplumber_抽出_最終版.csv,1,7.0,危険（な）,Nguy hiểm (tính từ)
ベトナム語_pdfplumber_抽出_最終版.csv,1,8.0,危ない,Nguy hiểm
ベトナム語_pdfplumber_抽出_最終版.csv,1,9.0,清掃,Làm vệ sinh
ベトナム語_pdfplumber_抽出_最終版.csv,7,4.0,清掃,Seisou (sạch sẽ)
ベトナム語_pdfplumber_抽出_最終版.csv,1,10.0,非常口,Cửa thoát hiểm
ベトナム語_pdfplumber_抽出_最終版.csv,1,11.0,注意,Chú ý
ベトナム語_pdfplumber_抽出_最終版.csv,1,12.0,火事,Hỏa hoạn
ベトナム語_pdfplumber_抽出_最終版.csv,1,13.0,事故,Sự cố
ベトナム語_pdfplumber_抽出_最終版.csv,1,14.0,服装,Trang phục
ベトナム語_pdfplumber_抽出_最終版.csv,1,15.0,安全装置,Thiết bị an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,2,1.0,安全カバー,Nắp đậy an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,27,1.0,安全カバー,Vỏ bọc an toàn
ベトナム語_pdfplumber_抽出_最終版.csv,2,2.0,けが,Vết thương
ベトナム語_pdfplumber_抽出_最終版.csv,2,3.0,けがをする,Bị thương
ベトナム語_pdfplumber_抽出_最終版.csv,2,4.0,電源,Nguồn điện
ベトナム語_pdfplumber_抽出_最終版.csv,2,5.0,電源を切る,Tắt nguồn điện
ベトナム語_pdfplumber_抽出_最終版.csv,2,6.0,非常停止ボタン,Nút dừng khẩn cấp
ベトナム語_pdfplumber_抽出_最終版.csv,2,7.0,非常停止ボタンを押す,Nhấn nút dừng khẩn cấp
ベトナム語_pdfplumber_抽出_最終版.csv,2,8.0,ルール,Quy tắc
ベトナム語_pdfplumber_抽出_最終版.csv,2,9.0,ルールを守る,Tuân thủ quy tắc
ベトナム語_pdfplumber_抽出_最終版.csv,2,10.0,止める,Cho dừng
ベトナム語_pdfplumber_抽出_最終版.csv,2,11.0,機械を止める,Cho dừng máy
ベトナム語_pdfplumber_抽出_最終版.csv,2,12.0,やって,Hãy làm
