,単語,再翻訳,類似度_claude
100,地震,地震,100%
101,もぐる,潜る / 潜る,100%
102,火気厳禁,火気厳禁,100%
103,開放厳禁,閉じたままにしてください / 開けないでください,90%
104,標識,標識,100%
105,気をつける,気をつけて,100%
106,持ち込む,持ち込む,100%
107,防ぐ,防ぐ,100%
108,火,火（炎）,100%
109,煙,煙,100%
110,消火,消火/消火活動,100%
111,消火器,消火器,100%
112,非常ベル,警報ベル,100%
113,火災報知機,火災警報,95%
114,逃げる,逃げる,100%
115,現場,作業現場,95%
116,作業,仕事/タスク,90%
117,ミーティング,ミーティング,100%
118,研修（する）,トレーニング/トレーニング,100%
119,実習（する）,実習・実習,100%
120,あいさつ,挨拶,100%
121,確認（する）,確認,100%
122,報告（する）,報告,100%
123,連絡（する）,連絡/通知,100%
124,相談（する）,相談する,100%
125,渡す,渡す,100%
126,申請書,申込書,95%
127,寝坊（する）,睡眠不足,70%
128,技能,スキル,100%
129,技能検定試験,技能試験/貿易試験,85%
130,受検（する）,試験を受ける,100%
131,資格,資格・証明書,100%
132,手当,手当,100%
133,社員,従業員,100%
134,部長,ゼネラルマネージャー / 部門マネージャー,90%
135,課長,課長,100%
136,更衣室,更衣室・ロッカールーム,100%
137,台車,手押し車/台車,100%
138,床,床,100%
139,出口,出口,100%
140,電気,電気/電力,100%
141,警報音,アラーム音,100%
142,コンセント,電源コンセント/ソケット,100%
143,作業場,作業エリア,100%
144,作業台,作業台,100%
145,工事現場,建設現場,100%
146,職長,フォアマン,100%
147,作業責任者,作業監督者・責任者,100%
148,禁止,禁止,100%
149,表示板,看板・表示板,100%
150,禁止事項,禁止事項,100%
151,避難訓練,避難訓練,100%
152,感電（する）,感電 / 感電する,100%
153,防止（する）,予防/防止,100%
154,予防（する）,予防/防止,100%
155,転倒（する）,秋 / 旅行,20%
156,挟まる,詰まる/捕まる,85%
157,足元,足元,100%
158,不安定（な）,不安定,100%
159,後片付け,後片付け/仕事後の掃除,100%
160,救   箱,救急キット,95%
161,絆創膏,包帯/絆創膏,100%
162,体調,体調,100%
163,血,血,100%
164,熱中症,熱中症,100%
165,吐き気,吐き気,100%
166,嘔吐（する）,嘔吐,100%
167,足がつる,脚のけいれん,100%
168,気分が悪い,気分が悪い,100%
169,寝不足,睡眠不足,100%
170,安全ネット,セーフティネット,100%
171,安全点検,安全検査,100%
172,KY活動（危険予知活動）,KY活動（危険予測）,100%
173,危険,危険,100%
174,ぶつかる,ぶつかる/衝突する,100%
175,当たる,ヒット/ストライク,60%
176,下敷きになる,押さえつけられる,100%
177,打つ,ヒット/ストライク,60%
178,バランスを崩す,バランスを失う,100%
179,倒れる,倒れる/崩壊する,100%
180,転落（する）,高所からの落下,100%
181,指差呼称,指差しと呼びかけ,100%
182,ヒヤリハット,ニアミス,100%
183,原因,原因,100%
184,対策,対策,100%
185,落下（する）,落下,100%
186,墜落（する）,落下（高所から）/ 急降下,100%
187,確認（する）,確認/チェック,100%
188,作業着,作業服,100%
189,作業服,作業服,100%
190,作業靴,安全靴・作業靴,100%
191,手袋,手袋,100%
192,帽子,キャップ/帽子,100%
193,保護帽（ヘルメット）,安全ヘルメット,100%
194,保護具,PPE（個人用保護具）,100%
195,あごひも,あごストラップ,100%
196,ボタン,ボタン,100%
197,ポケット,ポケット,100%
198,保護メガネ,安全メガネ,100%
199,マスク,マスク/呼吸器（文脈）,100%
200,栓,プラグ/ストッパー,85%
201,安全靴,安全靴,100%
202,墜落制止用器具（安全帯）,墜落制止用器具（安全ベルト・ハーネス）,100%
203,業務,業務 / 義務 / タスク,90%
204,時間厳守,時間厳守,100%
205,予定,スケジュール/計画,100%
206,日付,日付,100%
207,準備（する）,準備,100%
208,会議,会議/カンファレンス,100%
209,朝礼,朝礼／ツールボックスミーティング,100%
210,報告書,報告,100%
211,マニュアル,マニュアル,100%
212,作業手順書,作業手順書,100%
213,調子,状態/ステータス,100%
214,立入禁止,立入り禁止,100%
215,禁煙,禁煙,100%
216,駐車禁止,駐車禁止,100%
217,足もと注意,足もと注意,100%
218,開口部注意,開口部 - 注意,100%
219,感電注意,電気の危険 - 注意,100%
220,堕落注意,落下の危険 - 注意,100%
221,頭上注意,頭上危険 - 注意,100%
222,警報設備,警報システム,100%
223,AED設置場所,AEDの場所,100%
224,保護帽着用,安全ヘルメットを着用してください,100%
225,安全帯使用,安全ハーネスを使用する,100%
226,昇降階段,アクセス階段,100%
227,休憩所,休憩所,100%
228,最大積載荷重,最大積載量,100%
229,喫煙所,喫煙エリア,100%
230,整理整頓,並べ替えと整頓,100%
231,安全通路,安全な通路,100%
232,三連クランプ,トリプルクランプ,100%
233,"ベルトコンベア
（ベルコン）",ベルトコンベア,100%
234,かけや,木槌（かけや）,100%
235,ランマ,ハンドタンピングランマー,100%
236,自在クランプ,スイベルクランプ,100%
237,キャッチクランプ,キャッチクランプ,100%
238,吊り上げ用クランプ,リフティングクランプ,100%
239,直交クランプ,直角クランプ,100%
240,フック,フック,100%
241,ストレートシャックル,ストレートシャックル,100%
242,滑車,ブロック/プーリー,100%
243,クレーン,クレーン,100%
244,移動式クレーン,移動式クレーン,100%
245,介しゃくロープ,タグラインロープ,100%
246,筋かい止めピン,ブレースピン,100%
247,脚柱ジョイント,ポストジョイント,100%
248,連結ピン,接続ピン,100%
249,ジョイント金具,ジョイントフィッティング,100%
250,レバーブロック,レバーホイスト（レバーブロック）,100%
251,電動のこ（丸のこ）,丸鋸（電動）,100%
252,モンキースパナ,モンキーレンチ,100%
253,親綱支柱,ライフラインポスト,100%
254,ブラケット,ブラケット,100%
255,梯子,ラダー,100%
256,親綱,ライフライン,100%
257,建枠（ビティ）,フレーム足場（けんわく）,100%
258,メッシュシート,メッシュシート（ネット）,100%
259,防音パネル,防音パネル,100%
260,朝顔材,キャノピーブラケット（デブリネットサポート）,100%
261,架空線,架空線,100%
262,幅木（仮設足場）,つま先板（足場）,100%
263,単管,鋼管（単管）,100%
264,脚立,踏み台,100%
265,作業半径,作業半径,100%
266,仮ボルト,仮ボルト,100%
267,手直し,修正/タッチアップ,100%
268,面一,フラッシュ（表面レベル）,100%
269,点検事項,検査項目,100%
