日本語,pdfplumber値,PyMuPDF値,Page,No
技能実習,ការហ្វឹកហ្វឺនជំនាញ,ករា ហវឹ្កហវឺ្នជំនញា,1,1
技能実習生,កម្មសិកាការហ្ី វឹកហ្វឺន ជំនាញ,"កមមស្ ិកាការហី វឹ្កហវឺ្ន
ជំនញា",1,2
工場,រោងចក្ក,រោងចកក្,1,3
製造,ការផលិត,ករា ផលិត,1,4
安全,ស វតថិភាព,ស វតថិភពា,1,6
危険（な）,(ដែល)រក្រោះថ្នា ក់,(ដែល)រករ្ ោះថា ក្ន់,1,7
危ない,រក្រោះថ្នា ក់,រករ្ ោះថា ក្ន់,1,8
清掃,សមា ត,សមា តា,7,4
非常口,ផល វូ ោសនា,ផលវូ ោសនា,1,10
注意,ការក្រងុ ក្រយ័តា,ករា ករ្ ងុ ករ្ យ័តា,1,11
火事,អគ្ាិភ័យ,អគាិ្ភ័យ,1,12
服装,សរម្លៀករំពាក់,សរមលៀ្ ករំពកា ់,1,14
安全装置,ឧរករណ៍ស វតថិភាព,ឧរករណ៍ស វតថិភពា,1,15
安全カバー,គម្របសុវត្ថិភាព,គមរ្ បសុវតថិ្ភពា,2,1
安全カバー,គម្របសុវត្ថិភាព,គមរ្ បសុវតថិ្ភពា,25,1
けがをする,មានរបួស,មនា របួស,2,3
非常停止ボタン,ប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,"ប៊ូ តុង្ បញឈ្ ប់ពពល
អសា នន",2,6
非常停止ボタンを押す,ចុចប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,"ចុចប៊ូ តុង្ បញឈ្ ប់ពពល
អសា នន",2,7
止める,បញ្ឈប់,បញឈ្ ប់,2,10
機械を止める,បញ្ឈប់មា៉ា សុីន,បញឈ្ ប់ម៉ា សា ុីន,2,11
止めて,ស៊ូរបញ្ឈប់,ស៊ូរបញឈ្ ប់,2,13
だめ（な）,(ដែល)រិនបាន,(ដែល)រិនបនា,2,15
監理団体,អង្គភាពគ្រប់គ្រង្,អងគភ្ ពា គរ្ ប់គរ្ ង្,3,1
技術移転,ការណទេរបណចេកវទ្យិ ា,ករា ណទេរបណចេកវទិ ា្យ,3,2
技能実習期間,រយៈណពលហ្វឹកហ្វឺនជំនញ,រយៈណពលហវឹ្កហវឺ្នជំនញ,3,3
職種,គ្បណេទ្យមុខរបរ,គប្ ណេទ្យមុខរបរ,3,4
在留資格,អាជ្ញា ប័េណ ស្នា ក់ណៅ,អជា ា ប្ញ័េណសា ក្ន់ណៅ,3,5
パスポート,លិខិតឆ្លង្ដែន,លិខិតឆលង្ ដ្ ែន,3,6
在留カード,ប័េណ ស្នា ក់ណៅ,ប័េណសា ក្ន់ណៅ,3,7
入管,អណនា គ្បណវសន៍,អណនា គប្ ណវសន៍,3,8
在留期間,រយៈណពលស្នា ក់ណៅ,រយៈណពលសា ក្ន់ណៅ,3,9
雇用契約,កិចេសនាការងារ,កិចេសនាករា ងរា,3,10
給与明細,បងាា នន់ ែណបើកគ្ាក់ ណបៀវតស,"បងា នា ន់ ែណបើកគា្ ក់
ណបៀវតស",3,11
給料,គ្ាក់ណបៀវតស,គា្ ក់ណបៀវតស,3,12
残業手当,គ្ាក់ឈ្ន លួ ដែមណ ៉ោ ង្,គា្ ក់ឈនល្ួ ដែមណ ៉ោ ង្,3,13
労働時間,ណ ៉ោ ង្ណ្វើការ,ណ ៉ោ ងណ្ ្វើករា,3,14
控除（する）,(ធ្វើការ)ការកាត់ថ្លៃ,(ធ្វើករា )ករា កតា ់ថល្ ៃ,4,1
ボーナス,ប្រាក់រំណាច់,បា្រ ក់រំណចា ់,4,2
有休,ការសប្រមាកមានប្រាក់ ធរៀវតស,"ករា សបម្រ កា មនា បា្រ ក់
ធរៀវតស",4,3
代休,ថ្លៃឈរ់សប្រមាកធលើកថ្លៃ,ថល្ ៃឈរ់សបម្រ កា ធលើកថល្ ៃ,4,4
労働基準法,ចារ់រទដាា នការងារ,ចារ់រទដា នា ករា ងរា,4,5
労働条件,ល័កខែ័ណឌការងារ,ល័កខែ័ណឌករា ងរា,4,6
所得税,ពនធធលើប្រាក់ចំណូ ល,ពនធលើបា្រ ក់ចំណូ ល,4,8
住民税,ពនធនិវាសនជន,ពនធនិវសា នជន,4,9
厚生年金,ប្រាក់ធសា្ននិវតាន៍ ររស់និធោជិក,"បា្រ ក់ធស្ា ននិវតាន៍
ររស់និធោជិក",4,10
雇用保険,ធានារា៉ារ់រងការងារ,ធនា រា ៉ារា ់រងករា ងរា,4,11
健康保険,,ធនា រា ៉ារា ់រងស ែភពា,4,12
社会保険,ធានារា៉ារ់រងសងគម,ធនា រា ៉ារា ់រងសងគម,5,13
労災,ធប្រគ្មុះថ្នន ក់ការងារ,ធបគ្រ ុ្មះថនក្ន់ករា ងរា,5,14
労災保険,ធានារា៉ារ់រងធលើធប្រគ្មុះ ថ្នន ក់ការងារ,"ធនា រា ៉ារា ់រងធលើធបគ្រ ុ្មះ
ថនក្ន់ករា ងរា",5,15
遅刻（する）,(ធ្វើការ) មកយឺត,(ធ្វើករា ) មកយឺត,6,1
早退（する）,(ធ្វើការ) ធេញមុនធេល,(ធ្វើករា ) ធេញមុនធេល,6,2
休憩（する）,(ធ្វើការ) សម្រាក,(ធ្វើករា ) សមា្រ ក,6,3
残業（する）,(ធ្វើការ) ការងារថែមធា៉ោ ង,(ធ្វើករា ) ករា ងរា ថែមធា៉ោ ង,6,4
定時,ធេលធ ៀងទាត់,ធេលធ ៀងទតា ់,6,5
規則,ប បញ្ជា,ប បញា ្ជ,6,6
休日,ថ្ែៃឈប់សម្រាក,ថែ្ ៃឈប់សមា្រ ក,6,7
始業時間,ធា៉ោ ងចាប់ធ្តើមការងារ,ធា៉ោ ងចបា ់ធ្តើមករា ងរា,6,8
終業時間,ធា៉ោ ងបញ្ចប់ការងារ,ធា៉ោ ងបញចប្ ់ករា ងរា,6,9
指導員,អ្នកបងាា តប់ ធម្រងៀន,អនក្ បងា តា ប់ ធមង្រ ៀន,6,10
生活指導員,អ្នកបងាា តប់ ធម្រងៀនេីការ រស់ធៅ,"អនក្ បងា តា ប់ ធមង្រ ៀនេីករា
រស់ធៅ",6,11
担当者,អ្នក ួលខុសម្រតេូ,អនក្ ួលខុសមត្រ េូ,6,12
スイッチ入れるな,កុំធបើកេរនតអ្គ្គិសនី,កុំធបើកេរនតអគ្ គិ្សនី,6,13
スイッチ切るな,កុំបិ េរនតអ្គ្គិនសី,កុំបិ េរនតអគ្ គិ្នសី,6,14
使用禁止,ហាមធម្របើម្រាស់,ហមា ធមប្រ ើមា្រ ស់,6,15
