言語,Page,番号,単語,翻訳
中国語,1,1,技能実習,技能实习
中国語,1,2,技能実習生,技能实习生
中国語,1,3,工場,工厂
中国語,1,4,製造,制造
中国語,1,5,機械,机械
中国語,1,6,安全,安全
中国語,1,7,危険（な）,危险（的）
中国語,1,8,危ない,危险
中国語,1,9,清掃,清扫
中国語,1,10,非常口,安全出口
中国語,1,11,注意,注意
中国語,1,12,火事,火灾
中国語,1,13,事故,事故
中国語,1,14,服装,服装
中国語,1,15,安全装置,安全装置
中国語,2,1,安全カバー,安全罩
中国語,2,2,けが,创伤
中国語,2,3,けがをする,受伤
中国語,2,4,電源,电源
中国語,2,5,電源を切る,关闭电源
中国語,2,6,非常停止ボタン,紧急停止按钮
中国語,2,7,非常停止ボタンを押す,按下紧急停止按钮
中国語,2,8,ルール,规则
中国語,2,9,ルールを守る,遵守规则
中国語,2,10,止める,停止
中国語,2,11,機械を止める,关掉机器
中国語,2,12,やって,做
中国語,2,13,止めて,停止
中国語,2,14,取って,拿
中国語,2,15,だめ（な）,不可以（的）
中国語,3,1,監理団体,监理团体
中国語,3,2,技術移転,技术转移
中国語,3,3,技能実習期間,技能实习期间
中国語,3,4,職種,工种
中国語,3,5,在留資格,在留资格
中国語,3,6,パスポート,护照
中国語,3,7,在留カード,在留卡
中国語,3,8,入管,入管
中国語,3,9,在留期間,在留期间
中国語,3,10,雇用契約,劳动合同
中国語,3,11,給与明細,工资明细
中国語,3,12,給料,工资
中国語,3,13,残業手当,加班费
中国語,3,14,労働時間,劳动时间
中国語,4,1,控除（する）,扣除
中国語,4,2,ボーナス,奖金
中国語,4,3,有休,带薪休假
中国語,4,4,代休,补休
中国語,4,5,労働基準法,劳动基准法
中国語,4,6,労働条件,劳动条件
中国語,4,7,税金,税金
中国語,4,8,所得税,所得税
中国語,4,9,住民税,住民税
中国語,4,10,厚生年金,厚生年金
中国語,4,11,雇用保険,失业保险
中国語,4,12,健康保険,健康保险
中国語,5,13,社会保険,社会保险
中国語,5,14,労災,工伤
中国語,5,15,労災保険,工伤保险
中国語,6,1,遅刻（する）,迟到
中国語,6,2,早退（する）,早退
中国語,6,3,休憩（する）,休息
中国語,6,4,残業（する）,加班
中国語,6,5,定時,准时
中国語,6,6,規則,规则
中国語,6,7,休日,休息日
中国語,6,8,始業時間,上班时间
中国語,6,9,終業時間,下班时间
中国語,6,10,指導員,指导员
