,単語,再翻訳,類似度_claude,スコア
0,翻訳サイネージ,多言語翻訳システム,80%,
1,技能実習,技能実習,100%,
2,技能実習生,技能実習生,100%,
3,工場,工場,100%,
4,製造,製造業,90%,
5,機械,機械,100%,
6,安全,安全性,95%,
7,危険（な）,危険物,30%,
8,危ない,危険な,100%,
9,清掃,クリーニング,100%,
10,非常口,非常口,100%,
11,注意,注意,100%,
12,火事,火,70%,
13,事故,事故,100%,
14,服装,服装,100%,
15,安全装置,安全装置,100%,
16,安全カバー,安全カバー/ガード,95%,
17,けが,けが,100%,
18,けがをする,怪我をする,100%,
19,電源,電源,100%,
20,電源を切る,電源を切る,100%,
21,非常停止ボタン,緊急停止ボタン,100%,
22,非常停止ボタンを押す,緊急停止ボタンを押してください,95%,
23,ルール,ルール,100%,
24,ルールを守る,ルールに従う,100%,
25,止める,停止,100%,
26,機械を止める,機械を停止する,100%,
27,やって,やってみよう,70%,
28,止めて,やめて,90%,
29,取って,取ってこい / 持ってくる / 取る,75%,
30,だめ（な）,許可されていません,100%,
31,監理団体,監督組織,80%,
32,技術移転,技術移転,100%,
33,技能実習期間,技能実習期間,100%,
34,職種,職種/職業,100%,
35,在留資格,在留資格,100%,
36,パスポート,パスポート,100%,
37,在留カード,在留カード,100%,
38,入管,移民（サービス）,100%,
39,在留期間,滞在期間,100%,
40,雇用契約,雇用契約,100%,
41,給与明細,給与明細書,100%,
42,給料,給与,95%,
43,残業手当,残業手当,100%,
44,労働時間,勤務時間,100%,
45,控除（する）,控除/控除,100%,
46,ボーナス,ボーナス,100%,
47,有休,有給休暇,100%,
48,代休,振替休日・代休,100%,
49,労働基準法,労働基準法,100%,
50,労働条件,労働条件,95%,
51,税金,税金,95%,
52,所得税,所得税,100%,
53,住民税,住民税,100%,
54,厚生年金,厚生年金保険,100%,
55,雇用保険,雇用保険,100%,
56,健康保険,健康保険,100%,
57,社会保険,社会保険,100%,
58,労災,労働災害,100%,
59,労災保険,労災保険,100%,
60,遅刻（する）,遅刻する,100%,
61,早退（する）,早めに出発する,90%,
62,休憩（する）,休憩する,95%,
63,残業（する）,残業,100%,
64,定時,固定労働時間 / 定時,100%,
65,規則,規則/ルール,100%,
66,休日,休日,100%,
67,始業時間,開始時間,100%,
68,終業時間,終了時間,100%,
69,指導員,インストラクター/スーパーバイザー,100%,
70,生活指導員,生活指導スタッフ,100%,
71,担当者,担当者,100%,
72,スイッチ入れるな,スイッチを入れないでください,100%,
73,スイッチ切るな,スイッチをオフにしないでください,100%,
74,使用禁止,使用禁止/使用禁止,100%,
75,5S,5S（整理・整頓・清掃・清潔・しつけ）,100%,
76,整理,選別,100%,
77,整頓,整頓する,100%,
78,清掃,輝き/清潔,100%,
79,清潔,清潔さ,100%,
80,しつけ,維持/規律,100%,
81,掃除（する）,掃除/清掃,100%,
82,片づける,片付ける,100%,
83,捨てる,捨てる,90%,
84,汚い,汚い,100%,
85,汚れる,汚れる,100%,
86,分別（する）,分別（廃棄物）,100%,
87,燃えないごみ,燃えないゴミ,100%,
88,燃えるごみ,可燃ごみ,100%,
89,挟まれる,挟まれる,100%,
90,巻き込まれる,絡まる/巻き込まれる,100%,
91,やけど（する）,火傷（怪我）,100%,
92,落ちる,秋,100%,
93,すべる,スリップ,100%,
94,転ぶ,倒れる,100%,
95,濡れる,濡れる,100%,
96,衛生,衛生,100%,
97,避難（する）,避難,100%,
98,救   車,救急車,100%,
99,災害,災害,100%,
100,地震,地震,100%,
101,もぐる,潜る / 潜る,100%,
102,火気厳禁,火気厳禁,100%,
103,開放厳禁,閉じたままにしてください / 開けないでください,90%,
104,標識,標識,100%,
105,気をつける,気をつけて,100%,
106,持ち込む,持ち込む,100%,
107,防ぐ,防ぐ,100%,
108,火,火（炎）,100%,
109,煙,煙,100%,
110,消火,消火/消火活動,100%,
111,消火器,消火器,100%,
112,非常ベル,警報ベル,100%,
113,火災報知機,火災警報,95%,
114,逃げる,逃げる,100%,
115,現場,作業現場,95%,
116,作業,仕事/タスク,90%,
117,ミーティング,ミーティング,100%,
118,研修（する）,トレーニング/トレーニング,100%,
119,実習（する）,実習・実習,100%,
120,あいさつ,挨拶,100%,
121,確認（する）,確認,100%,
122,報告（する）,報告,100%,
123,連絡（する）,連絡/通知,100%,
124,相談（する）,相談する,100%,
125,渡す,渡す,100%,
126,申請書,申込書,95%,
127,寝坊（する）,睡眠不足,70%,
128,技能,スキル,100%,
129,技能検定試験,技能試験/貿易試験,85%,
130,受検（する）,試験を受ける,100%,
131,資格,資格・証明書,100%,
132,手当,手当,100%,
133,社員,従業員,100%,
134,部長,ゼネラルマネージャー / 部門マネージャー,90%,
135,課長,課長,100%,
136,更衣室,更衣室・ロッカールーム,100%,
137,台車,手押し車/台車,100%,
138,床,床,100%,
139,出口,出口,100%,
140,電気,電気/電力,100%,
141,警報音,アラーム音,100%,
142,コンセント,電源コンセント/ソケット,100%,
143,作業場,作業エリア,100%,
144,作業台,作業台,100%,
145,工事現場,建設現場,100%,
146,職長,フォアマン,100%,
147,作業責任者,作業監督者・責任者,100%,
148,禁止,禁止,100%,
149,表示板,看板・表示板,100%,
150,禁止事項,禁止事項,100%,
151,避難訓練,避難訓練,100%,
152,感電（する）,感電 / 感電する,100%,
153,防止（する）,予防/防止,100%,
154,予防（する）,予防/防止,100%,
155,転倒（する）,秋 / 旅行,20%,
156,挟まる,詰まる/捕まる,85%,
157,足元,足元,100%,
158,不安定（な）,不安定,100%,
159,後片付け,後片付け/仕事後の掃除,100%,
160,救   箱,救急キット,95%,
161,絆創膏,包帯/絆創膏,100%,
162,体調,体調,100%,
163,血,血,100%,
164,熱中症,熱中症,100%,
165,吐き気,吐き気,100%,
166,嘔吐（する）,嘔吐,100%,
167,足がつる,脚のけいれん,100%,
168,気分が悪い,気分が悪い,100%,
169,寝不足,睡眠不足,100%,
170,安全ネット,セーフティネット,100%,
171,安全点検,安全検査,100%,
172,KY活動（危険予知活動）,KY活動（危険予測）,100%,
173,危険,危険,100%,
174,ぶつかる,ぶつかる/衝突する,100%,
175,当たる,ヒット/ストライク,60%,
176,下敷きになる,押さえつけられる,100%,
177,打つ,ヒット/ストライク,60%,
178,バランスを崩す,バランスを失う,100%,
179,倒れる,倒れる/崩壊する,100%,
180,転落（する）,高所からの落下,100%,
181,指差呼称,指差しと呼びかけ,100%,
182,ヒヤリハット,ニアミス,100%,
183,原因,原因,100%,
184,対策,対策,100%,
185,落下（する）,落下,100%,
186,墜落（する）,落下（高所から）/ 急降下,100%,
187,確認（する）,確認/チェック,100%,
188,作業着,作業服,100%,
189,作業服,作業服,100%,
190,作業靴,安全靴・作業靴,100%,
191,手袋,手袋,100%,
192,帽子,キャップ/帽子,100%,
193,保護帽（ヘルメット）,安全ヘルメット,100%,
194,保護具,PPE（個人用保護具）,100%,
195,あごひも,あごストラップ,100%,
196,ボタン,ボタン,100%,
197,ポケット,ポケット,100%,
198,保護メガネ,安全メガネ,100%,
199,マスク,マスク/呼吸器（文脈）,100%,
200,栓,プラグ/ストッパー,85%,
201,安全靴,安全靴,100%,
202,墜落制止用器具（安全帯）,墜落制止用器具（安全ベルト・ハーネス）,100%,
203,業務,業務 / 義務 / タスク,90%,
204,時間厳守,時間厳守,100%,
205,予定,スケジュール/計画,100%,
206,日付,日付,100%,
207,準備（する）,準備,100%,
208,会議,会議/カンファレンス,100%,
209,朝礼,朝礼／ツールボックスミーティング,100%,
210,報告書,報告,100%,
211,マニュアル,マニュアル,100%,
212,作業手順書,作業手順書,100%,
213,調子,状態/ステータス,100%,
214,立入禁止,立入り禁止,100%,
215,禁煙,禁煙,100%,
216,駐車禁止,駐車禁止,100%,
217,足もと注意,足もと注意,100%,
218,開口部注意,開口部 - 注意,100%,
219,感電注意,電気の危険 - 注意,100%,
220,堕落注意,落下の危険 - 注意,100%,
221,頭上注意,頭上危険 - 注意,100%,
222,警報設備,警報システム,100%,
223,AED設置場所,AEDの場所,100%,
224,保護帽着用,安全ヘルメットを着用してください,100%,
225,安全帯使用,安全ハーネスを使用する,100%,
226,昇降階段,アクセス階段,100%,
227,休憩所,休憩所,100%,
228,最大積載荷重,最大積載量,100%,
229,喫煙所,喫煙エリア,100%,
230,整理整頓,並べ替えと整頓,100%,
231,安全通路,安全な通路,100%,
232,三連クランプ,トリプルクランプ,100%,
233,"ベルトコンベア
（ベルコン）",ベルトコンベア,100%,
