行ID,ファイル名,言語,ページ,番号,日本語,翻訳
1,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,1.0,技能実習,Pelatihan Kerja Teknis
2,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,2.0,技能実習生,Pemagang Kerja Teknis
3,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,3.0,工場,Pabrik
4,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,4.0,製造,Manufaktur
5,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,5.0,機械,Mesin
6,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,6.0,安全,Keselamatan
7,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,7.0,危険（な）,Berbahaya (Bahaya)
8,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,8.0,危ない,Bahaya
9,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,9.0,清掃,Pembersihan
10,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,7,4.0,清掃,Resik
11,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,10.0,非常口,Pintu keluar darurat
12,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,11.0,注意,Peringatan
13,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,12.0,火事,Kebakaran
14,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,13.0,事故,Kecelakaan
15,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,14.0,服装,Pakaian
16,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,1,15.0,安全装置,Peralatan keselamatan
17,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,1.0,安全カバー,Tutup pengaman
18,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,25,1.0,安全カバー,Tutup pengaman
19,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,2.0,けが,Luka
20,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,3.0,けがをする,Terluka
21,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,4.0,電源,Sumber listrik
22,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,5.0,電源を切る,Mematikan listrik
23,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,6.0,非常停止ボタン,Tombol stop darurat
24,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,7.0,非常停止ボタンを押す,Menekan tombol stop darurat
25,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,8.0,ルール,Peraturan
26,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,9.0,ルールを守る,Mematuhi peraturan
27,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,10.0,止める,Menghentikan
28,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,11.0,機械を止める,Menghentikan mesin
29,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,12.0,やって,Lakukan
30,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,13.0,止めて,Hentikan
31,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,14.0,取って,Ambil
32,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,2,15.0,だめ（な）,Tidak boleh (Jangan)
33,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,1.0,監理団体,Lembaga pengawas
34,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,2.0,技術移転,Transfer teknologi
35,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,3.0,技能実習期間,Periode pelatihan kerja
36,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,4.0,職種,Pekerjaan
37,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,5.0,在留資格,Status tinggal
38,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,6.0,パスポート,Paspor
39,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,7.0,在留カード,Kartu izin tinggal
40,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,8.0,入管,Imigrasi
41,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,9.0,在留期間,Periode tinggal
42,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,10.0,雇用契約,Kontrak kerja
43,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,11.0,給与明細,Slip gaji
44,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,12.0,給料,Gaji
45,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,13.0,残業手当,Tunjangan lembur
46,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,3,14.0,労働時間,Jam kerja
47,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,1.0,控除（する）,Pengurangan (Mengurangi)
48,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,2.0,ボーナス,Bonus
49,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,3.0,有休,Cuti tahunan
50,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,4.0,代休,Libur pengganti
51,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,5.0,労働基準法,Peraturan standar ketenagakerjaan
52,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,6.0,労働条件,Kondisi kerja
53,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,7.0,税金,Pajak
54,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,8.0,所得税,Pajak penghasilan
55,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,9.0,住民税,Pajak penduduk
56,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,10.0,厚生年金,Uang pensiun
57,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,11.0,雇用保険,Asuransi ketenagakerjaan
58,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,4,12.0,健康保険,Asuransi kesehatan
59,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,5,13.0,社会保険,Asuransi sosial
60,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,5,14.0,労災,Kecelakaan kerja
61,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,5,15.0,労災保険,Asuransi kecelakaan kerja
62,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,1.0,遅刻（する）,Keterlambatan (Terlambat)
63,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,2.0,早退（する）,Kepulangan cepat (Pulang cepat)
64,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,3.0,休憩（する）,Istirahat (Beristirahat)
65,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,4.0,残業（する）,Pekerjaan lembur (Lembur)
66,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,5.0,定時,Tepat waktu
67,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,6.0,規則,Aturan
68,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,7.0,休日,Hari libur
69,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,8.0,始業時間,Jam mulai kerja
70,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,9.0,終業時間,Jam usai kerja
71,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,10.0,指導員,Instruktur
72,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,11.0,生活指導員,Pembimbing kehidupan sehari-hari
73,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,12.0,担当者,Penanggungjawab
74,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,13.0,スイッチ入れるな,Jangan dinyalakan
75,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,14.0,スイッチ切るな,Jangan dimatikan
76,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,6,15.0,使用禁止,Dilarang menggunakan
77,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,7,1.0,5S,"5S (Di Indonesia 5R :Ringkas, Rapi, Resik, Rawat, Rajin)"
78,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,7,2.0,整理,Ringkas
79,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,7,3.0,整頓,Rapi
80,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,5.0,清潔,Rawat
81,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,6.0,しつけ,Rajin
82,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,7.0,掃除（する）,Pembersihan (Membersihkan)
83,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,8.0,片づける,Membereskan
84,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,46,1.0,片づける,Membereskan(Mengem balikan seperti semula)
85,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,9.0,捨てる,Membuang
86,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,46,2.0,捨てる,Membuang
87,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,10.0,汚い,Kotor
88,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,11.0,汚れる,Kotor
89,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,12.0,分別（する）,Pemisahan (Memisahkan)
90,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,13.0,燃えないごみ,Sampah tak mudah terbakar
91,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,14.0,燃えるごみ,Sampah mudah terbakar
92,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,15.0,挟まれる,Terjepit
93,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,16.0,巻き込まれる,Terlilit
94,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,8,17.0,やけど（する）,Luka bakar (Terbakar)
95,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,18.0,落ちる,Jatuh
96,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,19.0,すべる,Terpeleset/Licin
97,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,20.0,転ぶ,Terjatuh
98,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,21.0,濡れる,Basah
99,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,22.0,衛生,Kebersihan
100,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,23.0,避難（する）,Evakuasi (Mengevakuasi)
101,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,24.0,救急車,Ambulans
102,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,25.0,災害,Bencana
103,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,26.0,地震,Gempa bumi
104,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,9,27.0,もぐる,Menyelinap
105,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,1.0,火気厳禁,Dilarang menggunakan api
106,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,17,3.0,火気厳禁,Dilarang menggunakan api
107,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,2.0,開放厳禁,Dilarang membuka
108,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,3.0,標識,Tanda
109,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,4.0,気をつける,Berhati-hati
110,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,5.0,持ち込む,Membawa masuk
111,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,6.0,防ぐ,Mencegah
112,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,7.0,火,Api
113,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,8.0,煙,Asap
114,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,9.0,消火,Pemadam kebakaran
115,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,10.0,消火器,Alat pemadam kebakaran
116,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,18,11.0,消火器,Alat Pemadam Kebakaran
117,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,11.0,非常ベル,Bel darurat
118,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,12.0,火災報知機,Alarm kebakaran
119,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,13.0,逃げる,Melarikan diri
120,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,14.0,現場,Tempat kerja/Pabrik
121,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,15.0,作業,Pekerjaan
122,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,16.0,ミーティング,Rapat/Meeting
123,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,17.0,研修（する）,Pelatihan/Training (Berlatih)
124,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,10,18.0,実習（する）,Pelatihan (Berlatih)
125,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,11,19.0,あいさつ,Salam
126,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,11,20.0,確認（する）,Konfirmasi (Mengkonfirmasikan)
127,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,14,16.0,確認（する）,Konfirmasi
128,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,11,21.0,報告（する）,Laporan (Melaporkan)
129,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,11,22.0,連絡（する）,Kontak (Menghubungi)
130,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,11,23.0,相談（する）,Konsultasi (Berkonsultasi)
131,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,11,24.0,渡す,Menyerahkan
132,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,11,25.0,申請書,Surat permohonan
133,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,11,26.0,寝坊（する）,Kesiangan (Bangun kesiangan)
134,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,1.0,技能,Keahlian
135,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,2.0,技能検定試験,Ujian keahlian teknis
136,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,3.0,受検（する）,Ujian
137,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,4.0,資格,Kualifikasi
138,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,5.0,手当,Tunjangan
139,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,6.0,社員,Pegawai
140,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,7.0,部長,Kepala bidang
141,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,8.0,課長,Kepala Seksi
142,インドネシア語_pdfplumber_抽出_最終版.csv,インドネシア語,12,9.0,更衣室,Ruang ganti
