ja,en,fil-PH,pt,es,pt-BR,zh,ko,fr,hi,th,vi,my,ne,bn,id,ta,si,mn,ar,fa,tr,ru,ur,km,lo,ms,de,hu,cs,pl,nl,da,fi,sv,lb,af,fr-CA,翻訳言語数
技能実習,Technical intern training,Technical Intern Training,,,,技能实习,,,,การฝึกงานดา้ นเทคนคิ,Thực tập kỹ năng,အလပု ်သငတ် န်း်,,,Pelatihan Kerja Teknis,,,,,,,,,ការហ្វឹកហ្វឺនជំនាញ,,,,,,,,,,,,,,8
技能実習生,Technical intern trainee,Technical Intern Trainee,,,,技能实习生,,,,ผฝู้ ึกงานดา้ นเทคนคิ,Thực tập sinh kỹ năng,အလပု ်သင်,,,Pemagang Kerja Teknis,,,,,,,,,កម្មសិកាការហ្ី វឹកហ្វឺន ជំនាញ,,,,,,,,,,,,,,8
工場,Factory; plant,Pabrika,,,,工厂,,,,โรงงาน,Nhà máy,စကရ် ု,,,Pabrik,,,,,,,,,រោងចក្ក,,,,,,,,,,,,,,8
製造,Manufacturing,Produksiyon,,,,制造,,,,ผลติ,Chế tạo,ထတု လ် ပု ်မှု,,,Manufaktur,,,,,,,,,ការផលិត,,,,,,,,,,,,,,8
機械,Machine; machinery,Makina,,,,机械,,,,เครอื่ งจักร,Máy móc,စက်,,,Mesin,,,,,,,,,ម៉ា ស ៊ីន,,,,,,,,,,,,,,8
安全,Safety,Kaligtasan,,,,安全,,,,ปลอดภัย,An toàn,လခ ု ြုံ မှု,,,Keselamatan,,,,,,,,,ស វតថិភាព,,,,,,,,,,,,,,8
危険（な）,Danger (dangerous),Delikado (Mapanganib),,,,危险（的）,,,,อนั ตราย (ทอี่ นั ตราย),Nguy hiểm (tính từ),အန္ရတ ာယ်(ရှိ သသာ),,,Berbahaya (Bahaya),,,,,,,,,(ដែល)រក្រោះថ្នា ក់,,,,,,,,,,,,,,8
危ない,Dangerous,Delikado,,,,危险,,,,อนั ตราย,Nguy hiểm,အန္ရတ ာယရ် ှိ သည်,,,Bahaya,,,,,,,,,រក្រោះថ្នា ក់,,,,,,,,,,,,,,8
清掃,Seisou (Shine),Simutin / Paglilinis,,,,清扫,,,,สะอาด,Làm vệ sinh,သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း် (Sei-sou),,,Pembersihan,,,,,,,,,សមា ត,,,,,,,,,,,,,,8
非常口,Emergency exit,Emerhensyang labasan/Emergency exit,,,,安全出口,,,,ทางออกฉุกเฉนิ,Cửa thoát hiểm,အသရ်းသပေါ်ထကွ သ် ပါက်,,,Pintu keluar darurat,,,,,,,,,ផល វូ ោសនា,,,,,,,,,,,,,,8
