行ID,ファイル名,言語,ページ,番号,日本語,翻訳
1,英語_pdfplumber_抽出_最終版.csv,英語,1,1.0,技能実習,Technical intern training
2,英語_pdfplumber_抽出_最終版.csv,英語,1,2.0,技能実習生,Technical intern trainee
3,英語_pdfplumber_抽出_最終版.csv,英語,1,3.0,工場,Factory; plant
4,英語_pdfplumber_抽出_最終版.csv,英語,1,4.0,製造,Manufacturing
5,英語_pdfplumber_抽出_最終版.csv,英語,1,5.0,機械,Machine; machinery
6,英語_pdfplumber_抽出_最終版.csv,英語,1,6.0,安全,Safety
7,英語_pdfplumber_抽出_最終版.csv,英語,1,7.0,危険（な）,Danger (dangerous)
8,英語_pdfplumber_抽出_最終版.csv,英語,1,8.0,危ない,Dangerous
9,英語_pdfplumber_抽出_最終版.csv,英語,1,9.0,清掃,Seisou (Shine)
10,英語_pdfplumber_抽出_最終版.csv,英語,1,10.0,非常口,Emergency exit
11,英語_pdfplumber_抽出_最終版.csv,英語,1,11.0,注意,Attention
12,英語_pdfplumber_抽出_最終版.csv,英語,1,12.0,火事,Fire
13,英語_pdfplumber_抽出_最終版.csv,英語,1,13.0,事故,Accident
14,英語_pdfplumber_抽出_最終版.csv,英語,1,14.0,服装,Clothes
15,英語_pdfplumber_抽出_最終版.csv,英語,1,15.0,安全装置,Safety equipment
16,英語_pdfplumber_抽出_最終版.csv,英語,2,1.0,安全カバー,Safety cover; protection cover
17,英語_pdfplumber_抽出_最終版.csv,英語,2,2.0,けが,Injury
18,英語_pdfplumber_抽出_最終版.csv,英語,2,3.0,けがをする,To get injured
19,英語_pdfplumber_抽出_最終版.csv,英語,2,4.0,電源,Power supply
20,英語_pdfplumber_抽出_最終版.csv,英語,2,5.0,電源を切る,To turn off power
21,英語_pdfplumber_抽出_最終版.csv,英語,2,6.0,非常停止ボタン,Emergency stop button
22,英語_pdfplumber_抽出_最終版.csv,英語,2,7.0,非常停止ボタンを押す,To push an emergency stop button
23,英語_pdfplumber_抽出_最終版.csv,英語,2,8.0,ルール,Rule
24,英語_pdfplumber_抽出_最終版.csv,英語,2,9.0,ルールを守る,To comply with rules
25,英語_pdfplumber_抽出_最終版.csv,英語,2,10.0,止める,To stop
26,英語_pdfplumber_抽出_最終版.csv,英語,2,11.0,機械を止める,To stop a machine
27,英語_pdfplumber_抽出_最終版.csv,英語,2,12.0,やって,Do (something).
28,英語_pdfplumber_抽出_最終版.csv,英語,2,13.0,止めて,Stop (something).
29,英語_pdfplumber_抽出_最終版.csv,英語,2,14.0,取って,Take; pick up; pass (something).
30,英語_pdfplumber_抽出_最終版.csv,英語,2,15.0,だめ（な）,No. ; No good (bad; wrong)
31,英語_pdfplumber_抽出_最終版.csv,英語,3,1.0,監理団体,Supervising organization
32,英語_pdfplumber_抽出_最終版.csv,英語,3,2.0,技術移転,Technology transfer
33,英語_pdfplumber_抽出_最終版.csv,英語,3,3.0,技能実習期間,Technical intern training period
34,英語_pdfplumber_抽出_最終版.csv,英語,3,4.0,職種,Job type
35,英語_pdfplumber_抽出_最終版.csv,英語,3,5.0,在留資格,Status of residence
36,英語_pdfplumber_抽出_最終版.csv,英語,3,6.0,パスポート,Passport
37,英語_pdfplumber_抽出_最終版.csv,英語,3,7.0,在留カード,Residence card
38,英語_pdfplumber_抽出_最終版.csv,英語,3,8.0,入管,Immigration
39,英語_pdfplumber_抽出_最終版.csv,英語,3,9.0,在留期間,Period of stay
40,英語_pdfplumber_抽出_最終版.csv,英語,3,10.0,雇用契約,Employment contract
41,英語_pdfplumber_抽出_最終版.csv,英語,3,11.0,給与明細,Pay slip
42,英語_pdfplumber_抽出_最終版.csv,英語,3,12.0,給料,Salary
43,英語_pdfplumber_抽出_最終版.csv,英語,3,13.0,残業手当,Overtime allowance
44,英語_pdfplumber_抽出_最終版.csv,英語,3,14.0,労働時間,Working hours
45,英語_pdfplumber_抽出_最終版.csv,英語,4,1.0,控除（する）,Deduction (to deduct)
46,英語_pdfplumber_抽出_最終版.csv,英語,4,2.0,ボーナス,Bonus
47,英語_pdfplumber_抽出_最終版.csv,英語,4,3.0,有休,Paid holiday
48,英語_pdfplumber_抽出_最終版.csv,英語,4,4.0,代休,Compensatory day off
49,英語_pdfplumber_抽出_最終版.csv,英語,4,5.0,労働基準法,Labor Standards Act
50,英語_pdfplumber_抽出_最終版.csv,英語,4,6.0,労働条件,Working conditions
51,英語_pdfplumber_抽出_最終版.csv,英語,4,7.0,税金,Tax
52,英語_pdfplumber_抽出_最終版.csv,英語,4,8.0,所得税,Income tax
53,英語_pdfplumber_抽出_最終版.csv,英語,4,9.0,住民税,Resident tax
54,英語_pdfplumber_抽出_最終版.csv,英語,4,10.0,厚生年金,Welfare pension
55,英語_pdfplumber_抽出_最終版.csv,英語,4,11.0,雇用保険,Employment insurance
56,英語_pdfplumber_抽出_最終版.csv,英語,4,12.0,健康保険,Health insurance
57,英語_pdfplumber_抽出_最終版.csv,英語,5,13.0,社会保険,Social insurance
58,英語_pdfplumber_抽出_最終版.csv,英語,5,14.0,労災,Industrial accident
59,英語_pdfplumber_抽出_最終版.csv,英語,5,15.0,労災保険,Industrial accident compensation insurance
60,英語_pdfplumber_抽出_最終版.csv,英語,6,1.0,遅刻（する）,Late arrival (be late)
61,英語_pdfplumber_抽出_最終版.csv,英語,6,2.0,早退（する）,Leaving early (to leave early)
62,英語_pdfplumber_抽出_最終版.csv,英語,6,3.0,休憩（する）,Break (to take a break)
63,英語_pdfplumber_抽出_最終版.csv,英語,6,4.0,残業（する）,Overtime work (to work overtime)
64,英語_pdfplumber_抽出_最終版.csv,英語,6,5.0,定時,Regular hours
65,英語_pdfplumber_抽出_最終版.csv,英語,6,6.0,規則,Regulation; rule
66,英語_pdfplumber_抽出_最終版.csv,英語,6,7.0,休日,Non-working day
67,英語_pdfplumber_抽出_最終版.csv,英語,6,8.0,始業時間,Starting time of work
68,英語_pdfplumber_抽出_最終版.csv,英語,6,9.0,終業時間,Ending time of work
69,英語_pdfplumber_抽出_最終版.csv,英語,6,10.0,指導員,Instructor
70,英語_pdfplumber_抽出_最終版.csv,英語,6,11.0,生活指導員,Life advisor
71,英語_pdfplumber_抽出_最終版.csv,英語,6,12.0,担当者,Person in charge
72,英語_pdfplumber_抽出_最終版.csv,英語,6,13.0,スイッチ入れるな,Do not switch on.
73,英語_pdfplumber_抽出_最終版.csv,英語,6,14.0,スイッチ切るな,Do not switch off.
74,英語_pdfplumber_抽出_最終版.csv,英語,6,15.0,使用禁止,Do not use.
75,英語_pdfplumber_抽出_最終版.csv,英語,7,1.0,5S,5S
76,英語_pdfplumber_抽出_最終版.csv,英語,7,2.0,整理,Seiri (Sorting)
77,英語_pdfplumber_抽出_最終版.csv,英語,7,3.0,整頓,Seiton (Set in order)
78,英語_pdfplumber_抽出_最終版.csv,英語,7,4.0,清掃,Seisou (Shine)
