日本語,pdfplumber値（正規化後）,PyMuPDF値（正規化後）,Page,No,一致
技能実習,ការហ្វឹកហ្វឺនជំនាញ,ករា ហវឹ្កហវឺ្នជំនញា,1.0,1,False
技能実習生,កម្មសិកាការហ្ី វឹកហ្វឺន ជំនាញ,កមមស្ ិកាការហី វឹ្កហវឺ្ន ជំនញា,1.0,2,False
工場,រោងចក្ក,រោងចកក្,1.0,3,False
製造,ការផលិត,ករា ផលិត,1.0,4,False
機械,ម៉ា ស ៊ីន,ម៉ា ស ៊ីន,1.0,5,True
安全,ស វតថិភាព,ស វតថិភពា,1.0,6,False
危険（な）,(ដែល)រក្រោះថ្នា ក់,(ដែល)រករ្ ោះថា ក្ន់,1.0,7,False
危ない,រក្រោះថ្នា ក់,រករ្ ោះថា ក្ន់,1.0,8,False
清掃,សមា ត,សមា ត,1.0,9,True
非常口,ផល វូ ោសនា,ផលវូ ោសនា,1.0,10,False
注意,ការក្រងុ ក្រយ័តា,ករា ករ្ ងុ ករ្ យ័តា,1.0,11,False
火事,អគ្ាិភ័យ,អគាិ្ភ័យ,1.0,12,False
事故,ឧរតិរហ្ត,ឧរតិរហ្ត,1.0,13,True
服装,សរម្លៀករំពាក់,សរមលៀ្ ករំពកា ់,1.0,14,False
安全装置,ឧរករណ៍ស វតថិភាព,ឧរករណ៍ស វតថិភពា,1.0,15,False
安全カバー,គម្របសុវត្ថិភាព,គមរ្ បសុវតថិ្ភពា,2.0,1,False
けが,របួស,របួស,2.0,2,True
けがをする,មានរបួស,មនា របួស,2.0,3,False
電源,ចរនតអគគិសនី,ចរនតអគគិសនី,2.0,4,True
電源を切る,បិទចរនតអគគិសនី,បិទចរនតអគគិសនី,2.0,5,True
非常停止ボタン,ប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,ប៊ូ តុង្ បញឈ្ ប់ពពល អសា នន,2.0,6,False
非常停止ボタンを押す,ចុចប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,ចុចប៊ូ តុង្ បញឈ្ ប់ពពល អសា នន,2.0,7,False
ルール,ចាប់,ចាប់,2.0,8,True
ルールを守る,ពោរពចាប់,ពោរពចាប់,2.0,9,True
止める,បញ្ឈប់,បញឈ្ ប់,2.0,10,False
機械を止める,បញ្ឈប់មា៉ា សុីន,បញឈ្ ប់ម៉ា សា ុីន,2.0,11,False
やって,ស៊ូរព្វើ,ស៊ូរព្វើ,2.0,12,True
止めて,ស៊ូរបញ្ឈប់,ស៊ូរបញឈ្ ប់,2.0,13,False
取って,ស៊ូរយក,ស៊ូរយក,2.0,14,True
だめ（な）,(ដែល)រិនបាន,(ដែល)រិនបនា,2.0,15,False
監理団体,អង្គភាពគ្រប់គ្រង្,អងគភ្ ពា គរ្ ប់គរ្ ង្,3.0,1,False
技術移転,ការណទេរបណចេកវទ្យិ ា,ករា ណទេរបណចេកវទិ ា្យ,3.0,2,False
技能実習期間,រយៈណពលហ្វឹកហ្វឺនជំនញ,រយៈណពលហវឹ្កហវឺ្នជំនញ,3.0,3,False
職種,គ្បណេទ្យមុខរបរ,គប្ ណេទ្យមុខរបរ,3.0,4,False
在留資格,អាជ្ញា ប័េណ ស្នា ក់ណៅ,អជា ា ប្ញ័េណសា ក្ន់ណៅ,3.0,5,False
パスポート,លិខិតឆ្លង្ដែន,លិខិតឆលង្ ដ្ ែន,3.0,6,False
在留カード,ប័េណ ស្នា ក់ណៅ,ប័េណសា ក្ន់ណៅ,3.0,7,False
入管,អណនា គ្បណវសន៍,អណនា គប្ ណវសន៍,3.0,8,False
在留期間,រយៈណពលស្នា ក់ណៅ,រយៈណពលសា ក្ន់ណៅ,3.0,9,False
雇用契約,កិចេសនាការងារ,កិចេសនាករា ងរា,3.0,10,False
給与明細,បងាា នន់ ែណបើកគ្ាក់ ណបៀវតស,បងា នា ន់ ែណបើកគា្ ក់ ណបៀវតស,3.0,11,False
給料,គ្ាក់ណបៀវតស,គា្ ក់ណបៀវតស,3.0,12,False
残業手当,គ្ាក់ឈ្ន លួ ដែមណ ៉ោ ង្,គា្ ក់ឈនល្ួ ដែមណ ៉ោ ង្,3.0,13,False
労働時間,ណ ៉ោ ង្ណ្វើការ,ណ ៉ោ ងណ្ ្វើករា,3.0,14,False
控除（する）,(ធ្វើការ)ការកាត់ថ្លៃ,(ធ្វើករា )ករា កតា ់ថល្ ៃ,4.0,1,False
ボーナス,ប្រាក់រំណាច់,បា្រ ក់រំណចា ់,4.0,2,False
