言語,Page,番号,単語,翻訳
英語,1,1,技能実習,Technical intern training
英語,1,2,技能実習生,Technical intern trainee
英語,1,3,工場,Factory; plant
英語,1,4,製造,Manufacturing
英語,1,5,機械,Machine; machinery
英語,1,6,安全,Safety
英語,1,7,危険（な）,Danger (dangerous)
英語,1,8,危ない,Dangerous
英語,1,9,清掃,Seisou (Shine)
英語,1,10,非常口,Emergency exit
英語,1,11,注意,Attention
英語,1,12,火事,Fire
英語,1,13,事故,Accident
英語,1,14,服装,Clothes
英語,1,15,安全装置,Safety equipment
英語,2,1,安全カバー,Safety cover; protection cover
英語,2,2,けが,Injury
英語,2,3,けがをする,To get injured
英語,2,4,電源,Power supply
英語,2,5,電源を切る,To turn off power
英語,2,6,非常停止ボタン,Emergency stop button
英語,2,7,非常停止ボタンを押す,To push an emergency stop button
英語,2,8,ルール,Rule
英語,2,9,ルールを守る,To comply with rules
英語,2,10,止める,To stop
英語,2,11,機械を止める,To stop a machine
英語,2,12,やって,Do (something).
英語,2,13,止めて,Stop (something).
英語,2,14,取って,Take; pick up; pass (something).
英語,2,15,だめ（な）,No. ; No good (bad; wrong)
英語,3,1,監理団体,Supervising organization
英語,3,2,技術移転,Technology transfer
英語,3,3,技能実習期間,Technical intern training period
英語,3,4,職種,Job type
英語,3,5,在留資格,Status of residence
英語,3,6,パスポート,Passport
英語,3,7,在留カード,Residence card
英語,3,8,入管,Immigration
英語,3,9,在留期間,Period of stay
英語,3,10,雇用契約,Employment contract
英語,3,11,給与明細,Pay slip
英語,3,12,給料,Salary
英語,3,13,残業手当,Overtime allowance
英語,3,14,労働時間,Working hours
英語,4,1,控除（する）,Deduction (to deduct)
英語,4,2,ボーナス,Bonus
英語,4,3,有休,Paid holiday
英語,4,4,代休,Compensatory day off
英語,4,5,労働基準法,Labor Standards Act
英語,4,6,労働条件,Working conditions
英語,4,7,税金,Tax
英語,4,8,所得税,Income tax
英語,4,9,住民税,Resident tax
英語,4,10,厚生年金,Welfare pension
英語,4,11,雇用保険,Employment insurance
英語,4,12,健康保険,Health insurance
英語,5,13,社会保険,Social insurance
英語,5,14,労災,Industrial accident
英語,5,15,労災保険,Industrial accident compensation insurance
英語,6,1,遅刻（する）,Late arrival (be late)
英語,6,2,早退（する）,Leaving early (to leave early)
英語,6,3,休憩（する）,Break (to take a break)
英語,6,4,残業（する）,Overtime work (to work overtime)
英語,6,5,定時,Regular hours
英語,6,6,規則,Regulation; rule
英語,6,7,休日,Non-working day
英語,6,8,始業時間,Starting time of work
英語,6,9,終業時間,Ending time of work
英語,6,10,指導員,Instructor
英語,6,11,生活指導員,Life advisor
英語,6,12,担当者,Person in charge
英語,6,13,スイッチ入れるな,Do not switch on.
英語,6,14,スイッチ切るな,Do not switch off.
英語,6,15,使用禁止,Do not use.
英語,7,1,5S,5S
英語,7,2,整理,Seiri (Sorting)
英語,7,3,整頓,Seiton (Set in order)
英語,7,4,清掃,Seisou (Shine)
英語,7,5,清潔,Seiketsu (standardize)
英語,7,6,しつけ,Shitsuke (Sustain)
英語,7,7,掃除（する）,Cleaning (to clean)
英語,8,8,片づける,To tidy up
英語,8,9,捨てる,To throw away
英語,8,10,汚い,Dirty
英語,8,11,汚れる,To get dirty
英語,8,12,分別（する）,To sort waste
英語,8,13,燃えないごみ,Nonburnable waste
英語,8,14,燃えるごみ,Burnable waste
英語,8,15,挟まれる,To get sandwiched in between
英語,8,16,巻き込まれる,To get caught in
英語,8,17,やけど（する）,Burn (to get burned)
英語,8,18,落ちる,To fall
英語,8,19,すべる,To slip
英語,9,20,転ぶ,To fall; stumble
英語,9,21,濡れる,To get wet
英語,9,22,衛生,Sanitation
英語,9,23,避難（する）,Evacuation (to evacuate)
英語,9,24,救急車,Ambulance
英語,9,25,災害,Disaster
英語,9,26,地震,Earthquake
英語,9,27,もぐる,To hide; dive
