番号,単語,読み方（ひらがな）,翻訳,備考,例文
1,技能実習,ぎのうじっしゅう,การฝึกงานด้านเทคนิค,,
2,技能実習生,ぎのうじっしゅうせい,ผู้ฝึกงานด้านเทคนิค,,
3,工場,こうじょう,โรงงาน,,
4,製造,せいぞう,ผลิต,,
5,機械,きかい,เครื่องจักร,,
6,安全,あんぜん,ปลอดภัย,,
7,危険（な）,きけん（な）,อันตราย (ที่อันตราย),"โดยปกติแล้วจะก ากับด้วยตัวอักษรคัน จิ แต่ในโรงงานอาจมีกรณีที่ก ากับด้วย ตัวคาตะคานะว่า ""キケン""",
8,危ない,あぶない,อันตราย,,
9,清掃,せいそう,สะอาด,"ท าความสะอาดเพื่อให้พื้นที่การ
ท างานสะอาดและเข้าใจถึงสภาพที่ ถูกต้องได้ง่ายขึ้น",
10,非常口,ひじょうぐち,ทางออกฉุกเฉิน,,
11,注意,ちゅうい,ระวัง,,
12,火事,かじ,ไฟไหม้,,
13,事故,じこ,อุบัติเหตุ,,
14,服装,ふくそう,เครื่องแต่งกาย,,
15,安全装置,あんぜんそうち,อุปกรณ์ความปลอดภัย,,
1,安全カバー,あんぜんかばー,ฝาครอบป้องกัน,,
2,けが,けが,บาดเจ็บ,,
3,けがをする,けがをする,ได้รับบาดเจ็บ,,
4,電源,でんげん,แหล่งจ่ายไฟฟ้า,,
5,電源を切る,でんげんをきる,ตัดไฟ,,
6,非常停止ボタン,ひじょうていしぼたん,ปุ่มหยุดฉุกเฉิน,,
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,กดปุ่มหยุดฉุกเฉิน,,
8,ルール,るーる,กฎระเบียบ,,
9,ルールを守る,るーるをまもる,เคารพกฎระเบียบ,,
10,止める,とめる,หยุด,,
11,機械を止める,きかいをとめる,หยุดเครื่องจักร,,
12,やって,やって,ท าสิ,,
13,止めて,とめて,หยุดสิ,,
14,取って,とって,หยิบสิ,,
15,だめ（な）,だめ（な）,ไม่ได้ (ที่ไม่ได้),,
1,監理団体,かんりだんたい,องค์กรที่ก ำกับดูแล,องค์กรที่ไม่แสวงผลก ำไรซึ่งท ำกำร ควบคุมหรือให้ค ำชี้แนะกำรศึกษำ ด้ำนเทคนิคหรือกิจกรรมของผู้ ฝึกงำนด้ำนเทคนิค,
2,技術移転,ぎじゅついてん,กำรถ่ำยทอดเทคนิค,,
3,技能実習期間,ぎのうじっしゅうきかん,ระยะเวลำกำรฝึกงำนด้ำน เทคนิค,,
4,職種,しょくしゅ,ประเภทอำชีพ,,
5,在留資格,ざいりゅうしかく,สถำนภำพกำรพ ำนัก,,
6,パスポート,ぱすぽーと,หนังสือเดินทำง,,
7,在留カード,ざいりゅうかーど,บัตรสถำนภำพกำรพ ำนัก,,
8,入管,にゅうかん,ตม.,"ค ำย่อของ ""ส ำนักงำนตรวจคนเข้ำ เมือง"" หรือ ""กองตรวจคนเข้ำเมือง""",
9,在留期間,ざいりゅうきかん,ระยะเวลำกำรพ ำนัก,,
10,雇用契約,こようけいやく,สัญญำจ้ำงงำน,,
11,給与明細,きゅうよめいさい,สลิปเงินเดือน,,
12,給料,きゅうりょう,เงินเดือน,,
13,残業手当,ざんぎょうてあて,ค่ำล่วงเวลำ,,
14,労働時間,ろうどうじかん,เวลำท ำงำน,,
1,控除（する）,こうじょ（する）,การลดหย่อน (ลดหย่อน),,
2,ボーナス,ぼーなす,โบนัส,,
3,有休,ゆうきゅう,ได้รับค่าจ้าง,,
4,代休,だいきゅう,หยุดชดเชย,,
5,労働基準法,ろうどうきじゅんほう,กฎหมายมาตรฐาน แรงงาน,,
6,労働条件,ろうどうじょうけん,เงื่อนไขแรงงาน,,
7,税金,ぜいきん,ภาษี,,
8,所得税,しょとくぜい,ภาษีเงินได้,,
9,住民税,じゅうみんぜい,ภาษีบ ารุงท้องที่,,
10,厚生年金,こうせいねんきん,กองทุนส ารองเลี้ยงชีพ,,
11,雇用保険,こようほけん,ประกันการจ้างงาน,,
12,健康保険,けんこうほけん,ประกันสุขภาพ,,
13,社会保険,しゃかいほけん,ประกันสังคม,,
14,労災,ろうさい,อุบัติเหตุและความ เสียหายที่เกิดขึ้น ระหว่างการท างาน,,
15,労災保険,ろうさいほけん,ประกันอุบัติเหตุและ ความเสียหายที่เกิดขึ้น ระหว่างการท างาน,,
1,遅刻（する）,ちこく（する）,การมาสาย (มาสาย),,
2,早退（する）,そうたい（する）,การกลับก่อนเวลา (กลับ ก่อนเวลา),,
3,休憩（する）,きゅうけい（する）,การพัก (พัก),,
4,残業（する）,ざんぎょう（する）,"การท างานล่วงเวลา
(ท างานล่วงเวลา)",,
5,定時,ていじ,ตามเวลาที่ก าหนด,ตามระยะเวลาที่ถูกก าหนด ส่วนมาก จะหมายถึงเวลาที่เข้าออกบริษัท,"き ょ う       て い じ      かえ
今日は定時に帰る"
6,規則,きそく,กฎข้อบังคับ,,
7,休日,きゅうじつ,วันหยุด,,
8,始業時間,しぎょうじかん,เวลาเริ่มงาน,,
9,終業時間,しゅうぎょうじかん,เวลาเลิกงาน,,
10,指導員,しどういん,ผู้ชี้แนะ,,
11,生活指導員,せいかつしどういん,ผู้ชี้แนะในการด ารงชีพ,,
