"だ い       か       き     そ
第1課基礎30",Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 5,Unnamed: 10,Unnamed: 17,Unnamed: 25
Pelajaran 1  Dasar 30,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,技能実習,ぎのうじっしゅう,,Pelatihan Kerja Teknis,,,
2,技能実習生,ぎのうじっしゅうせい,,Pemagang Kerja Teknis,,,
3,工場,こうじょう,,Pabrik,,,
4,製造,せいぞう,,Manufaktur,,,
5,機械,きかい,,Mesin,,,
6,安全,あんぜん,,Keselamatan,,,
7,危険（な）,きけん（な）,,Berbahaya (Bahaya),"Umumnya ditulis dengan kanji, namun terkadang ditulis dengan katakana 「キケン」""berbahaya"".",,
8,危ない,あぶない,,Bahaya,,,
9,清掃,せいそう,,Pembersihan,Membersihkan dan Membereskan tempat kerja sehingga kita tahu seperti apa kondisi tempat kerja seharusnya.,,
10,非常口,ひじょうぐち,,Pintu keluar darurat,,,
11,注意,ちゅうい,,Peringatan,,,
12,火事,かじ,,Kebakaran,,,
13,事故,じこ,,Kecelakaan,,,
14,服装,ふくそう,,Pakaian,,,
15,安全装置,あんぜんそうち,,Peralatan keselamatan,,,
"だ い       か       き     そ
第2課基礎30",,,,,,,
Pelajaran 2  Dasar 30,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,安全カバー,あんぜんかばー,,Tutup pengaman,,,
2,けが,けが,,Luka,,,
3,けがをする,けがをする,,Terluka,,,
4,電源,でんげん,,Sumber listrik,,,
5,電源を切る,でんげんをきる,,Mematikan listrik,,,
6,非常停止ボタン,ひじょうていしぼたん,,Tombol stop darurat,,,
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,,Menekan tombol stop darurat,,,
8,ルール,るーる,,Peraturan,,,
9,ルールを守る,るーるをまもる,,Mematuhi peraturan,,,
10,止める,とめる,,Menghentikan,,,
11,機械を止める,きかいをとめる,,Menghentikan mesin,,,
12,やって,やって,,Lakukan,,,
13,止めて,とめて,,Hentikan,,,
14,取って,とって,,Ambil,,,
15,だめ（な）,だめ（な）,,Tidak boleh (Jangan),,,
"だい    か   ざいりゅうしかく   ろうどうけいやく
第3課在留資格、労働契約1",,,,,,,
"Pelajaran 3  Status Tinggal, Kontrak Kerja 1",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,監理団体,かんりだんたい,,Lembaga pengawas,Lembaga non-profit yang mengawasi atau mengarahkan pemagang kerja teknis terkait akuisisi keterampilan dan kegiatannya.,,
2,技術移転,ぎじゅついてん,,Transfer teknologi,,,
3,技能実習期間,ぎのうじっしゅうきかん,,Periode pelatihan kerja,,,
4,職種,しょくしゅ,,Pekerjaan,,,
5,在留資格,ざいりゅうしかく,,Status tinggal,,,
6,パスポート,ぱすぽーと,,Paspor,,,
7,在留カード,ざいりゅうかーど,,Kartu izin tinggal,,,
8,入管,にゅうかん,,Imigrasi,"にゅうこくかんりちょう
Singkatan untuk 「入国管理庁」
にゅうこくかんりきょく
""Badan Imigrasi""、「入国管理局」
""Biro  Imigrasi"".",,
9,在留期間,ざいりゅうきかん,,Periode tinggal,,,
10,雇用契約,こようけいやく,,Kontrak kerja,,,
11,給与明細,きゅうよめいさい,,Slip gaji,,,
12,給料,きゅうりょう,,Gaji,,,
13,残業手当,ざんぎょうてあて,,Tunjangan lembur,,,
14,労働時間,ろうどうじかん,,Jam kerja,,,
"だい    か   ろうどうけいやく    、 ぜい     ほ け ん
第4課労働契約2、税と保険",,,,,,,
"Pelajaran 4  Kontrak Tenaga Kerja 2, Pajak dan Asuransi",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,,,
1,控除（する）,こうじょ（する）,,Pengurangan (Mengurangi),,,
2,ボーナス,ぼーなす,,Bonus,,,
3,有休,ゆうきゅう,,Cuti tahunan,,,
4,代休,だいきゅう,,Libur pengganti,,,
5,労働基準法,ろうどうきじゅんほう,,Peraturan standar ketenagakerjaan,,,
6,労働条件,ろうどうじょうけん,,Kondisi kerja,,,
7,税金,ぜいきん,,Pajak,,,
8,所得税,しょとくぜい,,Pajak penghasilan,,,
9,住民税,じゅうみんぜい,,Pajak penduduk,,,
10,厚生年金,こうせいねんきん,,Uang pensiun,,,
11,雇用保険,こようほけん,,Asuransi ketenagakerjaan,,,
12,健康保険,けんこうほけん,,Asuransi kesehatan,,,
"だい    か   ろうどうけいやく    、 ぜい     ほ け ん
第4課労働契約2、税と保険",,,,,,,
"Pelajaran 4  Kontrak Tenaga Kerja 2, Pajak dan Asuransi",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,,,
13,社会保険,しゃかいほけん,,Asuransi sosial,,,
14,労災,ろうさい,,Kecelakaan kerja,,,
15,労災保険,ろうさいほけん,,Asuransi kecelakaan kerja,,,
"だい    か   しゅうぎょう
第5課就業",,,,,,,
Pelajaran 5  Pekerjaan,,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,遅刻（する）,ちこく（する）,,"Keterlambatan
(Terlambat)",,,
2,早退（する）,そうたい（する）,,Kepulangan cepat (Pulang cepat),,,
3,休憩（する）,きゅうけい（する）,,Istirahat (Beristirahat),,,
4,残業（する）,ざんぎょう（する）,,Pekerjaan lembur (Lembur),,,
5,定時,ていじ,,Tepat waktu,Waktu yang ditentukan. Umumnya merujuk pada waktu pulang kerja yang sudah ditentukan.,"き ょ う       て い じ      かえ
今日は定時に帰る",Hari ini pulang tepat waktu.
6,規則,きそく,,Aturan,,,
7,休日,きゅうじつ,,Hari libur,,,
8,始業時間,しぎょうじかん,,Jam mulai kerja,,,
9,終業時間,しゅうぎょうじかん,,Jam usai kerja,,,
10,指導員,しどういん,,Instruktur,,,
11,生活指導員,せいかつしどういん,,Pembimbing kehidupan sehari-hari,,,
12,担当者,たんとうしゃ,,Penanggungjawab,,,
13,スイッチ入れるな,すいっちいれるな,,Jangan dinyalakan,,,
14,スイッチ切るな,すいっちきるな,,Jangan dimatikan,,,
15,使用禁止,しようきんし,,Dilarang menggunakan,,,
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,,,
"Pelajaran 6  5S, Keamanan dan Kebersihan 1",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
1,5S,ごえす,,"5S (Di Indonesia 5R
:Ringkas, Rapi, Resik, Rawat, Rajin)","Merupakan akronim dari 5 kata yang dimulai dari huruf S: yang dalam bahasa Jepang dikenal dengan Seiri, Seiton, Seiso, Seiketsu, Shitsuke. Kata ini digunakan untuk meningkatkan produktivitas kerja.",,
2,整理,せいり,,Ringkas,Merupakan kegiatan menyingkirkan barang-barang yang tidak diperlukan sehingga segala barang yang ada di lokasi kerja hanya ada barang yang benar-benar dibutuhkan dalam aktivitas kerja,,
3,整頓,せいとん,,Rapi,Menyimpan barang yang tepat atau dalam tata letak yang benar sehingga dapat dipergunakan saat mendadak. Ini merupakan cara untuk menghilangkan pemborosan waktu dan tenaga dalam proses pencarian,,
4,清掃,せいそう,,Resik,"Merupakan kegiatan membersihkan peralatan dan tempat kerja hingga segala peralatan kerja tetap terjaga dalam kondisi yang baik. Secara konkrit, seperti membuang sampah, kotoran dan benda-benda asing serta membersihkan segala sesuatu.",,
"だい    か           あんぜんえいせい
第6課 5S、安全衛生1",,,,,,,
"Pelajaran 6  5S, Keamanan dan Kebersihan 1",,,,,,,
No.,Kosakata,Cara membaca (Hiragana),,Terjemahan,Anotasi,Contoh,
5,清潔,せいけつ,,Rawat,"Menjaga kondisi tetap baik setelah melakukan Ringkas, Rapi, Resik.",,
6,しつけ,しつけ,,Rajin,"Membiasakan diri menjalankan sesuatu sesuai dengan yang telah ditetapkan, untuk menciptakan budaya kerja bersama.",,
7,掃除（する）,そうじ（する）,,Pembersihan (Membersihkan),,,
8,片づける,かたづける,,Membereskan,,,
9,捨てる,すてる,,Membuang,,,
10,汚い,きたない,,Kotor,,,
11,汚れる,よごれる,,Kotor,,,
