"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 9,Unnamed: 11,Unnamed: 12,Unnamed: 18,Unnamed: 28,Unnamed: 35
មេម ៀនទី ១ េូលដ្ឋា  នទី ៣០,,,,,,,
No.,វាក្យសព្ទ, មបៀបអាន,,កា បក្ប្រប,ចំណា ព្នយល់,ឧទាហ ណ៍,
1,技能実習,ぎのうじっしゅう,,ការហ្ឹវ កហ្ឺវ នជំនាញ,,,
2,技能実習生,ぎのうじっしゅうせい,,កម្មសិកាការីហ្ឹវ កហ្ឺវ ន ជំនាញ,,,
3,工場,こうじょう,,រោងចក្ក,,,
4,製造,せいぞう,,ការផលិត,,,
5,機械,きかい,,ម៉ា ស៊ី ន,,,
6,安全,あんぜん,,ស វតិថភាព,,,
7,危険（な）,きけん（な）,,(ដែល)រក្រោះថ្នា ក់,ការកត់សមា  ល់ជាអកសកាន់ជិរក្រើ ក្ាស់ជាទូរៅ ក៏រ៉ា ដនែ រៅកន ុងរោង ចក្ក ក៏មនករណ៊ីរក្រើក្ាស់អកសកា តាកាណាថ្ន 「キケン」ផងដែរ។,,
8,危ない,あぶない,,រក្រោះថ្នា ក់,,,
9,清掃,せいそう,,សមា  ត,"ការរ្ីវរោយស្ថថ នភាពការងារងាយ យល់ ក្តឹម្ក្តូវ និងស្ថា តរោយការសម្្
ោត។",,
10,非常口,ひじょうぐち,,ផូល  វោសនា,,,
11,注意,ちゅうい,,ការក្រងុក្រយ័តា,,,
12,火事,かじ,,អគ្ិា ភ័យ,,,
13,事故,じこ,,ឧរតិរហ្ត ,,,
14,服装,ふくそう,,សរម្លៀករំពាក់,,,
15,安全装置,あんぜんそうち,,ឧរករណ៍ស វតិថភាព,,,
だ い       か       き     そ,,,,,,,
"第2課基礎30
មេម ៀនទី ២ េូលដ្ឋនា     ទី ៣០",,,,,,,
No.,វាក្យសព្ទ, មបៀបអាន,,កា បក្ប្រប,ចំណា ព្នយល់,ឧទាហ ណ៍,
1,安全カバー,あんぜんかばー,,គម្របសុវត្ិថភាព,,,
2,けが,けが,,របួស,,,
3,けがをする,けがをする,,មានរបួស,,,
4,電源,でんげん,,ចរនត អគិគ សនី,,,
5,電源を切る,でんげんをきる,,បិទចរនត អគិគ សនី,,,
6,非常停止ボタン,ひじょうていしぼたん,,ប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,,,
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,,ចុចប៊ូ ត្ុងបញ្ឈប់ពពល អាសនន,,,
8,ルール,るーる,,ចាប់,,,
9,ルールを守る,るーるをまもる,,ពោរពចាប់,,,
10,止める,とめる,,បញ្ឈប់,,,
11,機械を止める,きかいをとめる,,បញ្ឈប់មា៉ា សុីន,,,
12,やって,やって,,ស៊ូរព្វើ,,,
13,止めて,とめて,,ស៊ូរបញ្ឈប់,,,
14,取って,とって,,ស៊ូរយក,,,
15,だめ（な）,だめ（な）,,(ដែល)រិនបាន,,,
だい    か   ざいりゅうしかく   ろうどうけいやく,,,,,,,
