"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 6,Unnamed: 9,Unnamed: 15,Unnamed: 23,Unnamed: 28
Bài 1 Cơ bản 30,,,,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,技能実習,ぎのうじっしゅう,Thực tập kỹ năng,,,
2,技能実習生,ぎのうじっしゅうせい,Thực tập sinh kỹ năng,,,
3,工場,こうじょう,Nhà máy,,,
4,製造,せいぞう,Chế tạo,,,
5,機械,きかい,Máy móc,,,
6,安全,あんぜん,An toàn,,,
7,危険（な）,きけん（な）,Nguy hiểm (tính từ),"Thường sẽ hay viết bằng chữ Kanji, nhưng trong nhà máy, đôi khi được viết bằng chữ Katakana là ""キケン
(Nguy hiểm)"".",,
8,危ない,あぶない,Nguy hiểm,,,
9,清掃,せいそう,Làm vệ sinh,"Làm vệ sinh để làm cho nơi làm việc trở nên sạch sẽ, đẹp, và dễ hiểu được đ ó là tình trạng đúng.",,
10,非常口,ひじょうぐち,Cửa thoát hiểm,,,
11,注意,ちゅうい,Chú ý,,,
12,火事,かじ,Hỏa hoạn,,,
13,事故,じこ,Sự cố,,,
14,服装,ふくそう,Trang phục,,,
15,安全装置,あんぜんそうち,Thiết bị an toàn,,,
だ い       か       き     そ,,,,,,
"第2課基礎30
Bài 2 Cơ bản 30",,,,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,安全カバー,あんぜんかばー,Nắp đậy an toàn,,,
2,けが,けが,Vết thương,,,
3,けがをする,けがをする,Bị thương,,,
4,電源,でんげん,Nguồn điện,,,
5,電源を切る,でんげんをきる,Tắt nguồn điện,,,
6,非常停止ボタン,ひじょうていしぼたん,Nút dừng khẩn cấp,,,
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,Nhấn nút dừng khẩn cấp,,,
8,ルール,るーる,Quy tắc,,,
9,ルールを守る,るーるをまもる,Tuân thủ quy tắc,,,
10,止める,とめる,Cho dừng,,,
11,機械を止める,きかいをとめる,Cho dừng máy,,,
12,やって,やって,Hãy làm,,,
13,止めて,とめて,Hãy dừng lại,,,
14,取って,とって,Hãy lấy,,,
15,だめ（な）,だめ（な）,"(tính từ) Không được, kh ông tốt",,,
だい    か   ざいりゅうしかく   ろうどうけいやく,,,,,,
"第3課在留資格、労働契約1
Bài 3 Tư cách lưu trú, Hợp đồng lao động 1",,,,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,監理団体,かんりだんたい,Đoàn thể giám sát (nghiệp đoàn),Là tổ chức phi lợi nhuận thực hiện quản lý và hướng dẫn về việc học tập kỹ năng và các hoạt động của thực tập sinh kỹ năng.,,
2,技術移転,ぎじゅついてん,Chuyển giao kỹ thuật,,,
3,技能実習期間,ぎのうじっしゅうきかん,Thời gian thực tập kỹ năng,,,
4,職種,しょくしゅ,Ngành nghề,,,
5,在留資格,ざいりゅうしかく,Tư cách lưu trú,,,
6,パスポート,ぱすぽーと,Hộ chiếu,,,
7,在留カード,ざいりゅうかーど,Thẻ lưu trú,,,
8,入管,にゅうかん,Cục quản lý nhập cảnh,"に ゅ う こ く か ん り ち ょ う
Chữ viết tắt của ""入国管理庁 (Cục
に ゅ う こ く か ん り き ょ く
quản lý nhập cảnh)"",  ""入国管理局
(Cục quản lý nhập cảnh)"".",,
9,在留期間,ざいりゅうきかん,Thời hạn lưu trú,,,
10,雇用契約,こようけいやく,Hợp đồng tuyển dụng,,,
11,給与明細,きゅうよめいさい,Bảng chi tiết lương,,,
12,給料,きゅうりょう,Lương,,,
13,残業手当,ざんぎょうてあて,Trợ cấp làm tăng ca,,,
14,労働時間,ろうどうじかん,Thời gian làm việc,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,,,
1,控除（する）,こうじょ（する）,(động từ) Khấu trừ,,,
2,ボーナス,ぼーなす,Tiền thưởng,,,
3,有休,ゆうきゅう,Nghỉ phép có lương,,,
4,代休,だいきゅう,Nghỉ bù,,,
5,労働基準法,ろうどうきじゅんほう,Luật lao động cơ bản,,,
6,労働条件,ろうどうじょうけん,Điều kiện lao động,,,
7,税金,ぜいきん,Tiền thuế,,,
8,所得税,しょとくぜい,Thuế thu nhập,,,
9,住民税,じゅうみんぜい,Thuế cư dân,,,
10,厚生年金,こうせいねんきん,Lương hưu,,,
11,雇用保険,こようほけん,Bảo hiểm thất nghiệp,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,,,
12,健康保険,けんこうほけん,Bảo hiểm y tế,,,
13,社会保険,しゃかいほけん,Bảo hiểm xã hội,,,
14,労災,ろうさい,Tai nạn lao động,,,
15,労災保険,ろうさいほけん,Bảo hiểm tai nạn lao đ ộng,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,遅刻（する）,ちこく（する）,(động từ) Đi muộn,,,
2,早退（する）,そうたい（する）,(động từ) Về sớm,,,
3,休憩（する）,きゅうけい（する）,(động từ) Nghỉ giải lao,,,
4,残業（する）,ざんぎょう（する）,(động từ) Làm thêm giờ,,,
5,定時,ていじ,Giờ quy định,"Giờ đã được quy định. Tại nơi làm
việc, chủ yếu chỉ thời gian đã được quy định ví dụ giờ đến công ty, giờ về.","き ょ う       て い じ      かえ
今日は定時に帰る",Hôm nay tôi sẽ về đúng giờ.
6,規則,きそく,Quy tắc,,,
7,休日,きゅうじつ,Ngày nghỉ,,,
8,始業時間,しぎょうじかん,Giờ bắt đầu làm việc,,,
9,終業時間,しゅうぎょうじかん,Giờ kết thúc làm việc,,,
10,指導員,しどういん,Người hướng dẫn,,,
11,生活指導員,せいかつしどういん,Người hướng dẫn đời sống,,,
12,担当者,たんとうしゃ,Người phụ trách,,,
13,スイッチ入れるな,すいっちいれるな,Không được bật công tắc,,,
14,スイッチ切るな,すいっちきるな,Không được tắt công tắc,,,
15,使用禁止,しようきんし,Cấm sử dụng,,,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,5S,ごえす,5S,"Là 5 từ Seiri, Seiton, Seisou, Seiketsu, Shitsuke. S là chữ viết tắt của các chữ cái đầu. Là từ được sử dụng để duy trì và cải thiện nơi     làm việc.",,
2,整理,せいり,Seiri (sàng lọc),Là việc xác định rõ những gì cần thiết và những gì không cần thiết rồi chia sẻ thông tin đó với nhau để nâng cao chất lượng và năng suất.,,
3,整頓,せいとん,Seiton (sắp xếp),"Là việc quy định vị trí để và cách để cá c vật dụng cần thiết, hiển thị chúng một cách rõ ràng nhằm giảm sự không hợp lý và sự lãng phí.",,
4,清掃,せいそう,Seisou (sạch sẽ),"Làm vệ sinh để làm cho nơi làm việc trở nên sạch sẽ, đẹp, và dễ hiểu được đ ó là tình trạng đúng.",,
5,清潔,せいけつ,Seiketsu (săn sóc),"Là việc thực hiện triệt để Seiri, Seiton,
Seisou để duy trì tình trạng bình thường, không bị bẩn.",,
6,しつけ,しつけ,Shitsuke (sẵn sàng),"Là việc tạo thành thói quen để thực hiện được những việc đã được quy đ
ịnh đúng như nó đã được quy định, và tạo thành văn hóa hợp tác lẫn nhau.",,
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
7,掃除（する）,そうじ（する）,(động từ) Làm vệ sinh,,,
8,片づける,かたづける,Dọn dẹp,,,
9,捨てる,すてる,Vứt bỏ,,,
10,汚い,きたない,Bẩn,,,
11,汚れる,よごれる,Bị bẩn,,,
12,分別（する）,ぶんべつ（する）,(động từ) Phân loại,,,
13,燃えないごみ,もえないごみ,Rác không cháy được,,,
14,燃えるごみ,もえるごみ,Rác cháy được,,,
15,挟まれる,はさまれる,Bị kẹp vào,,"き か い       て       はさ
機械に手が挟まれた",Bị kẹp tay vào máy.
16,巻き込まれる,まきこまれる,Bị cuốn vào,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる","1)  Bị cuốn tay vào máy.
2) Găng tay bị cuốn vào trong máy phay."
17,やけど（する）,やけど（する）,(động từ) Bị bỏng,,,
18,落ちる,おちる,Bị rơi,,"かいだん           お
階段から落ちる",Bị rơi xuống cầu thang.
19,すべる,すべる,Trơn,,"ゆか
床がすべる",Sàn nhà trơn.
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
20,転ぶ,ころぶ,Bị ngã,,"こうじょう                         ころ
工場ですべって転んだ",Bị ngã trong nhà máy do trơn trượt.
21,濡れる,ぬれる,Bị ướt,,,
22,衛生,えいせい,Vệ sinh,,,
23,避難（する）,ひなん（する）,"(động từ) Sơ tán, lánh nạn",,,
24,救急車,きゅうきゅうしゃ,Xe cứu thương,,,
25,災害,さいがい,Thảm họa,,,
26,地震,じしん,Động đất,,"じ し ん        お
地震が起きる",Xảy ra động đất.
27,もぐる,もぐる,Chui xuống,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",Có động đất! Hãy nấp dưới gầm bàn!
Số,Từ vựng,Cách đọc (Hiragana),Dịch,Chú thích,Ví dụ câu,
1,火気厳禁,かきげんきん,Cấm lửa,,,
2,開放厳禁,かいほうげんきん,Cấm mở,,,
3,標識,ひょうしき,Bảng hiệu,,,
4,気をつける,きをつける,"Chú ý, cẩn thận",,,
5,持ち込む,もちこむ,Mang vào,,"こうじょう     けいたいでんわ       も        こ
工場に携帯電話を持ち込んではいけ
ない",Không được mang điện thoại di động v ào trong nhà máy.
6,防ぐ,ふせぐ,Phòng ngừa,,"あんぜんかくにん           じ   こ       ふせ
安全確認して事故を防ぐ",Kiểm tra an toàn để phòng ngừa tai nạn.
7,火,ひ,Lửa,,,
8,煙,けむり,Khói,,,
9,消火,しょうか,Chữa cháy,,,
10,消火器,しょうかき,Bình chữa cháy,,,
11,非常ベル,ひじょうべる,Chuông khẩn cấp,,,
12,火災報知機,かさいほうちき,Thiết bị báo cháy,,,
13,逃げる,にげる,Trốn chạy,,,
14,現場,げんば,Hiện trường,,,
15,作業,さぎょう,Thao tác,,,
16,ミーティング,みーてぃんぐ,Cuộc họp,"Họp, họp đầu giờ sáng, họp cuối giờ ,
v.v cũng có trường hợp được gọi là ""
ミーティング (Meeting)"".",,
