"だ い       か       き     そ
第1課基礎30",Unnamed: 1,Unnamed: 2,Unnamed: 4,Unnamed: 21,Unnamed: 31
အခန ်း ၁ အခ ခခံ ၃၀,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,技能実習,ぎのうじっしゅう,အလုပ်သင်တန််း,,
2,技能実習生,ぎのうじっしゅうせい,အလုပ်သင်,,
3,工場,こうじょう,စက်ရု ,,
4,製造,せいぞう,ထုတ်လုပ်မှု,,
5,機械,きかい,စက်,,
6,安全,あんぜん,လု ခ  ြုံမှု,,
7,危険（な）,きけん（な）,အန္တရာယ်(ရှိ သသာ),,
8,危ない,あぶない,အန္တရာယ်ရှိ သည်,,
9,清掃,せいそう,သန်ဲ့ရ င််းသရ်းလုပ်ခ င််း (Sei-sou),,
10,非常口,ひじょうぐち,အသရ်းသပေါ်ထွက်သပါက်,,
11,注意,ちゅうい,သတှိ,,
12,火事,かじ,မ ်းသလာင်မှု,,
13,事故,じこ,မသတာ်တဆမှု,,
14,服装,ふくそう,အဝတ်အစာ်း,,
15,安全装置,あんぜんそうち,အန္တရာယ်ကင််းရ င််းသရ်းကှိရှိ ယာ,,
"だ い       か       き     そ
第2課基礎30",,,,,
အခန ်း ၂ အခ ခခံ ၃၀,,,,,
No.,ခ ေါဟာရ,စာဖတ နည ်း,ဘာသာ ြန ဆို  ခင ်း,ဥြမာ,
1,安全カバー,あんぜんかばー,လု ခ  ြုံသရ်းကာဗာအဖု ်း,,
2,けが,けが,ဒဏ်ရာ,,
3,けがをする,けがをする,ဒဏ်ရာရသည်,,
4,電源,でんげん,လျှပ်စစ်ပါဝါ,,
5,電源を切る,でんげんをきる,လျှပ်စစ်ပါဝါပှိတ်သည်,,
6,非常停止ボタン,ひじょうていしぼたん,အသရ်းသပေါ်စက်ရပ်တန်ဲ့ လုတ်,,
