"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 8,Unnamed: 10,Unnamed: 11,Unnamed: 17,Unnamed: 26,Unnamed: 33
第1课 基础30,,,,,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,技能実習,ぎのうじっしゅう,,技能实习,,,
2,技能実習生,ぎのうじっしゅうせい,,技能实习生,,,
3,工場,こうじょう,,工厂,,,
4,製造,せいぞう,,制造,,,
5,機械,きかい,,机械,,,
6,安全,あんぜん,,安全,,,
7,危険（な）,きけん（な）,,危险（的）,一般用汉字表示，但在工厂里有时会用片假名“キケン”表示。,,
8,危ない,あぶない,,危险,,,
9,清掃,せいそう,,清扫,打扫以保持工作场所的干净整洁。,,
10,非常口,ひじょうぐち,,安全出口,,,
11,注意,ちゅうい,,注意,,,
12,火事,かじ,,火灾,,,
13,事故,じこ,,事故,,,
14,服装,ふくそう,,服装,,,
15,安全装置,あんぜんそうち,,安全装置,,,
だ い       か       き     そ,,,,,,,
"第2課基礎30
第2课 基础30",,,,,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,安全カバー,あんぜんかばー,,安全罩,,,
2,けが,けが,,创伤,,,
3,けがをする,けがをする,,受伤,,,
4,電源,でんげん,,电源,,,
5,電源を切る,でんげんをきる,,关闭电源,,,
6,非常停止ボタン,ひじょうていしぼたん,,紧急停止按钮,,,
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,,按下紧急停止按钮,,,
8,ルール,るーる,,规则,,,
9,ルールを守る,るーるをまもる,,遵守规则,,,
10,止める,とめる,,停止,,,
11,機械を止める,きかいをとめる,,关掉机器,,,
12,やって,やって,,做,,,
13,止めて,とめて,,停止,,,
14,取って,とって,,拿,,,
15,だめ（な）,だめ（な）,,不可以（的）,,,
だい    か   ざいりゅうしかく   ろうどうけいやく,,,,,,,
"第3課在留資格、労働契約1
第3课 在留资格、劳动合同1",,,,,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,監理団体,かんりだんたい,,监理团体,管理和指导技能实习生掌握技能、举办活动的非营利团体。,,
2,技術移転,ぎじゅついてん,,技术转移,,,
3,技能実習期間,ぎのうじっしゅうきかん,,技能实习期间,,,
4,職種,しょくしゅ,,工种,,,
5,在留資格,ざいりゅうしかく,,在留资格,,,
6,パスポート,ぱすぽーと,,护照,,,
7,在留カード,ざいりゅうかーど,,在留卡,,,
8,入管,にゅうかん,,入管,"に ゅ う こ く か ん り ち ょ う                        にゅうこくかんりきょく
“入国管理庁”、“入国管理
局”的简称",,
9,在留期間,ざいりゅうきかん,,在留期间,,,
10,雇用契約,こようけいやく,,劳动合同,,,
11,給与明細,きゅうよめいさい,,工资明细,,,
12,給料,きゅうりょう,,工资,,,
13,残業手当,ざんぎょうてあて,,加班费,,,
14,労働時間,ろうどうじかん,,劳动时间,,,
No.,词汇,读音 （假名）,,中文词意,,,
1,控除（する）,こうじょ（する）,,扣除,,,
2,ボーナス,ぼーなす,,奖金,,,
3,有休,ゆうきゅう,,带薪休假,,,
4,代休,だいきゅう,,补休,,,
5,労働基準法,ろうどうきじゅんほう,,劳动基准法,,,
6,労働条件,ろうどうじょうけん,,劳动条件,,,
7,税金,ぜいきん,,税金,,,
8,所得税,しょとくぜい,,所得税,,,
9,住民税,じゅうみんぜい,,住民税,,,
10,厚生年金,こうせいねんきん,,厚生年金,,,
11,雇用保険,こようほけん,,失业保险,,,
12,健康保険,けんこうほけん,,健康保险,,,
No.,词汇,读音 （假名）,,中文词意,,,
13,社会保険,しゃかいほけん,,社会保险,,,
14,労災,ろうさい,,工伤,,,
15,労災保険,ろうさいほけん,,工伤保险,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,遅刻（する）,ちこく（する）,,迟到,,,
2,早退（する）,そうたい（する）,,早退,,,
3,休憩（する）,きゅうけい（する）,,休息,,,
4,残業（する）,ざんぎょう（する）,,加班,,,
5,定時,ていじ,,准时,规定的时间。在工作场所主要是指规定的上下班时间。,"き ょ う       て い じ      かえ
今日は定時に帰る",今天准时回家。
6,規則,きそく,,规则,,,
7,休日,きゅうじつ,,休息日,,,
8,始業時間,しぎょうじかん,,上班时间,,,
9,終業時間,しゅうぎょうじかん,,下班时间,,,
10,指導員,しどういん,,指导员,,,
11,生活指導員,せいかつしどういん,,生活指导员,,,
12,担当者,たんとうしゃ,,负责人,,,
13,スイッチ入れるな,すいっちいれるな,,不许打开开关,,,
14,スイッチ切るな,すいっちきるな,,不许关闭开关,,,
15,使用禁止,しようきんし,,禁止使用,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,5S,ごえす,,5S,整理、整顿、清扫、清洁、素养这5个词的第一个字母都是“S”。是用于为了维持改善工作场所环境的词语。,,
2,整理,せいり,,整理,通过明确区分要与不要的物品以及信息共有，提高质量和生产效率。,,
3,整頓,せいとん,,整顿,必需品按规定位置、规定方法摆放，明确标示，减少不合理和浪费。,,
4,清掃,せいそう,,清扫,打扫以保持工作场所的干净整洁。,,
5,清潔,せいけつ,,清洁,彻底实行整理、整顿、清扫，并维持干净的正常状态。,,
6,しつけ,しつけ,,素养,养成人人按章操作、依规行事的良好习惯，打造互相合作的风气。,,
7,掃除（する）,そうじ（する）,,扫除,,,
No.,词汇,读音 （假名）,,中文词意,注解,例句,
8,片づける,かたづける,,收拾,,,
9,捨てる,すてる,,扔掉,,,
10,汚い,きたない,,脏,,,
11,汚れる,よごれる,,弄脏,,,
12,分別（する）,ぶんべつ（する）,,分类,,,
13,燃えないごみ,もえないごみ,,不可燃垃圾,,,
14,燃えるごみ,もえるごみ,,可燃垃圾,,,
15,挟まれる,はさまれる,,被夹住,,"き か い       て       はさ
機械に手が挟まれた",手被机器夹住了。
16,巻き込まれる,まきこまれる,,被卷进,,"き か い       て         ま        こ
1)機械に手が巻き込まれる
てぶくろ                         ばん      ま        こ
2)手袋がフライス盤に巻き込まれる","1)  手被卷进机器。
2)   手套被卷进铣床。"
17,やけど（する）,やけど（する）,,灼伤,,,
18,落ちる,おちる,,摔下来,,"かいだん           お
階段から落ちる",从楼梯上摔下来。
19,すべる,すべる,,滑,,"ゆか
床がすべる",地滑。
No.,词汇,读音 （假名）,,中文词意,注解,例句,
20,転ぶ,ころぶ,,跌倒,,"こうじょう                         ころ
工場ですべって転んだ",在工厂滑倒了。
21,濡れる,ぬれる,,弄湿,,,
22,衛生,えいせい,,卫生,,,
23,避難（する）,ひなん（する）,,逃生、避难疏散,,,
24,救急車,きゅうきゅうしゃ,,救护车,,,
25,災害,さいがい,,灾害,,,
26,地震,じしん,,地震,,"じ し ん        お
地震が起きる",地震了。
27,もぐる,もぐる,,钻到,,"じ し ん         つくえ   した
地震だ！机の下にもぐれ！",地震了！快钻到桌子下面！
No.,词汇,读音 （假名）,,中文词意,注解,例句,
1,火気厳禁,かきげんきん,,严禁烟火,,,
2,開放厳禁,かいほうげんきん,,严禁开放,,,
3,標識,ひょうしき,,标识,,,
