"だ い       か       き     そ
第1課基礎30",Unnamed: 2,Unnamed: 8,Unnamed: 10,Unnamed: 11,Unnamed: 17,Unnamed: 28,Unnamed: 35
Lesson 1: Basics 30,,,,,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,技能実習,ぎのうじっしゅう,,Technical intern training,,,
2,技能実習生,ぎのうじっしゅうせい,,Technical intern trainee,,,
3,工場,こうじょう,,Factory; plant,,,
4,製造,せいぞう,,Manufacturing,,,
5,機械,きかい,,Machine; machinery,,,
6,安全,あんぜん,,Safety,,,
7,危険（な）,きけん（な）,,Danger (dangerous),"Normally written in Kanji Chinese characters but may be written in Katakana ""キケン"" in some factories.",,
8,危ない,あぶない,,Dangerous,,,
9,清掃,せいそう,,Seisou (Shine),To clean the workplace to make the right workplace condition easily identifiable.,,
10,非常口,ひじょうぐち,,Emergency exit,,,
11,注意,ちゅうい,,Attention,,,
12,火事,かじ,,Fire,,,
13,事故,じこ,,Accident,,,
14,服装,ふくそう,,Clothes,,,
15,安全装置,あんぜんそうち,,Safety equipment,,,
だ い       か       き     そ,,,,,,,
第2課基礎30 Lesson 2: Basics 30,,,,,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,安全カバー,あんぜんかばー,,Safety cover; protection cover,,,
2,けが,けが,,Injury,,,
3,けがをする,けがをする,,To get injured,,,
4,電源,でんげん,,Power supply,,,
5,電源を切る,でんげんをきる,,To turn off power,,,
6,非常停止ボタン,ひじょうていしぼたん,,Emergency stop button,,,
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,,To push an emergency stop button,,,
8,ルール,るーる,,Rule,,,
9,ルールを守る,るーるをまもる,,To comply with rules,,,
10,止める,とめる,,To stop,,,
11,機械を止める,きかいをとめる,,To stop a machine,,,
12,やって,やって,,Do (something).,,,
13,止めて,とめて,,Stop (something).,,,
14,取って,とって,,Take; pick up; pass (something).,,,
15,だめ（な）,だめ（な）,,No. ; No good (bad; wrong),,,
だい    か   ざいりゅうしかく   ろうどうけいやく,,,,,,,
"第3課在留資格、労働契約1
Lesson 3: Status of residence and Labor contract 1",,,,,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,監理団体,かんりだんたい,,Supervising organization,Non-profit organizations that manage and supervise skill acquisitions and other activities of technical intern trainees.,,
2,技術移転,ぎじゅついてん,,Technology transfer,,,
3,技能実習期間,ぎのうじっしゅうきかん,,Technical intern training period,,,
4,職種,しょくしゅ,,Job type,,,
5,在留資格,ざいりゅうしかく,,Status of residence,,,
6,パスポート,ぱすぽーと,,Passport,,,
7,在留カード,ざいりゅうかーど,,Residence card,,,
8,入管,にゅうかん,,Immigration,"にゅうこくかんりちょう
Abbreviation for ""入国管理庁
(Immigration Service Agency)"" and ""
にゅうこくかんりきょく
入国管理局(Immigration Bureau).""",,
9,在留期間,ざいりゅうきかん,,Period of stay,,,
10,雇用契約,こようけいやく,,Employment contract,,,
11,給与明細,きゅうよめいさい,,Pay slip,,,
12,給料,きゅうりょう,,Salary,,,
13,残業手当,ざんぎょうてあて,,Overtime allowance,,,
14,労働時間,ろうどうじかん,,Working hours,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,,,
1,控除（する）,こうじょ（する）,,Deduction (to deduct),,,
2,ボーナス,ぼーなす,,Bonus,,,
3,有休,ゆうきゅう,,Paid holiday,,,
4,代休,だいきゅう,,Compensatory day off,,,
5,労働基準法,ろうどうきじゅんほう,,Labor Standards Act,,,
6,労働条件,ろうどうじょうけん,,Working conditions,,,
7,税金,ぜいきん,,Tax,,,
8,所得税,しょとくぜい,,Income tax,,,
9,住民税,じゅうみんぜい,,Resident tax,,,
10,厚生年金,こうせいねんきん,,Welfare pension,,,
11,雇用保険,こようほけん,,Employment insurance,,,
12,健康保険,けんこうほけん,,Health insurance,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,,,
13,社会保険,しゃかいほけん,,Social insurance,,,
14,労災,ろうさい,,Industrial accident,,,
15,労災保険,ろうさいほけん,,Industrial accident compensation insurance,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
1,遅刻（する）,ちこく（する）,,Late arrival (be late),,,
2,早退（する）,そうたい（する）,,Leaving early (to leave early),,,
3,休憩（する）,きゅうけい（する）,,Break (to take a break),,,
4,残業（する）,ざんぎょう（する）,,Overtime work (to work overtime),,,
5,定時,ていじ,,Regular hours,"Stipulated hours. In working places, mainly indicate the regular times to come to and leave the working place.","き ょ う       て い じ      かえ
今日は定時に帰る",I will leave the office at the regular leaving time today.
6,規則,きそく,,Regulation; rule,,,
7,休日,きゅうじつ,,Non-working day,,,
8,始業時間,しぎょうじかん,,Starting time of work,,,
9,終業時間,しゅうぎょうじかん,,Ending time of work,,,
10,指導員,しどういん,,Instructor,,,
11,生活指導員,せいかつしどういん,,Life advisor,,,
12,担当者,たんとうしゃ,,Person in charge,,,
13,スイッチ入れるな,すいっちいれるな,,Do not switch on.,,,
14,スイッチ切るな,すいっちきるな,,Do not switch off.,,,
15,使用禁止,しようきんし,,Do not use.,,,
No.,Word/Phrase,How to read (Hiragana),,Translation,Note,Example,
