Annotasyon,Anotasi,Cara membaca (Hiragana),Contoh,Foto,Kosakata,No.,Page,Tanda,Terjemahan
,,ぎのうじっしゅう,,,技能実習,1,1,,Pelatihan Kerja Teknis
,"Pengurangan sejumlah uang dari total
uang yang ditentukan sebelumnya.
Biasanya digunakaan pada saat
pemotongan pajak.",こうじょ（する）,"かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",,控除（する）,1,4,,"Pengurangan
(Mengurangi)"
,"Lembaga non-profit yang
mengawasi atau mengarahkan
pemagang kerja teknis terkait
akuisisi keterampilan dan
kegiatannya.",かんりだんたい,,,監理団体,1,3,,Lembaga pengawas
,,いち,,,位置,1,44,,Posisi
,,かきげんきん,,,火気厳禁,1,10,,"Dilarang menggunakan
api"
,,あんぜんかばー,,,安全カバー,1,2,,Tutup pengaman
,,とりだす,,,取り出す,1,43,,Mengeluarkan
,"Merupakan akronim dari 5 kata
yang dimulai dari huruf S: yang
dalam bahasa Jepang dikenal
dengan Seiri, Seiton, Seiso,
Seiketsu, Shitsuke. Kata ini
digunakan untuk meningkatkan
produktivitas kerja.",ごえす,,,5S,1,7,,"5S (Di Indonesia 5R
:Ringkas, Rapi, Resik,
Rawat, Rajin)"
,,きんし,,,禁止,1,13,,Pelarangan
,"Tulangan baja secara umum
digunakan di Jepang.",いけいぼうこう,"い け いぼうこう もち
異形棒鋼を用いる",,異形棒鋼,1,31,,Besi beton berulir
,,ゆあつしりんだ,,,油圧シリンダ,1,40,,Silinder hidrolik
,,"けーわいかつどう（きけん
よちかつどう）",,,KY活動（危険予知活動）,1,14,,Kegiatan latihan prediksi bahaya
,,ぎのう,,,技能,1,12,,Keahlian
,,"まるせぱれーたー
（まるせぱ）","まる かたわく こ て い
丸セパレーターで型枠を固定する",,"丸セパレーター
（丸セパ）",1,28,,Separator bulat
,,さんれんくらんぷ,"さんれん たんかん けつごう
三連クランプで単管を結合する",,三連クランプ,1,19,,Klam tripel.
,,たちいりきんし,,,立入禁止,1,17,,Dilarang masuk
,,せっしょく（する）,"じゅうき せっしょく
重機に接触してけがをする",,接触（する）,1,42,,Tabrak (Menabrak)
,"Adalah penutup yang terpasang di
gergaji listrik. Alat yang digunakan
untuk mencegah kemungkinan
terbangnya gergaji mengenai
tubuh akibat reaksi dan sebagainya
saat penggunaan.",あんぜんかばー,"あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",,安全カバー,1,25,,Tutup pengaman
