(cid:535)របកែ(cid:688)ប,(cid:700)ក(cid:679)សព(cid:635),No.,Page,កា បកដរប,កា បកប្រប,កា បក្ប្គ្ប,កា បក្ប្រប,កា បក្ប្្ប,កា រក្ប្ប្រ,ចាំណា ពនយល់,ចំ(cid:622)រពន(cid:679)ល់,ចំណា ពនយល់,ចំណា ព្នយល់,ច្ំណា ពនយល់,ច្ំណា ព្នយល់,បូ ថត,មបៀបអាន,មរៀរអាន,រូបថត,រេប(cid:827)ប(cid:738)ន,វាកយសពទ,វាកយសព្ទ,វាក្យសពទ,វាក្យសព្ទ,វាក្យសព្ា,សញ្ញា,ឧ(cid:637)ហរណ៍,ឧទាហ ណ៍,ឧទាហ ណ្៍,ឧទាហ្ ណ៍
,,1,1,,,,ការហ្វឹកហ្វឺនជំនាញ,,,,,,,,,,ぎのうじっしゅう,,,,,,,技能実習,,,,,,
,,1,2,,,,គម្របសុវត្ថិភាព,,,,,,,,,,あんぜんかばー,,,,,,,安全カバー,,,,,,
,,1,43,,យកចេញ,,,,,,,,,,,,とりだす,,,,,取り出す,,,,,,,,
,,1,10,,,,,,ហាមដាច់ខាតប្រើប្លើង,,,,,,,,,かきげんきん,,,,,火気厳禁,,,,,,,
,,1,44,,,,ទីតាំង,,,,,,,,,,いち,,,,,,,位置,,,,,,
,,1,12,,ជំនាញ,,,,,,,,,,,,ぎのう,,,,,技能,,,,,,,,
,,1,42,,(ការ)ប ៉ះទង្គិច,,,,,,,,,,,,せっしょく（する）,,,,,接触（する）,,,,,,"じゅうき せっしょく
重機に接触してけがをする",,
,,1,31,"ឧបករណ៏ពង្រឹរបបតុរ
របូ រារពិបេេ",,,,,,,,,"គឺជាេរសេដែកធម្មតាដែលបគបង្បើ
បៅង្បបេេជបន ុ",,,,いけいぼうこう,,,,,異形棒鋼,,,,,,"い け いこうぼう もち
異形鋼棒を用いる",,
,,1,25,,,,គម្របសុវត្ថិភាព,,,,,,"ជាពិសសសគឺគម្របជាប់នឹងម៉ា សុ៊ីន
រណារ។ចូរសម្បើម្ាស់វាស ើរប៊ីបង្កា សៅ
សពលអារកាត្់ ផ្លែរណារអាចឡងម្ត្
ឡប់រកម្ត្ូវខ្ល នួ ជាស ើរ។",,,,あんぜんかばー,,,,,,,安全カバー,,,,"あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",,
,,1,28,,,,"ឧបករណ៏បំ បបករបូ រាងមូល
(ម៉ា រ ៉ុសេប៉ា )",,,,,,,,,,"まるせぱれーたー
（まるせぱ）",,,,,,,"丸セパレーター
（丸セパ）",,,,"まる かたわく こ て い
丸セパレーターで型枠を固定する",,
