No.,Page,ความคดิ เห็น,ความคิดเห็น,ควำมคดิ เห็น,คา แปล,ตว ัอย่าง,ตวั อยา่ ง,ตวัอย่าง,รปู ภาพ,รูปภาพ,วธิ ก ีารอา่ น,วธิ ก ีำรอำ่ น,วิธกีารอ่าน,ศพ ัท์,ศพั ท์,ศพัท์,หมายเหตุ,อา่ นวา่,เครอื่ งหมาย,เหตผุ ล,เหตุผล
1,1,,,,การฝึกงานดา้ นเทคนคิ,,,,,,,,,,技能実習,,,ぎのうじっしゅう,,,
1,2,,,,,,,,,,あんぜんかばー,,,安全カバー,,,,,,ฝาครอบป้องกนั,
1,44,,,,,,,,,,,とりだす,,取り出す,,,,,,เอาออก,
1,10,,,,,,,,,,,かきげんきん,,火気厳禁,,,,,,หา้ มใชไ้ ฟ,
1,45,,,,,,,,,,いち,,,位置,,,,,,ต ำแหน่ง,
1,12,,,,,,,,,,ぎのう,,,技能,,,,,,ทกั ษะทางเทคนิค,
1,43,,,,,"じゅうき せっしょく
重機に接触してけがをする",,,,,せっしょく（する）,,,接触（する）,,,,,,การชน (ชน),
1,32,เป็นเหล็กเสรมิ ทใี่ ชท้ ั่วไปในญปี่ ่นุ,,,,"い け いぼうこう もち
異形棒鋼を用いる",,,,,いけいぼうこう,,,異形棒鋼,,,,,,เหล็กขอ้ ออ้ ย,
1,26,"สว่ นใหญห่ มายถงึ ฝาครอบทตี่ ดิ อยกู่ ับ
เลอื่ ยวงเดอื นไฟฟ้า เพอื่ ใชป้ ้องกัน
เลอื่ ยวงเดอื นกระเด็นมาโดนร่างกาย
ในกรณีเกดิ การดดี ตัวเวลาตัด",,,,"あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",,,,,あんぜんかばー,,,安全カバー,,,,,,ฝาครอบป้องกัน,
1,29,,,,,"まる かたわく こ て い
丸セパレーターで型枠を固定する",,,,,"まるせぱれーたー
（まるせぱ）",,,"丸セパレーター
（丸セパ）",,,,,,"อปุ กรณ์ยดึ แบบระบบ
ฟอรม์ ไท (ฟอรม์ ไท)",
1,35,,,,,"きん く み た
はかま筋を組立てる",,,,,はかまきん,,,はかま筋,,,,,,"เหล็กเสรมิ ครอบเหล็ก
เสรมิ ในฐานราก",
1,15,,,,,,,,,,"けーわいかつどう（きけん
よちかつどう）",,,KY活動（危険予知活動）,,,,,,"กจิ กรรมKY (กจิ กรรมฝึก
การคาดการณ์อนั ตราย
ลว่ งหนา้ )",
1,13,,,,,,,,,,きんし,,,禁止,,,,,,หา้ ม,
1,41,,,,,,,,,,ゆあつしりんだ,,,油圧シリンダ,,,,,,กระบอกสบู ไฮดรอลกิ,
