Annotasyon,Halimbawa,Larawan,No.,Paano Magbasa,Page,Pagsasalin,Palatandaan,Talasalitaan
,,,1,ぎのうじっしゅう,1,Technical Intern Training,,技能実習
"Ang pagbabawas ng fixed na halaga mula
sa orihinal na halaga.
Pangunahing ginagamit ito kapag
naglalabas ng halaga ng buwis.","かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",,1,こうじょ（する）,4,"Bawas / Exemption
(Babawasan)",,控除（する）
"Non-profit na organisasyon kung
saan namamahala at nagtuturo
sa mga Technical Intern Trainee
upang magkamit ng kakayahan.",,,1,かんりだんたい,3,"Namamahalang
organisasyon",,監理団体
,,,1,いち,44,posisyon,,位置
,,,1,かきげんきん,10,"Mahigpit na
ipinagbabawal ang",,火気厳禁
,,,1,あんぜんかばー,2,"Safety cover/Takip pang-
kaligtasan",,安全カバー
,,,1,とりだす,43,ilabas / take out,,取り出す
"Ang S ay ang unang letra ng bawat
salita ng mga sumusunod: Suriin,
Sinupin, Simutin, Siguruhin ang
kalinisan, Sariling Kusa. Ang limang
salitang ito ay ginagamit upang
mapanatili at mapabuti ang lugar ng
trabaho.",,,1,ごえす,7,5S,,5S
,,,1,きんし,13,bawal,,禁止
,"い け いぼうこう もち
異形棒鋼を用いる",,1,いけいぼうこう,31,deformed steel bar,,異形棒鋼
,,,1,ゆあつしりんだ,40,hydraulic cylinder,,油圧シリンダ
,,,1,"けーわいかつどう（きけん
よちかつどう）",14,"Aktibidad ng KY (Aktibidad
para Kilalanin ang
Panganib)",,KY活動（危険予知活動）
,,,1,ぎのう,12,pagsasanay,,技能
,"まる かたわく こ て い
丸セパレーターで型枠を固定する",,1,"まるせぱれーたー
（まるせぱ）",28,"bilog na panghiwalay /
round separator",,"丸セパレーター
（丸セパ）"
,"さんれん たんかん けつごう
三連クランプで単管を結合する",,1,さんれんくらんぷ,19,triple clamp,,三連クランプ
,,,1,たちいりきんし,17,Bawal Pumasok,,立入禁止
,"じゅうき せっしょく
重機に接触してけがをする",,1,せっしょく（する）,42,sagi / masagi,,接触（する）
"Pangunahin itong tawag sa takip na
nakakabit sa electric circular saw.
Ginagamit ito upang iwasan ang
paglundag ng circular saw papunta sa
katawan nang dahil sa kickback atbp.
kapag pagpuputol.","あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",,1,あんぜんかばー,25,safety cover,,安全カバー
"Lubid kung saan sinasabit ang
sinturong pangkaligtasan (sinturong
may lifeline) sa lugar ng
konstrusksyon. Ilagay ito nang hindi
lumalaylay sa pagitan ng mga poste
upang maprotektahan ang mga
manggagawa sa lugar ng trabaho.","おやづな あんぜんたい
親綱に安全帯をかける",,1,おやづな,22,safety line,,親綱
"Ang mga makinang may nakakabit na
aparato sa paggawa (attachment) sa
tractor ay tinatawag na bulldozer,
tractor shovel, atbp.",,,1,とらくた,37,tractor,,トラクタ
,"きん く み た
はかま筋を組立てる",,1,はかまきん,34,hakama reinforcement,,はかま筋
,,,1,ちこく（する）,6,Huli (Mahuhuli),,遅刻（する）
,,,2,きけん,14,panganib,,危険
,,,2,ぎじゅついてん,3,Paglilipat ng kakayahan,,技術移転
,,,2,ぎのうけんていしけん,12,Trade Skills Test,,技能検定試験
,"けっそくせん てっきん しば
結束線で鉄筋を縛る",,2,けっそくせん,31,"tie wire / alambreng pang
dikitin o pagsamahin",,結束線
,,,2,ゆあつもーた,40,hydraulic motor,,油圧モータ
,,,2,ぎのうじっしゅうせい,1,Technical Intern Trainee,,技能実習生
,,,2,ぼーなす,4,Bonus,,ボーナス
"Sa pamamagitan ng paglilinaw kung
ano ang kailangan at di-kailangan, at
sa pagbabahagi ng impormasyon ay
mapapabuti ang kalidad at pagiging
produktibo sa trabaho.",,,2,せいり,7,Suriin,,整理
,,,2,かいほうげんきん,10,"Mahigpit na
ipinagbabawal ang",,開放厳禁
,,,2,けが,2,Pinsala,,けが
,,,2,きんえん,17,Bawal Manigarilyo,,禁煙
,"たてきん く み た
縦筋を組立てる",,2,たてきん,34,vertical reinforcement,,縦筋
"Makinang may nakakabit na blade sa
tractor",,,2,ぶるどーざ,37,bulldozer,,ブルドーザ
,"てん てん ば くぎ う
コンクリート天に天端釘を打つ",,2,てんばくぎ,28,levee crown nail,,天端釘
,"つか こ う ぐ もと ば し ょ もど
使った工具は元の場所に戻す",,2,もどす,43,ibalik,,戻す
,"つち こ う ん ぱ ん
ベルトコンベアで土を小運搬する",,2,"べるとこんべあ
（べるこん）",19,belt conveyor,,"ベルトコンベア
（ベルコン）"
,"たてわく もち あ し ば く み た
建枠（ビティ）を用いて足場を組立て
る",,2,たてわく（びてぃ）,22,standard scaffold (Beatty),,建枠（ビティ）
,,,2,ひょうじばん,13,karatula,,表示板
,,,2,すんぽう,44,dimensyon,,寸法
,,,2,そうたい（する）,6,"Umalis ng maaga (Aalis ng
maaga)",,早退（する）
,"あんぜんたい あ し ば と つ
安全帯を足場に取り付ける",,2,あんぜんたい,25,safety belt,,安全帯
,"か さ い ほ う ち き さ ど う
火災報知器が作動する",,2,さどう（する）,42,pag-andar /umandar,,作動（する）
"Tinatawag din itong “curing sheet”
at “scattering-proof net”, “yojo-
shiito”, “hisan-boushi-shiito”.","あ し ばわく と つ
足場枠にメッシュシートを取り付ける",,3,めっしゅしーと,22,mesh sheet,,メッシュシート
,,,3,ぎのうじっしゅうきかん,3,Panahon ng pagsasanay,,技能実習期間
"Malaking mallet. Tinatawag din
itong “Narimono,” “Oonari.” Ang
masong ginagamit sa dalawang
kamay ay tinatawag na “kakeya,”
ang mallet na ginagamit sa isang
kamay ay “kizuchi” o “konekiri.”","くい う こ
かけやで杭を打ち込む",,3,かけや,19,maso,,かけや
"Ito ay makinang may nakakabit na
bucket sa tractor. Mayroong tipong
crawler at tipong gulong",,,3,とらくたしょべる,37,tractor shovel,,トラクタショベル
,,,3,きんしじこう,13,bagay na bawal gawin,,禁止事項
,,,3,じゅけん（する）,12,Pagkuha ng pagsusulit,,受検（する）
