Biển báo,Chú thích,Cách đọc (Hiragana),Dịch,Page,Từ vựng,Ví dụ câu,Ảnh,No.
,,ぎのうじっしゅう,Thực tập kỹ năng,1,技能実習,,,1
,"Trừ đi một số tiền nhất định từ số tiền ban đ
ầu. Chủ yếu được sử dụng khi trừ tiền thuế.",こうじょ（する）,(động từ) Khấu trừ,4,控除（する）,"かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",,1
,"Là tổ chức phi lợi nhuận thực hiện
quản lý và hướng dẫn về việc học tập
kỹ năng và các hoạt động của thực
tập sinh kỹ năng.",かんりだんたい,"Đoàn thể giám sát
(nghiệp đoàn)",3,監理団体,,,1
,,いち,Vị trí,47,位置,,,1
,,かきげんきん,Cấm lửa,10,火気厳禁,,,1
,,あんぜんかばー,Nắp đậy an toàn,2,安全カバー,,,1
,,とりだす,Lấy ra,46,取り出す,,,1
,"Là 5 từ Seiri, Seiton, Seisou, Seiketsu,
Shitsuke. S là chữ viết tắt của các chữ
cái đầu. Là từ được sử dụng để duy trì
và cải thiện nơi làm việc.",ごえす,5S,7,5S,,,1
,,きんし,Cấm,13,禁止,,,1
,"Là loại cốt thép được dùng phổ biến ở
Nhật",いけいぼうこう,"Cốt thép có gờ (cốt thép
gai)",33,異形棒鋼,"い け いぼうこう もち
異形棒鋼を用いる",,1
,,ゆあつしりんだ,Xylanh thủy lực,42,油圧シリンダ,,,1
,,"けーわいかつどう（きけん
よちかつどう）","Hoạt động KY (Hoạt động
dự báo nguy hiểm)",15,KY活動（危険予知活動）,,,1
,,ぎのう,Kỹ năng,12,技能,,,1
,,"まるせぱれーたー（まるせ
ぱ）",Thiết bị phân ly,30,丸セパレーター（丸セパ）,"まる かたわく こ て い
丸セパレーターで型枠を固定する",,1
,,さんれんくらんぷ,Kẹp ba,21,三連クランプ,"さんれん たんかん けつごう
三連クランプで単管を結合する",,1
,,たちいりきんし,Cấm vào,19,立入禁止,,,1
