No.,Page,ခ ေါဟာရ,စာဖတန ည်း,ဘာသာ ြန ဆ ို ခင်း,မှတခ ျက,အမှတအ သာ်း/ဆငို ်း ဘတို,ဥြမာ
1,1,技能実習,ぎのうじっしゅう,အလပု ်သငတ် န်း်,,,
1,5,控除（する）,こうじょ（する）,န္တှု ယ် ူ(သည်),"မူလသငပွ မာဏမ
သတမ် တသ် ညသ်ဲ့ ငပွ မာဏက ှို န္တှု ယ် ခူ င်း် ။
အဓှိကအာ်းခဖင ်ဲ့ အ နွ သ် ငသွ ပ်းသဆာငတ် အ ဲ့ ါ
သ်း ု တယ်",,"かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある"
1,3,監理団体,かんりだんたい,စ မ ကပွ ်ကသ ရ်းအဖ ွွဲ့,"အလပု ်သငမ် ာ်း၏
နည်း် ပညာသငယ် ခူ င်း် န္င ်ဲ့
အခ ာ်းလပု ်သဆာငမ် ှုမ ာ်းက ှို
စ မ န ် ဲ့ ကွ က်း ကကပ်သည ်ဲ့
အက ှိြုံ်းအခမတမ် ယတူ အ ဲ့ ဖ ွွဲ့အစည်း် ။",,
1,51,位置,いち,သနရာ,,,
1,13,火気厳禁,かきげんきん,မ ်းသတခှိပြုံ,,,
1,2,安全カバー,あんぜんかばー,လခ ု ြုံ သရ်းကာဗာအဖ ု်း,,,
1,49,取り出す,とりだす,ထတု ယ် သူ ည်,,,
1,9,5S,ごえす,5S,"စနစ်တက ထာ်းရှိ ခ င်း် (Seiri)၊
စ သတမ် တထ် ာ်းရှိ ခ င်း် (Sei-ton)၊
သနရ် ဲ့ င်း် သရ်းလပု ်ခ င်း် (Sei-sou)၊
သနရ် ဲ့ င်း် သပ်ရပ်မှု (Sei-ketsu)၊
အစဉ်အလာဓသလထဲ့ ်း ု စ
(Shi-tsuke)ဟသု သာ စကာ်းလ်း ု ၅
ကု ဆှို လှို သှို ည။်
ဂ ပနစ် ကာ်းလ်း ု အသ်း သ်း
ပထမအကရခ ာမ ာ်း Sန္င စ်ဲ့ သည။်
လပု ်ငန်း် ငွ ခ်ပြုံခပငတ် ်းှို တကသ် ရ်းအတကွ ်
သ်း ု သညသ်ဲ့ ဝါဟာရ။",,
1,16,禁止,きんし,တာ်းခမစ်ခ င်း်,,,
1,36,異形棒鋼,いけいぼうこう,"ပ ုသဏ္ဍာနမ် တညူ သ ည ်ဲ့
သသ ာင်း် မ ာ်း",ဂ ပနတ် ငွ ် ပ ုမ နသ် ်း ု သလရဲ့ ှိ သသာ သသ ာင်း်,,"い け いぼうこう もち
異形棒鋼を用いる"
