言語,PDFページ番号,PDF表番号,番号,単語,翻訳,読み方（ひらがな）,備考,例文,写真,標識
インドネシア語,1.0,1.0,1.0,技能実習,Pelatihan Kerja Teknis,ぎのうじっしゅう,,,,
インドネシア語,1.0,1.0,2.0,技能実習生,Pemagang Kerja Teknis,ぎのうじっしゅうせい,,,,
インドネシア語,1.0,1.0,3.0,工場,Pabrik,こうじょう,,,,
インドネシア語,1.0,1.0,4.0,製造,Manufaktur,せいぞう,,,,
インドネシア語,1.0,1.0,5.0,機械,Mesin,きかい,,,,
インドネシア語,1.0,1.0,6.0,安全,Keselamatan,あんぜん,,,,
インドネシア語,1.0,1.0,7.0,危険（な）,Berbahaya (Bahaya),きけん（な）,"Umumnya ditulis dengan kanji,
namun terkadang ditulis dengan
katakana 「キケン」""berbahaya"".",,,
インドネシア語,1.0,1.0,8.0,危ない,Bahaya,あぶない,,,,
インドネシア語,1.0,1.0,9.0,清掃,Pembersihan,せいそう,"Membersihkan dan Membereskan
tempat kerja sehingga kita tahu
seperti apa kondisi tempat kerja
seharusnya.",,,
インドネシア語,1.0,1.0,10.0,非常口,Pintu keluar darurat,ひじょうぐち,,,,
インドネシア語,1.0,1.0,11.0,注意,Peringatan,ちゅうい,,,,
インドネシア語,1.0,1.0,12.0,火事,Kebakaran,かじ,,,,
インドネシア語,1.0,1.0,13.0,事故,Kecelakaan,じこ,,,,
インドネシア語,1.0,1.0,14.0,服装,Pakaian,ふくそう,,,,
インドネシア語,1.0,1.0,15.0,安全装置,Peralatan keselamatan,あんぜんそうち,,,,
インドネシア語,2.0,1.0,1.0,安全カバー,Tutup pengaman,あんぜんかばー,,,,
インドネシア語,2.0,1.0,2.0,けが,Luka,けが,,,,
インドネシア語,2.0,1.0,3.0,けがをする,Terluka,けがをする,,,,
インドネシア語,2.0,1.0,4.0,電源,Sumber listrik,でんげん,,,,
インドネシア語,2.0,1.0,5.0,電源を切る,Mematikan listrik,でんげんをきる,,,,
インドネシア語,2.0,1.0,6.0,非常停止ボタン,Tombol stop darurat,ひじょうていしぼたん,,,,
インドネシア語,2.0,1.0,7.0,非常停止ボタンを押す,"Menekan tombol stop
darurat","ひじょうていしぼたんを
おす",,,,
インドネシア語,2.0,1.0,8.0,ルール,Peraturan,るーる,,,,
インドネシア語,2.0,1.0,9.0,ルールを守る,Mematuhi peraturan,るーるをまもる,,,,
インドネシア語,2.0,1.0,10.0,止める,Menghentikan,とめる,,,,
インドネシア語,2.0,1.0,11.0,機械を止める,Menghentikan mesin,きかいをとめる,,,,
インドネシア語,2.0,1.0,12.0,やって,Lakukan,やって,,,,
インドネシア語,2.0,1.0,13.0,止めて,Hentikan,とめて,,,,
インドネシア語,2.0,1.0,14.0,取って,Ambil,とって,,,,
インドネシア語,2.0,1.0,15.0,だめ（な）,Tidak boleh (Jangan),だめ（な）,,,,
インドネシア語,3.0,1.0,1.0,監理団体,Lembaga pengawas,かんりだんたい,"Lembaga non-profit yang
mengawasi atau mengarahkan
pemagang kerja teknis terkait
akuisisi keterampilan dan
kegiatannya.",,,
インドネシア語,3.0,1.0,2.0,技術移転,Transfer teknologi,ぎじゅついてん,,,,
インドネシア語,3.0,1.0,3.0,技能実習期間,Periode pelatihan kerja,ぎのうじっしゅうきかん,,,,
インドネシア語,3.0,1.0,4.0,職種,Pekerjaan,しょくしゅ,,,,
インドネシア語,3.0,1.0,5.0,在留資格,Status tinggal,ざいりゅうしかく,,,,
インドネシア語,3.0,1.0,6.0,パスポート,Paspor,ぱすぽーと,,,,
インドネシア語,3.0,1.0,7.0,在留カード,Kartu izin tinggal,ざいりゅうかーど,,,,
インドネシア語,3.0,1.0,8.0,入管,Imigrasi,にゅうかん,"にゅうこくかんりちょう
Singkatan untuk 「入国管理庁」
にゅうこくかんりきょく
""Badan Imigrasi""、「入国管理局」
""Biro Imigrasi"".",,,
インドネシア語,3.0,1.0,9.0,在留期間,Periode tinggal,ざいりゅうきかん,,,,
インドネシア語,3.0,1.0,10.0,雇用契約,Kontrak kerja,こようけいやく,,,,
インドネシア語,3.0,1.0,11.0,給与明細,Slip gaji,きゅうよめいさい,,,,
インドネシア語,3.0,1.0,12.0,給料,Gaji,きゅうりょう,,,,
インドネシア語,3.0,1.0,13.0,残業手当,Tunjangan lembur,ざんぎょうてあて,,,,
インドネシア語,3.0,1.0,14.0,労働時間,Jam kerja,ろうどうじかん,,,,
インドネシア語,4.0,1.0,1.0,控除（する）,"Pengurangan
(Mengurangi)",こうじょ（する）,"Pengurangan sejumlah uang dari total
uang yang ditentukan sebelumnya.
Biasanya digunakaan pada saat
pemotongan pajak.","かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",,
インドネシア語,4.0,1.0,2.0,ボーナス,Bonus,ぼーなす,,,,
インドネシア語,4.0,1.0,3.0,有休,Cuti tahunan,ゆうきゅう,"Upah tetap dibayarkan walaupun libur.
Cuti tahunan berbayar. Cuti tahunan
ゆうきゅう
berbayar disingkat menjadi 「有休」.","らいしゅうゆうきゅう しんせいしょ だ
来週、有休をとるので申請書を出した",,
インドネシア語,4.0,1.0,4.0,代休,Libur pengganti,だいきゅう,"Libur pengganti ketika masuk kerja di
hari libur.",,,
インドネシア語,4.0,1.0,5.0,労働基準法,"Peraturan standar
ketenagakerjaan",ろうどうきじゅんほう,"Peraturan standar Jepang yang
mengatur ketenagakerjaan.",,,
インドネシア語,4.0,1.0,6.0,労働条件,Kondisi kerja,ろうどうじょうけん,,,,
インドネシア語,4.0,1.0,7.0,税金,Pajak,ぜいきん,,,,
インドネシア語,4.0,1.0,8.0,所得税,Pajak penghasilan,しょとくぜい,Pajak penghasilan selama satu tahun.,,,
インドネシア語,4.0,1.0,9.0,住民税,Pajak penduduk,じゅうみんぜい,"Pajak yang harus dibayarkan ke wilayah
tempat tinggal.",,,
インドネシア語,4.0,1.0,10.0,厚生年金,Uang pensiun,こうせいねんきん,"Uang yang didapatkan oleh pegawai
swasta atau negeri pada saat pensiun,
cacat, atau meninggal.",,,
インドネシア語,4.0,1.0,11.0,雇用保険,"Asuransi
ketenagakerjaan",こようほけん,"Uang asuransi yang diberikan ketika
kehilangan pekerjaan atau ketika
memulai proses mencari pekerjaan
baru.",,,
インドネシア語,4.0,1.0,12.0,健康保険,Asuransi kesehatan,けんこうほけん,"Uang asuransi yang diberikan ketika
orang yang bersangkutan atau
keluarganya mendapat perawatan.",,,
