番号,単語,読み方（ひらがな）,翻訳,備考,例文,言語
1,技能実習,ぎのうじっしゅう,Technical intern training,,,英語
2,技能実習生,ぎのうじっしゅうせい,Technical intern trainee,,,英語
3,工場,こうじょう,Factory; plant,,,英語
4,製造,せいぞう,Manufacturing,,,英語
5,機械,きかい,Machine; machinery,,,英語
6,安全,あんぜん,Safety,,,英語
7,危険（な）,きけん（な）,Danger (dangerous),"Normally written in Kanji Chinese characters but may be written in Katakana ""キケン"" in some factories.",,英語
8,危ない,あぶない,Dangerous,,,英語
9,清掃,せいそう,Seisou (Shine),To clean the workplace to make the right workplace condition easily identifiable.,,英語
10,非常口,ひじょうぐち,Emergency exit,,,英語
11,注意,ちゅうい,Attention,,,英語
12,火事,かじ,Fire,,,英語
13,事故,じこ,Accident,,,英語
14,服装,ふくそう,Clothes,,,英語
15,安全装置,あんぜんそうち,Safety equipment,,,英語
だ い       か       き     そ,,,,,,英語
第2課基礎30 Lesson 2: Basics 30,,,,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,安全カバー,あんぜんかばー,Safety cover; protection cover,,,英語
2,けが,けが,Injury,,,英語
3,けがをする,けがをする,To get injured,,,英語
4,電源,でんげん,Power supply,,,英語
5,電源を切る,でんげんをきる,To turn off power,,,英語
6,非常停止ボタン,ひじょうていしぼたん,Emergency stop button,,,英語
7,非常停止ボタンを押す,ひじょうていしぼたん                  をおす,To push an emergency stop button,,,英語
8,ルール,るーる,Rule,,,英語
9,ルールを守る,るーるをまもる,To comply with rules,,,英語
10,止める,とめる,To stop,,,英語
11,機械を止める,きかいをとめる,To stop a machine,,,英語
12,やって,やって,Do (something).,,,英語
13,止めて,とめて,Stop (something).,,,英語
14,取って,とって,Take; pick up; pass (something).,,,英語
15,だめ（な）,だめ（な）,No. ; No good (bad; wrong),,,英語
だい    か   ざいりゅうしかく   ろうどうけいやく,,,,,,英語
"第3課在留資格、労働契約1
Lesson 3: Status of residence and Labor contract 1",,,,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,監理団体,かんりだんたい,Supervising organization,Non-profit organizations that manage and supervise skill acquisitions and other activities of technical intern trainees.,,英語
2,技術移転,ぎじゅついてん,Technology transfer,,,英語
3,技能実習期間,ぎのうじっしゅうきかん,Technical intern training period,,,英語
4,職種,しょくしゅ,Job type,,,英語
5,在留資格,ざいりゅうしかく,Status of residence,,,英語
6,パスポート,ぱすぽーと,Passport,,,英語
7,在留カード,ざいりゅうかーど,Residence card,,,英語
8,入管,にゅうかん,Immigration,"にゅうこくかんりちょう
Abbreviation for ""入国管理庁
(Immigration Service Agency)"" and ""
にゅうこくかんりきょく
入国管理局(Immigration Bureau).""",,英語
9,在留期間,ざいりゅうきかん,Period of stay,,,英語
10,雇用契約,こようけいやく,Employment contract,,,英語
11,給与明細,きゅうよめいさい,Pay slip,,,英語
12,給料,きゅうりょう,Salary,,,英語
13,残業手当,ざんぎょうてあて,Overtime allowance,,,英語
14,労働時間,ろうどうじかん,Working hours,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,,,英語
1,控除（する）,こうじょ（する）,Deduction (to deduct),,,英語
2,ボーナス,ぼーなす,Bonus,,,英語
3,有休,ゆうきゅう,Paid holiday,,,英語
4,代休,だいきゅう,Compensatory day off,,,英語
5,労働基準法,ろうどうきじゅんほう,Labor Standards Act,,,英語
6,労働条件,ろうどうじょうけん,Working conditions,,,英語
7,税金,ぜいきん,Tax,,,英語
8,所得税,しょとくぜい,Income tax,,,英語
9,住民税,じゅうみんぜい,Resident tax,,,英語
10,厚生年金,こうせいねんきん,Welfare pension,,,英語
11,雇用保険,こようほけん,Employment insurance,,,英語
12,健康保険,けんこうほけん,Health insurance,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,,,英語
13,社会保険,しゃかいほけん,Social insurance,,,英語
14,労災,ろうさい,Industrial accident,,,英語
15,労災保険,ろうさいほけん,Industrial accident compensation insurance,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,遅刻（する）,ちこく（する）,Late arrival (be late),,,英語
2,早退（する）,そうたい（する）,Leaving early (to leave early),,,英語
3,休憩（する）,きゅうけい（する）,Break (to take a break),,,英語
4,残業（する）,ざんぎょう（する）,Overtime work (to work overtime),,,英語
5,定時,ていじ,Regular hours,"Stipulated hours. In working places, mainly indicate the regular times to come to and leave the working place.","き ょ う       て い じ      かえ
今日は定時に帰る",英語
6,規則,きそく,Regulation; rule,,,英語
7,休日,きゅうじつ,Non-working day,,,英語
8,始業時間,しぎょうじかん,Starting time of work,,,英語
9,終業時間,しゅうぎょうじかん,Ending time of work,,,英語
10,指導員,しどういん,Instructor,,,英語
11,生活指導員,せいかつしどういん,Life advisor,,,英語
12,担当者,たんとうしゃ,Person in charge,,,英語
13,スイッチ入れるな,すいっちいれるな,Do not switch on.,,,英語
14,スイッチ切るな,すいっちきるな,Do not switch off.,,,英語
15,使用禁止,しようきんし,Do not use.,,,英語
No.,Word/Phrase,How to read (Hiragana),Translation,Note,Example,英語
1,5S,ごえす,5S,"Seiri (sorting), Seiton (set in order), Seiso (shine), Seiketsu (standardize), and Shitsuke (sustain). Each of these five words starts with S. 5S is used to improve the work environment and maintain the improved work environment.",,英語
2,整理,せいり,Seiri (Sorting),To identify what are necessary and unnecessary and share the results to improve quality and productivity.,,英語
3,整頓,せいとん,Seiton (Set in order),To determine where and how to store necessary tools and materials and indicate them properly to reduce unreasonable or wasteful motions.,,英語
4,清掃,せいそう,Seisou (Shine),To clean the workplace to make the right workplace condition easily identifiable.,,英語
5,清潔,せいけつ,Seiketsu (standardize),"To thoroughly implement Seiri, Seiton, and Seisou to keep the clean and normal condition.",,英語
6,しつけ,しつけ,Shitsuke (Sustain),To create an atmosphere in which workers discipline themselves to follow the rules and cooperate each other.,,英語
