Example,How to read (Hiragana),No.,Note,Page,Picture,Sign,Translation,Word/Phrase
,ぎのうじっしゅう,1,,1,,,Technical intern training,技能実習
"かぞく やしな ひと ふようこうじょ
家族を養っている人は、「扶養控除」
う ばあい
を受けられる場合がある",こうじょ（する）,1,"To deduct certain amount from the original
amount mainly as tax payments.",4,,,Deduction (to deduct),控除（する）
,かんりだんたい,1,"Non-profit organizations that
manage and supervise skill
acquisitions and other activities of
technical intern trainees.",3,,,Supervising organization,監理団体
,いち,1,,44,,,Position,位置
,かきげんきん,1,,10,,,No fire,火気厳禁
,あんぜんかばー,1,,2,,,"Safety cover; protection
cover",安全カバー
,とりだす,1,,43,,,Take out,取り出す
,ごえす,1,"Seiri (sorting), Seiton (set in order),
Seiso (shine), Seiketsu (standardize),
and Shitsuke (sustain). Each of these
five words starts with S. 5S is used to
improve the work environment and
maintain the improved work
environment.",7,,,5S,5S
,きんし,1,,13,,,Prohibition,禁止
"い け いぼうこう もち
異形棒鋼を用いる",いけいぼうこう,1,Commonly used rebar in Japan,31,,,Deformed steel bar,異形棒鋼
,ゆあつしりんだ,1,,40,,,Hydraulic cylinder,油圧シリンダ
,"けーわいかつどう（きけん
よちかつどう）",1,,14,,,"KY Activities (Hazard
prediction activities)",KY活動（危険予知活動）
,ぎのう,1,,12,,,Skills,技能
"まる かたわく こ て い
丸セパレーターで型枠を固定する","まるせぱれーたー
（まるせぱ）",1,,28,,,"Round separator
(Marusepa)","丸セパレーター
（丸セパ）"
"さんれん たんかん けつごう
三連クランプで単管を結合する",さんれんくらんぷ,1,,19,,,Triple clamp,三連クランプ
,たちいりきんし,1,,17,,,DO NOT ENTER,立入禁止
"じゅうき せっしょく
重機に接触してけがをする",せっしょく（する）,1,,42,,,Contact (Contact),接触（する）
"あんぜん しよう じこ ふせ
安全カバーの使用で事故を防ぐ",あんぜんかばー,1,"A cover attached to an electric
circular saw. It prevents the circular
saw from flying into your body due to
kickback during cutting.",25,,,Safety cover(cid:9),安全カバー
"おやづな あんぜんたい
親綱に安全帯をかける",おやづな,1,"It is a rope used to hook a safety belt
(a belt with a safety rope) at a
construction site. It is stretched
tightly between posts without
slacking to protect workers' lives at
the site.",22,,,Main rope,親綱
,とらくた,1,"A tractor with work equipment
(attachment) is called a bulldozer,
tractor shovel, and others.",37,,,Tractor,トラクタ
"きん く み た
はかま筋を組立てる",はかまきん,1,,34,,,Footing top bar,はかま筋
,ちこく（する）,1,,6,,,Late arrival (be late),遅刻（する）
,きけん,2,,14,,,Hazard,危険
,ぎじゅついてん,2,,3,,,Technology transfer,技術移転
,ぎのうけんていしけん,2,,12,,,Skill proficiency test,技能検定試験
"けっそくせん てっきん しば
結束線で鉄筋を縛る",けっそくせん,2,,31,,,Binding wire,結束線
,ゆあつもーた,2,,40,,,Hydraulic motor,油圧モータ
,ぎのうじっしゅうせい,2,,1,,,Technical intern trainee,技能実習生
,ぼーなす,2,,4,,,Bonus,ボーナス
,せいり,2,"To identify what are necessary and
unnecessary and share the results to
improve quality and productivity.",7,,,Seiri (Sorting),整理
,かいほうげんきん,2,,10,,,Keep closed.,開放厳禁
